CH1,CH2
4,2
10,4
13,8
12,6
9,3
5,3
0,4
6,9
9,15
9,18
7,17
6,10
7,0
9,11
11,23
13,26
13,19
11,2
8,14
5,28
4,35
4,36
5,29
6,16
5,1
5,18
5,30
7,30
6,23
5,13
3,3
1,6
2,15
3,21
3,23
4,17
6,11
2,8
7,9
16,8
18,4
10,0
0,2
5,1
7,3
9,7
12,11
15,13
14,13
14,11
13,8
8,4
1,1
12,0
15,4
8,8
0,11
5,10
7,3
6,6
5,15
5,20
3,17
0,8
4,1
7,9
6,13
2,13
13,8
23,1
25,13
22,18
15,11
6,0
3,10
11,14
14,13
8,12
0,10
5,7
0,1
9,4
16,8
16,9
11,6
1,1
8,4
15,8
19,10
18,12
12,11
3,8
0,7
2,9
1,11
0,10
2,7
7,3
12,3
15,2
14,1
11,3
9,9
10,8
13,0
16,6
12,8
5,6
0,3
0,3
1,7
2,10
0,10
4,6
8,1
10,4
8,7
6,4
3,0
4,3
13,5
18,6
12,5
1,1
13,4
15,7
10,3
0,5
7,13
13,22
15,27
15,29
10,26
0,18
10,6
16,7
16,18
12,24
7,21
2,13
4,3
11,1
16,2
18,4
15,7
8,5
3,0
10,2
23,0
35,5
36,8
27,8
9,7
5,4
15,0
20,6
23,14
25,15
23,5
14,12
2,28
5,29
10,19
10,3
6,7
2,10
0,7
1,4
3,2
6,2
3,2
3,2
9,11
7,21
1,26
12,27
18,22
18,10
14,5
8,20
5,28
3,26
3,16
3,3
3,7
3,16
4,20
7,19
7,17
2,14
1,6
0,0
5,2
9,0
8,3
5,1
3,4
2,9
4,11
6,8
10,4
10,1
6,5
1,7
9,6
16,4
21,0
23,0
19,2
10,8
1,15
8,20
13,22
16,23
19,21
22,16
22,10
19,1
15,2
13,2
11,9
8,13
4,7
0,1
2,9
4,9
3,5
2,0
1,4
4,9
8,14
9,16
7,13
6,2
5,11
4,22
0,26
5,26
11,25
11,21
4,17
5,11
10,4
10,2
3,9
8,15
21,20
27,22
21,19
11,14
3,6
1,0
1,5
1,7
8,3
17,1
23,8
24,14
24,24
26,33
32,38
37,40
35,33
19,18
4,1
24,17
34,27
33,30
26,27
15,23
6,20
2,14
12,6
20,4
23,13
17,19
8,24
2,24
7,20
8,10
6,0
2,11
2,19
4,22
5,20
7,12
12,0
21,8
25,13
24,13
17,14
10,17
4,19
2,22
7,23
11,22
13,19
12,14
7,5
2,1
14,3
20,3
22,3
16,7
7,10
0,10
8,4
13,5
13,16
8,21
0,18
9,7
11,5
10,15
5,19
0,16
5,10
9,5
8,0
4,2
0,4
1,6
5,7
15,8
22,10
23,9
19,4
8,1
7,2
20,0
29,4
34,8
34,11
29,12
21,13
13,12
7,10
3,5
0,3
0,2
1,3
0,4
0,3
1,0
1,8
1,17
0,16
1,6
2,4
1,9
0,5
0,1
0,7
1,9
3,9
4,6
4,3
1,1
5,5
16,10
21,11
21,12
14,14
7,18
3,22
3,24
3,22
3,17
5,12
12,8
17,5
18,2
9,0
4,1
15,1
20,1
19,0
12,2
4,2
1,0
1,1
6,3
13,9
18,14
23,13
22,7
15,1
4,10
4,18
9,24
13,24
12,19
8,11
6,7
9,10
10,12
4,8
4,7
13,27
18,42
16,48
12,44
9,32
10,13
13,6
14,23
12,29
6,26
1,18
3,9
5,1
6,12
5,18
6,18
7,12
6,3
5,5
5,11
5,11
3,4
0,8
3,20
7,29
11,28
15,19
17,6
18,1
16,1
12,2
8,6
4,8
2,5
6,2
13,2
19,8
21,15
18,18
12,16
4,9
1,1
4,9
5,14
5,16
4,17
5,16
6,16
5,15
3,16
3,15
4,11
5,5
2,1
3,7
6,10
3,13
1,15
8,18
13,19
13,16
12,9
11,2
10,11
7,14
1,12
7,12
15,13
20,13
19,13
17,11
16,5
20,1
24,8
25,12
21,10
13,6
4,6
2,6
4,3
6,6
7,15
8,21
5,21
0,19
4,15
5,11
2,7
0,6
1,6
2,7
1,10
0,12
2,16
6,15
9,15
12,13
11,10
7,8
0,3
4,4
4,12
0,19
5,21
12,17
15,11
15,9
9,8
3,7
0,6
2,5
4,1
1,3
2,9
5,9
6,4
5,2
2,5
1,0
3,9
5,20
10,29
16,32
22,30
19,24
7,15
2,7
5,0
2,4
17,6
26,5
21,6
1,11
21,17
36,20
38,16
31,10
22,3
13,0
5,0
1,1
1,5
4,10
9,12
14,9
14,3
10,3
2,8
3,12
4,12
1,4
3,10
9,22
18,27
23,23
29,16
31,10
27,5
20,2
12,1
9,5
9,13
12,19
9,20
3,14
3,9
8,4
15,2
19,0
19,0
15,0
9,1
2,3
2,7
4,7
7,1
10,7
13,17
15,23
15,22
10,13
0,0
10,13
14,24
12,33
7,38
4,36
1,28
0,14
5,0
10,14
14,23
16,28
15,30
16,34
19,35
23,33
23,22
18,7
8,7
2,15
11,19
17,17
17,11
9,1
2,8
13,19
15,24
11,24
2,18
6,10
9,6
8,5
4,6
3,5
2,0
1,8
0,15
2,18
6,15
10,8
10,1
4,0
1,1
1,3
1,2
2,0
1,0
8,1
13,1
12,3
7,6
0,9
7,10
12,8
14,7
14,9
13,17
12,26
15,26
18,14
20,3
21,16
17,16
10,10
0,7
6,8
8,12
8,14
7,14
7,10
5,4
4,1
1,8
1,12
4,17
3,22
1,26
1,28
2,28
2,22
1,12
1,0
3,7
0,8
2,2
6,6
3,12
3,12
6,9
0,5
11,3
19,2
21,2
18,1
12,1
4,5
0,9
2,9
1,7
1,7
7,10
13,14
20,14
24,8
22,2
12,13
0,16
10,18
11,18
6,22
0,23
2,18
3,10
1,0
7,5
14,5
17,3
19,3
15,6
7,10
0,13
4,11
5,1
5,13
8,24
13,27
16,23
14,15
12,5
13,2
14,8
15,12
14,12
10,9
4,3
0,1
1,4
2,1
5,3
8,9
8,10
1,5
9,2
20,8
25,12
23,17
11,25
3,31
12,28
10,18
4,7
0,1
0,8
1,12
3,11
2,8
0,4
2,0
2,1
0,3
2,2
7,1
8,1
8,1
4,2
1,2
7,5
10,11
12,15
12,16
8,14
2,9
3,3
4,3
0,6
12,6
23,3
25,1
20,7
10,13
4,18
1,15
0,4
3,8
10,16
12,20
12,20
5,19
4,15
13,9
17,1
14,6
6,12
3,16
10,14
11,13
6,15
0,21
5,26
11,29
14,29
16,27
13,19
8,5
0,10
7,26
9,37
5,39
1,26
9,5
14,13
14,19
10,15
7,6
7,0
10,0
11,3
5,5
2,4
6,1
1,3
7,11
17,21
18,26
12,20
4,8
0,1
0,4
2,5
4,3
6,1
10,2
14,3
15,2
11,1
4,3
1,2
4,0
9,0
12,5
10,10
2,10
5,9
15,9
20,10
24,13
24,11
20,3
16,5
10,12
5,16
3,14
1,10
