CH1,CH2
2,21
1,11
6,0
10,13
13,19
11,18
6,13
1,9
5,8
8,5
7,0
0,2
7,5
11,9
11,9
7,7
2,1
0,4
0,7
3,8
6,8
6,5
7,1
8,1
9,2
7,1
4,0
2,0
2,3
9,3
15,3
13,1
7,3
0,12
7,22
11,30
13,33
10,29
4,18
1,6
2,4
0,10
5,14
7,12
7,0
5,16
5,28
8,26
12,12
14,7
12,22
9,25
7,14
2,1
3,14
9,23
12,27
9,23
3,10
1,5
6,18
11,25
14,22
17,14
19,6
18,1
12,1
0,3
14,3
24,0
23,3
16,5
9,5
3,4
0,3
3,2
5,0
4,1
4,2
4,5
3,4
4,0
1,9
1,20
0,29
5,32
14,29
21,24
24,17
21,12
16,8
9,5
2,1
1,3
0,8
7,13
13,13
13,14
8,13
0,13
6,9
9,3
10,3
8,5
4,6
0,7
1,8
1,11
0,13
2,13
5,12
7,12
7,11
6,6
2,3
1,5
1,12
2,18
6,17
7,14
7,11
6,6
5,0
2,6
2,10
5,14
5,15
4,17
3,19
4,16
4,12
5,10
4,10
2,10
11,8
17,4
19,2
15,8
10,11
9,12
7,15
2,18
1,22
1,23
7,21
13,15
14,7
10,0
4,6
3,7
9,4
10,0
6,4
0,8
7,11
9,15
7,17
3,19
1,18
4,14
6,10
4,7
0,8
4,12
5,10
2,0
0,14
3,18
7,13
10,4
10,1
5,5
1,11
7,12
9,3
7,6
4,12
1,11
3,6
7,0
9,2
8,1
5,3
5,7
7,9
10,6
12,1
10,6
5,10
0,11
4,5
4,1
2,5
1,7
1,8
0,7
4,4
4,1
2,5
2,7
8,4
13,1
13,6
10,8
5,9
1,11
1,13
2,12
2,9
0,4
0,2
0,5
5,10
13,15
19,18
21,19
18,18
12,17
4,15
3,9
7,0
9,11
10,21
11,26
11,23
9,16
7,10
4,5
2,1
11,5
19,12
23,22
23,32
21,35
13,26
5,9
5,9
13,20
16,24
14,21
8,13
1,5
2,2
2,5
0,7
2,7
0,6
4,3
10,0
13,0
13,4
9,10
3,14
1,18
1,21
5,22
8,12
9,1
7,10
4,10
1,3
5,2
7,5
5,5
2,6
2,10
5,11
6,10
9,6
12,2
14,4
13,9
12,11
11,9
11,6
10,5
8,6
5,6
0,6
3,8
6,11
4,11
2,3
7,8
7,15
2,17
3,14
8,12
10,12
7,17
1,21
4,26
8,26
11,25
11,21
8,13
5,3
1,3
1,5
0,5
4,5
9,9
12,15
13,17
10,14
5,10
0,6
1,4
2,2
6,1
13,7
17,10
17,10
14,3
6,3
1,5
2,1
2,15
0,28
6,36
13,38
19,31
22,21
23,11
20,2
13,3
5,8
2,13
7,17
