CH1,CH2
4,20
8,25
11,17
12,7
11,12
8,29
5,47
0,58
4,61
7,52
9,24
8,11
6,40
3,48
0,39
5,27
8,27
11,36
12,38
10,28
8,13
5,1
2,12
0,21
2,34
4,54
5,71
4,67
3,37
0,6
1,46
4,67
4,61
5,36
5,6
6,23
6,48
4,69
3,81
1,80
2,64
3,33
3,6
4,40
7,59
9,73
12,89
13,99
14,95
12,71
9,29
6,18
2,54
0,66
2,59
4,48
6,39
7,28
5,16
4,5
1,2
0,7
3,12
5,13
5,11
3,14
0,19
2,16
4,1
5,27
3,43
0,45
4,39
8,35
11,33
13,30
13,34
12,48
10,55
8,48
5,33
2,12
1,15
5,48
8,71
10,78
9,69
5,50
2,20
10,13
15,28
18,11
17,22
16,48
13,51
9,39
5,24
1,12
0,0
2,14
3,26
3,35
0,43
1,50
4,54
5,54
6,44
7,22
9,7
9,32
8,42
6,34
2,16
0,3
3,16
5,19
6,15
5,7
3,2
0,9
2,9
4,1
6,17
8,34
9,48
9,53
7,50
3,50
0,55
4,61
8,63
9,46
8,2
7,60
4,118
2,148
2,143
8,108
12,63
15,31
13,19
10,17
6,12
2,7
0,45
1,91
0,116
1,96
4,45
6,6
7,37
7,45
6,34
4,11
1,17
0,45
1,64
2,63
1,38
0,4
0,17
0,20
0,14
3,15
7,20
10,24
13,21
16,17
16,12
15,7
13,11
8,47
2,81
3,86
7,58
10,17
11,11
10,20
8,19
5,26
1,43
3,58
7,58
9,43
9,18
8,5
8,28
6,44
5,49
4,43
2,32
0,20
0,4
0,14
0,30
1,29
3,14
4,2
5,13
5,17
5,16
4,12
2,8
0,5
3,6
4,6
3,0
0,11
4,21
7,21
9,15
10,10
10,9
9,5
7,2
5,10
4,15
4,17
3,22
1,31
0,41
4,47
4,43
3,23
1,9
2,42
6,64
8,67
10,48
12,14
12,26
10,65
7,95
4,109
0,99
3,67
4,25
5,13
4,44
2,67
0,81
1,83
4,75
7,64
7,48
7,29
3,4
0,21
1,43
3,50
3,44
2,28
0,10
2,8
4,23
6,26
8,11
11,5
12,13
12,8
9,0
6,0
2,11
2,35
5,63
6,84
6,85
6,69
4,44
2,20
0,4
6,3
11,13
15,31
17,52
17,62
15,55
10,36
3,18
1,6
4,1
4,6
2,20
0,32
2,37
3,31
4,19
6,0
8,21
9,35
9,43
8,49
6,52
4,46
1,30
2,13
4,5
5,10
5,21
2,23
0,9
3,14
6,33
7,39
8,31
7,13
5,4
3,10
1,0
0,21
1,38
2,42
2,37
2,19
1,8
1,34
0,46
3,36
6,14
9,3
11,4
11,11
8,34
5,48
1,44
0,32
2,25
4,30
5,37
4,35
2,24
0,9
3,8
6,24
9,32
9,31
8,25
8,17
6,5
4,10
2,25
0,33
1,30
3,17
5,5
