CH1,CH2
4,33
1,100
12,164
21,201
21,200
11,162
1,94
9,7
14,89
16,172
18,223
19,231
17,197
13,134
7,57
3,10
1,51
1,59
0,44
0,15
5,14
11,34
17,38
20,32
22,8
20,29
12,72
1,102
17,115
27,116
30,115
28,112
22,94
11,62
0,23
9,12
14,42
22,70
28,89
33,95
32,83
26,59
13,31
2,11
13,0
15,1
10,0
5,1
2,5
2,22
0,46
8,71
17,85
23,85
23,71
15,45
0,16
17,5
27,18
28,19
20,11
12,2
5,0
2,5
11,13
19,20
19,20
13,13
3,1
4,17
8,26
5,28
1,26
0,23
0,14
5,4
16,40
17,91
7,147
3,184
3,179
1,131
7,61
11,1
15,33
16,48
15,53
12,53
6,44
1,33
6,30
15,31
23,36
23,40
19,40
14,40
8,43
1,52
17,65
36,88
52,113
57,127
50,128
36,114
20,91
5,52
8,3
20,48
28,94
30,131
26,156
16,163
2,147
11,120
22,105
29,104
28,93
19,50
7,19
4,92
13,148
17,180
16,184
13,159
11,104
10,29
9,39
3,81
5,87
8,67
0,34
12,2
18,25
15,48
8,64
2,71
4,68
11,57
13,41
13,27
13,11
15,0
18,5
20,5
18,2
15,5
13,20
11,37
6,38
0,18
6,12
13,41
21,46
27,9
28,67
14,157
14,215
43,218
58,174
54,109
36,43
17,10
1,46
8,59
16,54
21,44
25,38
22,41
14,48
3,57
6,61
13,64
19,73
28,93
35,121
34,140
18,145
1,137
17,128
24,113
24,85
22,31
16,48
14,145
10,232
1,281
19,273
43,218
54,143
48,64
30,4
11,57
5,89
18,106
26,108
30,92
27,57
20,18
6,3
7,1
19,28
27,63
26,90
18,101
7,96
7,80
20,62
27,45
29,28
24,9
17,6
13,17
16,26
20,34
14,40
5,34
33,16
53,0
57,1
45,30
26,71
9,105
3,115
12,101
19,72
20,37
14,9
0,4
15,9
22,16
23,30
24,46
29,60
35,69
32,74
20,74
0,67
21,58
35,51
37,45
30,33
23,10
20,22
14,58
1,88
16,103
34,97
47,74
51,42
47,15
37,4
22,1
0,9
22,29
39,50
44,65
41,69
32,57
23,27
10,15
2,50
16,59
25,40
27,8
24,20
22,37
18,40
13,38
6,38
0,44
4,54
4,63
1,66
2,62
2,49
2,24
11,10
17,42
17,55
13,44
9,24
11,15
15,30
21,63
21,89
13,94
2,72
21,30
36,15
46,50
49,64
46,58
39,42
32,28
23,21
11,19
1,25
10,40
14,63
15,85
17,87
12,57
0,1
16,68
24,115
24,127
17,106
9,65
5,21
0,14
13,27
31,18
48,0
51,13
31,16
0,11
31,7
47,7
49,5
42,10
32,38
20,73
9,106
0,130
7,142
13,134
19,101
25,46
29,19
29,79
23,121
13,140
2,139
18,121
28,94
30,65
24,39
13,23
3,18
3,20
5,15
8,5
11,39
13,75
14,100
15,114
13,120
8,113
0,82
13,28
27,28
30,64
24,65
13,41
4,6
1,20
0,33
2,33
5,27
9,14
11,10
14,37
18,48
24,32
27,9
25,55
15,80
3,84
3,79
4,73
4,65
6,45
9,11
12,37
12,83
11,111
7,114
1,101
0,91
11,93
27,97
