CH1,CH2
0,17
7,16
14,43
13,43
6,24
3,4
12,9
19,14
19,17
13,21
4,21
3,19
9,11
11,3
12,20
11,29
9,22
9,1
5,26
6,51
24,67
37,74
31,70
9,60
16,46
34,32
41,20
39,7
33,10
24,29
16,46
8,53
2,48
2,34
3,18
2,5
1,2
2,4
2,2
0,0
1,5
0,12
6,19
8,27
5,33
3,31
11,18
14,1
14,21
9,30
5,31
0,22
0,15
0,9
0,4
1,0
3,7
5,15
10,19
24,16
34,7
31,5
13,17
11,25
29,27
35,24
26,18
6,14
11,13
19,14
17,5
5,17
10,45
23,61
28,57
25,36
18,4
14,27
13,50
13,59
12,58
7,51
1,42
10,31
13,20
7,12
2,6
8,5
9,22
7,37
7,38
7,25
5,5
0,12
7,24
8,28
3,30
4,30
10,29
11,29
9,25
6,7
3,21
1,47
1,60
7,55
17,38
20,15
13,5
0,19
6,25
6,28
4,29
1,24
0,16
5,8
5,4
3,5
21,5
38,1
47,13
47,27
41,37
31,35
16,21
0,0
9,17
11,30
13,38
18,43
26,41
33,29
37,9
35,12
27,26
19,25
8,13
7,3
25,12
40,12
41,2
32,4
20,4
15,1
15,7
15,10
13,10
9,8
3,5
3,3
15,11
26,15
28,11
21,1
15,11
15,24
14,31
9,30
3,23
18,13
32,2
39,23
36,43
24,51
9,46
3,31
5,13
10,5
13,27
15,51
17,70
18,78
14,74
2,60
11,39
27,21
33,10
29,0
14,14
0,31
11,41
15,43
13,43
8,39
0,31
6,15
9,1
7,14
1,19
7,16
13,7
17,1
18,11
20,13
22,6
21,8
15,23
5,26
4,17
10,10
12,11
15,17
25,24
38,25
39,19
23,11
0,3
21,7
30,21
30,36
24,45
16,44
11,30
9,12
10,2
9,12
9,17
7,20
4,20
0,18
4,13
11,7
16,1
19,4
18,10
9,13
7,10
26,1
38,7
38,13
27,17
11,25
1,33
2,32
3,13
3,11
1,28
0,29
1,22
0,13
3,0
6,18
9,37
10,50
9,54
6,52
7,47
9,37
9,26
3,15
2,2
5,13
5,30
7,45
11,55
19,57
27,51
31,41
31,30
26,18
19,1
10,17
0,35
9,44
17,40
20,19
12,12
1,38
15,48
22,37
21,14
16,10
10,29
3,35
3,34
8,33
13,38
15,46
17,49
17,40
12,17
4,6
0,23
3,28
8,24
8,16
0,7
12,2
24,11
28,18
25,21
19,21
10,19
1,14
5,12
6,11
0,6
9,4
16,18
19,28
18,32
14,28
11,16
9,0
7,18
5,31
2,38
4,38
10,27
14,11
16,4
22,13
31,15
33,14
24,13
8,14
10,17
25,19
32,15
30,3
23,11
13,26
6,35
3,35
3,27
5,12
9,2
13,14
14,27
11,37
6,41
3,35
0,22
4,5
15,9
26,22
30,29
25,33
18,34
13,32
6,27
5,20
20,9
32,1
39,8
38,9
32,8
23,3
13,2
2,6
2,11
2,14
2,16
6,18
9,19
6,14
2,2
0,16
4,34
5,40
2,29
5,5
15,22
22,43
22,48
17,41
10,23
1,0
4,22
10,37
13,37
13,28
11,14
8,4
3,2
7,9
20,17
24,23
14,24
6,21
24,17
33,16
29,16
19,11
11,1
6,15
6,28
6,31
7,30
9,30
11,34
15,33
20,24
24,6
24,13
12,30
11,41
32,45
37,43
24,35
5,23
5,12
3,4
5,2
12,1
14,2
16,3
18,5
14,22
1,42
14,50
25,41
32,17
34,11
33,34
32,44
31,46
28,43
23,34
14,21
5,8
2,6
6,18
10,29
18,34
30,34
42,30
47,23
45,17
38,8
27,2
13,14
3,23
20,28
33,22
41,8
39,8
33,24
22,37
7,41
10,38
24,28
28,12
21,4
7,19
6,27
18,30
27,30
34,26
39,20
38,10
32,2
22,13
11,23
2,31
5,32
13,23
21,6
25,11
22,20
12,21
1,19
14,17
23,11
27,0
27,13
23,31
16,47
9,57
1,57
4,44
9,20
11,5
13,21
16,25
18,24
15,24
7,28
1,35
14,40
25,39
31,29
26,12
15,5
3,21
4,29
8,32
8,29
4,24
1,17
7,12
11,8
13,7
11,8
6,9
3,10
2,12
1,16
2,17
0,15
4,11
9,8
10,5
10,1
13,14
18,32
16,47
4,48
11,35
24,11
30,17
28,46
19,68
8,76
0,65
5,37
9,4
12,20
14,34
13,36
7,35
3,35
11,33
19,28
24,19
25,6
21,6
12,13
2,17
5,22
12,28
19,36
20,41
17,39
12,25
4,3
6,16
13,27
18,27
18,17
17,3
16,9
11,19
6,25
1,28
11,28
21,22
26,12
23,1
16,7
7,12
1,16
8,19
15,21
21,16
24,5
23,8
21,19
16,29
10,36
6,33
4,19
2,2
1,20
6,30
9,32
10,28
8,23
0,17
10,12
16,12
20,12
20,4
15,14
7,39
1,54
7,55
10,44
9,23
3,6
2,39
7,61
11,61
16,43
21,17
22,5
15,24
0,35
13,42
21,40
22,33
19,23
15,13
10,8
3,7
2,9
8,9
12,10
15,12
17,17
22,25
27,34
27,39
22,32
11,15
2,5
2,19
9,27
24,30
39,34
43,41
31,48
9,48
12,40
28,24
36,7
37,7
35,19
31,29
27,39
22,44
16,44
9,32
2,7
0,17
0,27
0,19
1,1
2,17
3,33
3,38
0,36
1,26
7,15
18,4
26,3
28,9
23,16
17,25
10,34
3,39
2,37
8,27
12,16
16,4
23,7
29,17
32,21
27,21
16,16
6,10
1,2
3,5
4,8
4,6
8,2
10,1
8,0
0,2
7,10
14,22
16,34
16,43
13,48
8,46
0,36
11,21
21,5
23,7
15,18
3,26
9,30
19,31
25,29
21,24
9,14
3,0
12,14
15,27
11,33
1,31
7,25
16,14
18,2
18,7
15,12
11,14
9,13
8,11
10,9
13,8
14,7
16,2
13,6
7,18
0,25
5,24
8,14
10,0
10,13
10,19
5,20
1,15
7,7
11,4
9,18
6,31
4,41
4,40
6,29
7,12
6,6
3,25
1,40
4,47
10,42
17,26
20,4
14,18
3,35
5,43
7,43
6,38
3,33
1,30
5,28
4,24
2,16
2,5
7,5
9,12
6,15
2,19
1,19
0,12
4,3
7,24
6,43
3,52
0,47
2,27
5,4
7,40
3,71
6,89
18,89
31,75
40,47
44,13
41,13
32,27
21,28
13,18
9,6
6,4
0,9
8,6
15,5
16,20
13,30
7,31
6,22
7,15
9,15
10,23
9,35
6,46
0,53
5,52
9,47
7,37
6,27
7,15
9,3
14,12
18,26
20,37
18,40
14,35
10,27
5,15
0,5
7,2
11,8
14,10
12,9
10,7
7,4
4,0
2,4
2,12
4,19
10,21
16,19
24,11
25,0
21,9
12,13
5,9
0,4
7,5
14,11
21,15
27,12
29,4
33,2
29,5
13,5
9,5
30,4
47,4
55,5
53,3
41,3
23,11
6,12
4,4
8,3
6,2
1,6
4,18
9,25
10,23
7,13
4,2
1,1
6,5
9,17
12,29
13,38
18,41
23,36
25,23
21,5
14,9
2,21
8,26
18,27
22,30
22,33
13,34
1,30
3,20
0,7
10,6
15,17
16,24
11,29
8,30
9,27
12,20
9,10
4,5
20,16
29,14
27,5
13,2
0,0
6,8
11,17
14,22
17,18
20,6
23,9
23,22
22,23
20,18
19,12
16,11
10,15
4,19
2,24
7,31
9,40
9,44
6,36
2,17
0,3
1,20
4,30
6,29
9,19
11,6
14,3
14,4
12,0
8,4
0,6
12,4
32,1
50,1
52,2
36,5
8,6
23,6
46,5
54,4
52,3
45,4
37,4
28,2
14,2
3,8
21,13
32,18
29,21
16,19
1,15
9,13
16,13
19,16
20,16
16,7
10,6
4,21
0,27
1,21
1,5
3,12
6,21
12,16
15,1
17,11
17,13
17,7
14,3
10,9
7,21
4,29
1,24
8,9
13,7
16,20
17,30
14,42
7,56
5,66
12,66
9,52
0,30
12,8
19,8
19,19
16,29
12,36
10,37
9,32
8,23
6,16
3,8
0,0
5,5
10,9
14,8
15,3
12,0
5,1
2,5
11,10
16,13
17,17
10,21
0,24
8,22
13,17
12,9
12,0
11,13
3,28
8,39
20,38
27,24
27,6
28,5
30,12
32,17
30,20
26,19
19,14
11,15
3,20
2,26
7,25
8,18
7,8
5,1
3,7
2,8
2,5
9,2
17,3
20,6
16,5
6,5
6,19
24,30
43,32
57,22
60,1
50,21
