CH1,CH2
4,12
1,22
0,24
1,19
0,10
0,0
2,7
3,12
4,13
5,10
5,3
6,3
5,10
4,16
2,20
0,23
0,21
1,17
0,9
0,1
2,7
4,13
6,15
8,15
9,12
9,5
9,2
7,10
5,17
2,21
1,22
0,20
0,15
0,8
0,0
1,8
3,14
4,17
5,17
6,13
5,6
4,2
3,10
0,18
1,23
3,26
4,24
3,18
2,10
0,1
2,7
4,14
6,19
8,20
9,18
9,12
8,3
7,6
4,15
3,23
0,26
1,27
2,23
2,14
1,4
0,5
2,13
3,19
5,22
6,21
6,16
7,8
6,0
5,9
3,17
2,23
0,25
0,25
0,20
0,14
1,5
1,2
3,8
4,12
6,14
7,12
7,6
7,0
6,7
5,14
2,19
0,22
1,22
3,18
3,11
3,4
0,4
1,11
5,15
6,16
8,14
8,8
8,0
7,7
5,15
2,21
0,23
0,22
0,17
1,11
0,2
1,6
2,13
4,18
5,20
6,18
6,12
6,4
5,5
4,14
2,21
1,25
0,26
0,24
0,18
0,10
1,0
2,8
3,15
5,19
8,20
9,17
9,11
7,2
6,6
3,15
1,21
1,23
2,23
3,19
3,12
2,4
0,3
2,11
5,17
7,20
8,19
8,14
8,6
8,3
7,12
5,18
4,22
2,23
1,20
0,14
0,5
0,3
0,10
1,16
2,18
4,16
5,11
6,3
5,4
4,13
3,20
0,25
1,25
2,23
3,17
2,10
0,1
2,8
3,14
6,16
6,17
8,13
7,6
6,1
5,9
3,16
0,22
0,25
1,23
1,16
0,8
0,0
1,7
4,14
5,18
7,18
7,14
7,7
7,0
5,10
4,17
1,22
0,25
0,23
1,19
0,11
0,1
1,6
2,13
3,17
5,19
6,17
6,11
8,2
7,6
6,14
4,21
3,24
2,25
0,22
1,16
1,8
0,0
0,8
1,15
2,18
4,18
5,14
6,7
5,1
5,11
2,18
1,24
0,25
1,24
1,19
0,11
1,3
5,4
6,10
8,15
9,16
10,14
8,9
8,2
6,6
3,13
2,20
0,23
1,22
2,19
1,11
0,2
0,6
1,13
3,17
4,19
5,17
5,11
5,3
4,5
2,15
1,21
0,25
0,25
0,21
0,15
0,6
2,3
3,11
4,15
6,18
6,15
7,10
6,2
6,6
5,14
4,21
3,25
2,25
1,22
0,15
0,7
1,3
2,12
4,18
6,22
7,22
8,17
9,9
8,1
5,11
3,20
0,26
1,28
2,25
3,19
2,11
1,3
0,6
2,14
4,18
6,19
7,16
7,10
7,2
6,6
3,14
2,21
0,24
1,24
1,20
1,14
0,6
0,2
2,10
4,15
5,17
6,16
8,12
8,6
8,1
7,8
5,15
4,19
1,21
0,19
0,15
0,8
1,0
2,6
3,13
4,17
5,17
5,13
4,6
4,1
3,10
2,17
0,22
1,24
2,22
2,17
1,9
0,1
2,7
4,13
6,17
7,18
8,15
8,9
6,1
5,7
2,15
0,21
0,24
1,24
1,21
1,14
0,6
0,1
0,9
3,14
4,17
6,16
7,13
8,6
7,3
5,11
4,18
2,24
1,25
0,23
0,16
0,8
2,0
3,7
5,12
6,15
7,15
8,12
8,5
7,2
5,11
3,18
2,22
0,24
1,22
1,18
0,11
0,2
1,5
3,12
5,17
5,18
7,17
6,12
5,5
5,3
2,11
1,18
0,22
1,21
1,18
0,12
0,4
1,3
2,9
3,14
4,15
5,14
6,9
6,2
6,5
5,13
3,19
1,23
0,23
2,19
3,13
2,6
1,1
0,9
2,14
5,15
6,13
7,8
6,0
6,8
5,16
4,23
3,26
2,27
1,23
1,16
0,7
1,2
2,12
3,19
5,22
7,22
8,18
8,11
6,3
4,5
3,14
1,19
0,21
0,21
0,16
0,10
1,2
2,5
3,12
4,17
5,19
5,18
7,13
6,5
6,4
5,14
3,20
1,25
0,26
1,22
2,16
1,7
0,3
1,10
3,17
4,18
4,16
4,9
4,1
4,7
3,15
2,21
1,24
0,24
0,22
0,16
1,7
2,0
4,10
5,15
7,19
7,19
8,15
8,8
6,0
5,9
1,16
0,21
2,23
3,22
3,17
1,9
0,1
1,5
4,12
5,16
6,16
7,13
7,8
7,0
6,9
4,18
3,24
1,27
0,26
0,22
0,14
0,4
1,3
3,11
5,16
7,18
7,17
7,11
7,4
5,4
3,12
1,18
0,23
0,24
1,21
2,14
1,5
0,4
2,12
5,17
7,21
8,19
9,15
9,7
8,1
6,11
3,20
1,26
0,29
2,27
2,22
2,12
0,2
0,7
3,15
4,19
5,20
6,18
5,12
5,3
4,5
2,14
0,21
1,26
1,26
1,22
0,14
0,5
3,2
4,10
6,16
7,16
7,15
7,11
7,3
6,4
5,12
4,19
3,24
2,24
0,22
1,16
1,7
0,2
1,10
2,16
4,18
6,17
6,13
6,5
4,3
3,13
2,21
1,26
1,27
0,24
0,18
0,8
1,0
2,9
4,16
5,20
6,20
8,16
8,9
7,0
5,7
4,16
2,22
0,25
0,25
1,21
0,13
0,4
1,3
2,11
3,17
5,18
6,17
6,12
5,4
4,5
2,13
0,20
0,24
1,24
1,19
1,12
0,2
1,5
4,12
5,18
5,20
5,19
5,14
5,5
4,4
4,14
3,23
1,27
0,28
0,24
0,18
1,10
4,0
5,7
6,14
7,17
7,17
7,13
7,7
7,1
6,9
4,17
2,22
1,24
0,22
0,17
0,9
0,0
2,8
3,16
4,20
5,21
6,17
6,12
5,3
4,5
2,12
1,19
0,21
1,21
1,17
1,10
1,2
1,5
0,11
2,15
4,16
6,14
6,8
7,0
7,8
5,16
4,21
2,24
0,24
0,22
1,16
0,7
0,0
0,8
3,15
4,18
6,17
6,12
6,5
6,3
4,12
3,19
2,24
0,26
0,24
0,19
0,11
1,2
3,6
5,13
6,17
7,17
8,14
8,8
7,0
4,8
2,16
0,21
1,23
2,22
2,18
2,11
