CH1,CH2
4,0
13,0
25,0
18,0
1,0
8,0
6,0
1,0
10,0
15,0
16,0
15,0
13,0
5,0
8,0
22,0
26,0
18,0
10,0
15,0
28,0
32,0
18,0
4,0
27,0
42,0
47,0
42,0
31,0
19,0
8,0
0,0
4,0
3,0
1,0
11,0
21,0
20,0
11,0
0,0
9,0
8,0
0,0
7,0
2,0
25,0
47,0
52,0
42,0
23,0
4,0
11,0
21,0
22,0
20,0
17,0
18,0
22,0
22,0
13,0
6,0
29,0
42,0
41,0
26,0
1,0
26,0
43,0
46,0
39,0
28,0
17,0
8,0
4,0
7,0
12,0
13,0
13,0
14,0
15,0
19,0
22,0
20,0
16,0
12,0
8,0
5,0
33,0
56,0
59,0
44,0
22,0
1,0
12,0
17,0
13,0
4,0
2,0
5,0
3,0
6,0
22,0
36,0
42,0
39,0
26,0
5,0
19,0
34,0
32,0
18,0
3,0
2,0
2,0
17,0
32,0
35,0
23,0
4,0
11,0
19,0
25,0
36,0
49,0
57,0
56,0
49,0
38,0
24,0
9,0
4,0
12,0
21,0
35,0
51,0
57,0
52,0
44,0
31,0
13,0
7,0
27,0
45,0
55,0
54,0
44,0
32,0
22,0
15,0
10,0
10,0
12,0
16,0
19,0
15,0
5,0
5,0
13,0
22,0
32,0
34,0
24,0
10,0
2,0
9,0
12,0
11,0
7,0
2,0
0,0
1,0
7,0
12,0
13,0
6,0
3,0
14,0
18,0
16,0
12,0
11,0
12,0
11,0
5,0
1,0
2,0
5,0
10,0
14,0
12,0
8,0
5,0
2,0
1,0
3,0
8,0
9,0
3,0
9,0
23,0
30,0
23,0
3,0
20,0
32,0
32,0
28,0
27,0
22,0
3,0
20,0
37,0
40,0
38,0
39,0
40,0
36,0
27,0
16,0
9,0
6,0
0,0
10,0
16,0
8,0
4,0
9,0
6,0
5,0
10,0
13,0
3,0
19,0
37,0
32,0
9,0
19,0
43,0
58,0
62,0
53,0
33,0
8,0
16,0
36,0
49,0
51,0
42,0
27,0
10,0
8,0
24,0
33,0
30,0
23,0
17,0
14,0
8,0
6,0
29,0
47,0
50,0
35,0
7,0
21,0
37,0
35,0
24,0
12,0
3,0
2,0
5,0
7,0
6,0
4,0
0,0
0,0
3,0
13,0
26,0
28,0
4,0
30,0
50,0
48,0
33,0
19,0
14,0
15,0
16,0
10,0
1,0
16,0
25,0
24,0
12,0
8,0
28,0
37,0
32,0
20,0
3,0
15,0
35,0
52,0
59,0
49,0
30,0
8,0
18,0
45,0
68,0
79,0
65,0
34,0
1,0
26,0
35,0
28,0
14,0
3,0
2,0
5,0
7,0
10,0
14,0
17,0
17,0
12,0
6,0
1,0
0,0
4,0
7,0
9,0
10,0
14,0
19,0
16,0
3,0
12,0
23,0
26,0
25,0
21,0
16,0
10,0
4,0
0,0
6,0
14,0
20,0
18,0
5,0
13,0
25,0
23,0
9,0
5,0
13,0
13,0
10,0
7,0
13,0
23,0
31,0
33,0
29,0
19,0
4,0
12,0
28,0
33,0
24,0
5,0
14,0
25,0
22,0
15,0
8,0
3,0
0,0
4,0
8,0
11,0
16,0
23,0
29,0
20,0
3,0
30,0
51,0
58,0
51,0
34,0
18,0
10,0
7,0
5,0
1,0
9,0
21,0
27,0
25,0
23,0
26,0
29,0
20,0
2,0
34,0
59,0
60,0
31,0
14,0
51,0
57,0
37,0
11,0
6,0
13,0
7,0
10,0
33,0
47,0
35,0
7,0
24,0
51,0
71,0
78,0
72,0
54,0
31,0
10,0
9,0
27,0
39,0
33,0
7,0
21,0
40,0
44,0
38,0
28,0
13,0
1,0
16,0
28,0
37,0
35,0
22,0
7,0
2,0
7,0
7,0
8,0
11,0
19,0
23,0
21,0
16,0
12,0
11,0
10,0
10,0
1,0
18,0
41,0
54,0
44,0
17,0
5,0
8,0
0,0
6,0
2,0
4,0
8,0
8,0
9,0
13,0
17,0
22,0
27,0
31,0
30,0
27,0
21,0
12,0
5,0
32,0
56,0
69,0
65,0
51,0
28,0
3,0
18,0
28,0
26,0
19,0
17,0
20,0
27,0
34,0
39,0
36,0
25,0
8,0
6,0
11,0
7,0
0,0
4,0
2,0
22,0
35,0
33,0
18,0
0,0
14,0
22,0
26,0
32,0
39,0
43,0
42,0
36,0
27,0
18,0
8,0
1,0
10,0
14,0
11,0
0,0
19,0
23,0
12,0
0,0
9,0
21,0
39,0
62,0
81,0
86,0
68,0
28,0
18,0
59,0
82,0
84,0
70,0
51,0
34,0
23,0
13,0
5,0
1,0
7,0
9,0
4,0
8,0
21,0
28,0
24,0
13,0
5,0
27,0
42,0
49,0
50,0
54,0
58,0
56,0
46,0
32,0
17,0
1,0
24,0
44,0
55,0
53,0
46,0
44,0
46,0
48,0
46,0
39,0
31,0
21,0
15,0
11,0
8,0
6,0
9,0
13,0
10,0
0,0
23,0
48,0
64,0
60,0
38,0
13,0
0,0
2,0
0,0
3,0
11,0
13,0
0,0
21,0
29,0
13,0
15,0
36,0
43,0
41,0
40,0
34,0
13,0
21,0
51,0
63,0
55,0
34,0
10,0
9,0
27,0
37,0
44,0
43,0
33,0
11,0
16,0
41,0
55,0
56,0
40,0
6,0
39,0
77,0
94,0
90,0
71,0
45,0
20,0
1,0
12,0
22,0
31,0
37,0
37,0
26,0
5,0
19,0
39,0
47,0
41,0
25,0
7,0
9,0
23,0
33,0
38,0
35,0
32,0
32,0
32,0
26,0
15,0
1,0
7,0
9,0
8,0
13,0
25,0
38,0
45,0
40,0
22,0
5,0
5,0
9,0
10,0
13,0
13,0
9,0
1,0
6,0
11,0
8,0
0,0
3,0
4,0
16,0
21,0
17,0
8,0
8,0
22,0
41,0
44,0
21,0
11,0
32,0
35,0
24,0
9,0
0,0
8,0
28,0
43,0
45,0
34,0
9,0
17,0
37,0
41,0
28,0
13,0
9,0
17,0
30,0
39,0
41,0
37,0
30,0
22,0
11,0
3,0
17,0
20,0
13,0
2,0
6,0
12,0
13,0
5,0
6,0
18,0
24,0
25,0
26,0
29,0
31,0
25,0
10,0
11,0
31,0
40,0
36,0
24,0
10,0
2,0
7,0
18,0
23,0
15,0
3,0
25,0
36,0
35,0
25,0
12,0
2,0
17,0
31,0
41,0
47,0
41,0
18,0
13,0
38,0
47,0
44,0
36,0
25,0
13,0
1,0
11,0
21,0
26,0
30,0
32,0
30,0
24,0
21,0
31,0
50,0
62,0
53,0
27,0
1,0
15,0
21,0
22,0
25,0
31,0
35,0
32,0
26,0
19,0
13,0
8,0
1,0
4,0
9,0
12,0
15,0
16,0
15,0
16,0
20,0
25,0
29,0
32,0
30,0
19,0
0,0
22,0
38,0
49,0
51,0
44,0
25,0
2,0
19,0
30,0
23,0
7,0
7,0
8,0
1,0
10,0
11,0
15,0
21,0
26,0
26,0
18,0
6,0
5,0
11,0
13,0
8,0
0,0
12,0
22,0
30,0
35,0
33,0
25,0
15,0
1,0
16,0
31,0
36,0
25,0
7,0
7,0
13,0
9,0
7,0
11,0
15,0
13,0
4,0
8,0
25,0
44,0
60,0
65,0
52,0
24,0
9,0
39,0
59,0
66,0
62,0
54,0
44,0
35,0
24,0
10,0
3,0
10,0
8,0
1,0
2,0
8,0
24,0
35,0
33,0
20,0
0,0
21,0
36,0
40,0
32,0
19,0
4,0
7,0
15,0
18,0
16,0
5,0
12,0
24,0
24,0
13,0
1,0
9,0
17,0
20,0
13,0
1,0
13,0
13,0
0,0
19,0
36,0
39,0
27,0
7,0
10,0
19,0
20,0
16,0
10,0
9,0
18,0
33,0
44,0
41,0
21,0
4,0
20,0
19,0
10,0
0,0
9,0
16,0
18,0
15,0
9,0
6,0
8,0
15,0
20,0
19,0
16,0
9,0
1,0
19,0
38,0
46,0
38,0
16,0
7,0
24,0
24,0
13,0
0,0
12,0
21,0
25,0
23,0
15,0
7,0
0,0
2,0
5,0
16,0
39,0
64,0
71,0
50,0
17,0
7,0
14,0
12,0
7,0
3,0
2,0
4,0
10,0
17,0
21,0
22,0
15,0
1,0
15,0
26,0
28,0
25,0
25,0
23,0
14,0
