CH1,CH2
4,18
0,11
5,0
6,11
4,22
3,24
1,13
0,12
1,41
1,53
0,46
0,27
1,3
3,22
4,40
4,46
5,43
5,37
6,28
7,8
9,25
7,61
5,77
4,59
3,15
3,31
3,56
4,53
4,29
5,0
5,15
5,11
3,6
3,24
3,31
3,23
2,5
0,13
2,26
4,30
4,29
3,22
0,11
4,5
8,20
10,26
10,23
9,14
7,0
6,20
5,41
3,51
1,45
1,31
2,18
1,7
0,5
1,13
3,26
4,36
5,34
6,23
7,14
8,12
8,10
8,1
7,13
5,26
2,28
1,13
4,6
5,10
3,8
0,37
2,55
4,53
5,39
4,17
2,7
2,29
3,39
4,35
5,21
6,3
7,9
6,13
4,9
2,0
0,6
0,8
0,8
0,8
0,5
0,2
0,11
2,21
4,22
5,9
4,16
2,42
2,54
0,36
1,1
1,37
3,52
4,43
6,16
6,19
7,51
7,67
6,61
6,44
6,27
4,20
2,19
0,14
2,3
3,11
2,23
0,25
2,17
3,1
4,24
5,43
4,45
5,27
6,3
5,32
4,50
2,53
0,42
0,23
0,2
0,10
0,6
0,6
0,22
2,28
2,21
3,1
4,35
5,61
5,64
4,42
3,6
1,25
0,40
0,34
0,19
1,13
2,13
4,10
6,4
6,22
8,34
8,36
8,31
6,21
4,5
0,15
2,32
3,38
3,30
1,16
0,3
3,1
6,0
6,0
8,6
7,24
6,46
6,62
5,63
4,52
3,36
2,28
1,29
0,28
0,15
0,6
0,25
0,32
0,22
2,4
4,9
6,11
6,2
6,9
4,16
3,18
3,20
3,21
3,22
2,20
1,14
1,8
0,7
1,12
2,15
4,11
6,2
7,8
6,16
6,24
4,31
4,38
3,36
2,30
1,27
0,26
0,19
0,0
0,22
1,38
1,42
2,39
4,33
6,25
6,21
7,14
6,2
5,8
4,15
2,13
0,5
1,0
1,5
0,16
0,26
3,28
5,24
6,21
7,19
7,15
7,9
7,5
5,6
4,13
3,24
2,34
0,35
0,26
1,11
2,2
1,8
0,11
2,14
4,19
6,16
7,6
6,5
6,10
4,6
2,5
1,16
1,17
2,13
4,6
5,0
5,4
5,6
5,5
4,6
4,11
2,19
2,25
0,23
1,14
2,5
3,2
2,3
1,3
0,2
2,0
2,2
2,1
3,0
3,5
2,23
1,42
2,52
3,49
4,40
5,26
5,12
5,3
4,19
3,34
4,39
5,37
4,28
5,20
5,18
5,22
5,25
5,22
6,18
5,13
4,9
3,4
2,5
2,14
2,24
2,29
2,27
1,19
2,9
2,2
3,14
4,20
4,14
4,1
3,16
2,18
0,10
0,2
0,19
0,40
0,55
1,54
3,36
5,8
6,17
4,33
2,34
1,25
0,13
0,3
0,2
0,3
0,2
1,4
1,6
3,0
4,13
5,32
6,47
6,51
7,39
6,13
4,14
3,28
2,24
1,8
1,2
2,0
3,8
3,19
3,27
4,31
4,31
5,23
6,5
6,17
7,37
6,49
4,46
3,30
1,8
0,4
0,3
1,7
2,15
2,15
2,12
1,12
0,9
1,3
4,4
6,7
8,4
9,1
8,10
6,22
3,28
1,20
0,2
1,26
1,37
0,31
3,14
4,4
5,14
5,8
5,9
6,27
7,36
7,36
5,35
4,31
1,23
0,9
1,6
0,20
1,30
4,36
5,39
5,38
6,33
7,23
7,14
6,7
5,2
4,1
2,0
0,2
0,4
2,7
2,11
1,17
1,24
2,29
3,29
4,18
3,0
3,14
2,17
2,7
1,7
1,21
0,30
0,29
0,21
1,7
0,9
1,23
0,31
3,32
5,26
7,14
7,2
8,4
7,3
7,1
5,5
4,7
4,7
4,6
3,1
3,7
4,17
4,28
4,34
4,34
4,29
4,20
4,9
5,1
5,3
5,13
3,25
2,32
0,26
1,7
1,19
0,39
0,51
2,60
4,65
4,63
5,51
6,35
5,26
5,21
4,14
3,2
3,15
2,35
0,47
1,51
2,50
2,48
0,44
1,35
1,27
3,22
