CH1,CH2
1,3
4,15
17,36
32,36
35,27
6,16
40,3
76,9
83,15
71,16
55,10
43,1
27,20
3,40
22,49
39,34
48,4
50,48
44,73
27,65
10,30
3,7
12,31
11,35
0,28
13,19
27,10
37,0
42,10
41,11
38,3
40,3
36,3
19,0
6,0
30,11
40,31
30,48
18,53
24,46
46,35
69,24
92,17
112,10
97,3
30,7
49,18
91,28
83,38
49,41
13,39
10,32
23,24
24,17
14,12
0,8
3,2
0,6
6,14
10,19
14,23
21,29
27,33
25,31
6,17
23,2
41,14
26,14
10,8
39,4
41,6
17,9
17,11
40,9
39,7
19,5
1,2
2,11
5,30
9,50
4,63
6,59
17,39
26,13
27,8
15,21
0,26
8,27
15,25
38,21
61,16
56,9
20,2
28,2
65,4
78,6
71,5
46,1
0,2
39,3
37,1
0,4
39,11
51,19
35,28
10,34
3,36
0,34
12,28
25,13
30,7
29,28
14,40
16,44
54,38
73,24
67,5
48,12
29,22
10,23
16,13
42,4
54,0
48,7
29,22
10,42
3,54
10,47
15,24
4,3
18,29
39,50
37,66
15,76
5,71
0,55
18,29
22,1
6,21
16,30
31,29
39,23
44,21
52,27
54,40
48,53
35,59
21,56
6,46
7,34
17,17
19,2
14,22
14,33
23,30
31,17
29,0
15,11
0,13
2,9
12,10
40,25
61,37
57,28
30,7
9,51
46,77
67,71
68,43
55,10
29,10
1,12
25,10
32,17
20,33
1,47
5,46
1,31
8,11
9,6
41,17
54,25
25,31
32,34
74,30
71,17
32,2
14,29
53,54
78,64
86,57
72,37
45,13
17,5
6,13
22,13
25,16
8,21
20,24
38,23
29,20
1,13
25,6
35,0
35,4
33,11
26,22
13,32
2,35
0,31
9,26
22,25
25,23
18,16
8,2
3,10
13,19
18,28
20,36
21,41
20,35
19,16
21,11
25,33
26,37
23,25
16,15
7,19
3,35
8,52
2,54
11,36
20,7
22,19
15,34
6,40
2,39
2,33
2,23
8,15
9,10
5,7
29,5
48,3
55,2
48,5
34,6
15,2
5,6
23,15
28,19
8,13
19,5
23,0
3,2
12,11
11,25
7,36
13,40
26,32
41,16
50,3
56,19
56,27
46,27
29,25
12,24
2,25
5,26
19,28
32,26
31,17
21,4
17,38
18,76
17,107
13,116
5,91
3,39
9,14
9,47
4,54
3,42
11,20
13,0
12,7
16,2
25,25
15,48
20,53
64,37
91,7
79,15
34,18
5,6
19,5
14,7
5,5
2,0
8,2
9,4
3,6
18,7
49,7
67,11
57,18
21,28
24,36
57,38
75,35
78,31
67,31
44,36
22,40
8,37
2,24
2,2
16,20
42,33
70,33
79,23
61,10
30,0
9,2
5,1
16,10
40,21
62,30
52,36
7,36
43,27
74,7
83,22
85,51
87,66
80,58
57,29
27,3
1,28
21,42
24,44
9,37
10,26
22,10
19,10
4,36
16,54
30,51
27,25
8,3
9,19
15,16
7,5
14,1
46,3
75,5
87,6
67,11
24,14
21,12
53,1
69,15
68,29
57,33
30,25
13,7
56,16
68,39
46,51
12,44
23,19
54,10
72,31
67,36
47,25
25,4
9,20
3,47
9,67
20,69
26,50
24,21
20,2
7,13
18,16
36,15
26,15
7,16
9,17
41,16
77,10
84,0
51,13
4,22
31,22
41,15
27,6
2,1
27,9
29,16
7,21
23,24
49,23
64,21
65,19
65,17
68,10
66,2
49,22
11,41
25,50
44,38
46,9
38,22
35,45
33,47
27,36
13,17
2,1
2,25
12,53
21,82
16,94
7,73
40,26
60,16
52,35
27,29
8,12
0,2
0,7
4,21
9,28
5,27
10,20
27,10
31,4
14,21
12,36
39,43
55,36
37,19
3,1
24,12
10,22
9,27
4,28
18,27
43,23
58,18
54,10
27,2
9,3
34,7
43,7
35,5
17,8
2,16
6,27
14,36
16,43
3,50
18,55
35,56
39,47
33,27
25,4
20,41
17,67
16,72
16,54
18,27
23,6
20,1
7,10
13,24
34,30
47,23
48,3
37,20
24,37
17,37
16,25
17,15
14,22
4,46
9,73
19,85
20,73
14,46
8,16
8,6
8,20
11,31
18,40
24,46
21,46
9,38
1,29
2,23
5,21
21,19
42,11
51,6
47,32
44,53
41,57
27,46
2,31
24,22
44,16
55,8
63,3
67,19
68,35
69,47
67,51
47,42
14,30
9,21
16,18
14,16
10,11
11,1
21,12
41,22
64,27
77,29
71,29
55,27
44,18
49,2
63,15
74,23
74,22
60,16
28,12
15,10
52,2
69,13
77,28
92,37
104,37
92,35
54,32
14,27
3,19
1,14
14,18
18,33
5,50
26,58
72,51
108,37
101,26
54,19
3,8
21,8
14,21
6,30
25,42
42,60
74,79
125,86
150,81
100,67
13,49
134,29
209,6
223,13
179,25
93,27
0,20
50,10
58,9
58,25
63,52
68,76
76,84
93,71
101,41
90,2
72,33
43,53
15,55
96,44
164,23
190,2
157,7
83,0
7,12
35,15
36,4
17,35
0,63
10,68
19,48
20,11
16,23
9,43
5,44
1,28
1,9
7,5
12,11
9,8
1,1
0,4
3,7
3,7
0,6
11,3
41,4
78,15
102,23
105,28
87,32
60,33
35,27
19,15
8,8
2,9
1,17
7,17
13,6
20,11
33,23
40,24
22,15
16,7
58,6
90,10
113,12
118,8
99,0
52,13
10,26
68,34
106,36
118,35
94,42
32,61
26,82
40,87
13,61
34,10
89,45
132,84
127,100
73,101
18,96
6,94
31,94
54,93
51,84
21,60
14,25
23,15
1,55
33,83
45,95
31,92
2,80
43,70
86,69
123,73
144,67
146,42
136,4
117,30
92,48
59,52
27,51
6,45
6,37
24,24
45,7
64,11
61,26
30,34
12,30
42,21
39,15
12,18
16,25
30,29
32,29
29,30
23,33
14,37
6,34
36,16
63,13
69,43
58,57
39,50
3,35
64,28
106,35
103,44
74,44
44,29
12,5
25,14
38,18
21,10
8,0
40,4
85,22
73,43
10,55
115,50
178,31
167,9
102,5
30,13
4,11
19,5
23,6
18,21
76,30
107,28
96,18
58,7
24,3
12,7
28,10
54,4
74,9
80,20
64,19
28,8
7,3
20,7
13,2
0,6
5,14
4,17
4,12
8,5
13,2
13,11
9,25
1,38
2,43
3,38
4,22
3,3
1,28
22,47
47,52
61,47
55,43
38,49
27,58
25,57
18,37
6,6
42,23
78,42
106,54
119,56
115,52
91,45
39,35
17,19
41,10
32,49
38,79
77,86
119,68
129,43
88,28
7,26
84,30
160,32
207,25
219,9
178,12
83,28
12,40
56,48
57,54
44,60
34,66
40,65
66,51
101,22
127,17
129,60
104,90
48,93
23,70
74,40
66,17
14,3
37,9
64,28
73,48
76,61
77,61
68,51
50,40
28,35
1,38
27,37
51,22
66,11
73,55
77,86
73,89
60,66
38,33
12,4
13,12
32,11
46,4
54,25
56,39
52,38
40,25
22,6
5,10
9,22
18,25
24,18
24,1
11,21
8,41
9,52
20,46
60,23
85,6
77,28
37,35
7,30
44,20
69,8
75,0
70,2
64,4
46,16
14,24
20,24
48,15
68,5
77,0
80,1
80,1
66,1
34,2
3,8
35,17
56,28
70,38
77,39
77,26
64,6
45,10
34,16
40,10
58,7
67,30
53,48
24,53
7,41
38,23
64,11
76,9
73,5
59,5
38,19
16,33
7,45
7,58
17,65
65,57
95,34
84,1
51,27
22,46
7,48
2,35
5,12
11,13
7,36
11,51
45,53
78,39
93,11
84,21
52,50
6,62
42,57
80,37
86,17
60,9
14,13
34,15
69,7
85,8
86,25
83,33
70,32
45,22
11,10
14,3
26,0
29,5
31,11
35,12
33,2
32,14
47,33
75,48
103,61
142,72
177,81
165,82
85,73
24,54
111,27
144,3
129,30
84,49
32,60
8,69
38,70
62,59
86,29
116,10
139,42
114,46
31,26
74,1
163,27
210,45
216,54
187,54
133,46
68,36
10,26
33,15
63,2
72,31
63,64
49,87
36,88
24,68
12,36
4,5
29,16
47,27
38,26
2,16
41,2
65,12
56,20
31,19
20,9
36,0
63,2
77,2
73,7
56,9
40,2
33,4
32,7
20,5
0,8
13,22
19,38
29,40
47,21
60,7
54,31
23,44
11,50
24,52
23,48
26,35
36,24
43,18
