CH1,CH2
25,10
49,26
70,31
77,24
65,11
41,0
13,8
10,14
23,17
28,16
28,15
22,11
12,7
6,3
12,1
25,0
40,0
47,0
46,0
37,0
20,1
1,3
10,5
14,8
11,12
8,14
12,13
21,13
27,13
27,12
20,12
7,10
14,8
38,5
55,2
58,1
47,4
31,6
14,7
1,8
4,6
1,3
5,0
9,5
11,8
10,10
11,12
14,13
17,14
14,14
6,11
8,8
22,4
27,0
23,4
16,7
11,8
10,8
7,6
2,2
5,1
13,5
18,10
19,12
13,15
3,16
4,14
6,12
1,9
4,5
7,2
5,1
2,5
1,7
5,7
6,5
5,1
4,2
2,5
0,6
1,8
3,12
6,17
9,20
12,20
17,16
23,11
28,4
30,1
23,9
7,17
11,24
25,29
24,30
13,27
1,20
2,11
2,0
10,12
14,20
13,25
11,24
9,19
8,14
4,8
1,4
2,3
4,5
9,10
16,13
29,13
38,11
38,6
30,1
17,2
5,4
1,7
0,13
8,21
19,30
30,34
41,28
46,16
38,2
14,9
18,18
48,27
66,32
71,35
67,32
60,25
51,17
43,12
31,13
10,24
25,34
78,36
132,24
156,4
124,14
42,24
46,24
101,21
105,19
76,19
38,19
12,16
6,10
11,2
16,4
17,6
16,6
10,3
2,4
4,7
3,9
3,7
13,0
21,12
19,23
4,28
19,21
41,6
55,9
65,23
77,33
98,40
116,39
116,31
94,19
56,8
17,3
23,1
59,2
88,1
106,0
108,1
89,1
53,0
13,3
12,7
15,9
4,8
5,9
6,10
0,12
10,12
17,6
21,4
25,16
36,27
60,31
96,27
119,16
95,5
24,3
55,9
107,14
118,20
100,24
69,23
41,18
20,10
7,2
2,3
8,8
20,11
33,12
40,12
36,9
19,6
9,2
43,3
69,9
77,14
73,19
58,21
41,23
26,22
21,20
26,16
37,10
45,4
44,0
35,4
22,6
4,8
13,8
25,8
26,8
16,7
7,4
2,1
2,1
3,4
4,7
4,10
4,12
1,15
6,15
19,16
28,14
32,12
33,9
30,4
26,1
19,6
8,11
3,12
16,13
30,11
42,7
50,2
53,2
49,8
41,12
32,14
21,15
9,14
1,13
10,11
19,7
25,4
31,1
37,1
39,3
37,1
30,2
20,7
8,12
1,11
10,9
15,5
17,1
14,10
9,18
3,24
0,25
4,19
8,8
10,5
13,19
15,30
15,35
12,35
7,24
3,12
1,3
0,0
0,2
0,4
4,3
12,0
20,4
20,7
11,7
3,5
18,3
25,1
18,1
0,0
20,0
30,3
26,9
9,18
11,25
22,31
21,30
16,20
14,1
15,21
19,43
21,57
21,62
15,56
5,43
5,29
15,13
25,4
35,23
41,38
