CH1,CH2
11,-37
15,-5
17,22
11,40
0,44
-9,41
-5,35
5,29
12,17
11,0
13,-19
22,-38
34,-41
46,-38
58,-40
66,-47
65,-55
54,-54
31,-40
0,-10
-32,21
-59,49
-76,64
-80,64
-76,44
-66,22
-51,12
-30,4
-11,-1
2,2
8,14
9,29
13,46
31,66
54,85
72,94
79,71
73,22
52,-21
23,-38
-8,-41
-33,-38
-51,-37
-62,-44
-70,-56
-75,-63
-78,-60
-74,-51
-64,-39
-47,-27
-29,-13
-11,2
6,20
25,38
40,49
45,42
42,21
38,-7
36,-18
39,-7
41,9
36,14
21,10
5,5
1,9
9,20
22,30
32,28
34,8
28,-18
22,-43
17,-55
11,-46
13,-31
20,-11
26,12
28,32
16,39
-2,38
-17,41
-21,49
-18,46
-18,27
-16,9
-11,8
0,14
8,14
14,0
13,-25
9,-54
6,-72
6,-72
9,-58
12,-35
17,-4
21,26
18,46
6,55
-6,54
-18,44
-24,36
-23,34
-14,35
-6,41
0,45
3,44
4,39
2,32
-7,17
-24,-5
-41,-26
-50,-34
-44,-29
-30,-28
-19,-33
-11,-36
-4,-37
2,-34
12,-25
23,-14
36,-3
42,2
40,2
31,-2
27,-4
19,4
16,21
18,32
19,33
21,21
17,4
10,-7
7,-12
12,-14
16,-8
23,3
32,12
41,11
38,3
24,1
12,8
2,17
-9,26
-16,30
-17,23
-16,6
-20,-20
-28,-54
-36,-78
-42,-76
-45,-58
-47,-42
-43,-26
-28,6
-6,50
15,86
29,107
31,114
22,97
6,64
-10,30
-17,9
-13,6
-5,10
-4,3
-9,-7
-11,-23
-13,-41
-14,-58
-5,-66
3,-57
18,-33
36,-6
47,11
48,22
47,38
43,52
36,54
25,46
13,33
1,20
-10,5
-20,-9
-22,-21
-19,-30
-16,-39
-17,-52
-17,-58
-16,-58
-12,-46
-7,-25
1,0
15,23
34,47
54,61
66,59
78,50
87,42
83,31
62,13
30,-13
-2,-38
-27,-47
-45,-43
-56,-35
-62,-24
-63,-6
-62,1
-60,-3
-57,-10
-47,-14
-35,-13
-23,-8
-8,10
8,38
22,57
36,61
48,56
58,50
60,40
52,23
41,4
29,-1
21,2
16,18
8,45
0,59
-9,45
-20,3
-29,-48
-31,-83
