CH1,CH2
64,77
36,79
12,60
-1,33
0,24
9,30
25,30
43,18
62,-10
86,-42
113,-58
140,-56
157,-52
161,-61
156,-74
152,-73
150,-53
153,-27
95,0
43,27
4,42
-21,43
-36,48
-42,73
-43,108
-40,141
-38,152
-37,124
-39,88
-46,72
-55,63
-67,47
-80,19
-91,1
-100,5
-106,16
-105,5
-101,-41
-92,-107
-79,-152
-63,-165
-47,-153
-32,-121
-18,-81
-8,-29
-1,38
2,95
2,134
-109,140
-284,73
-366,-45
-394,-136
-389,-164
-359,-142
-316,-103
-269,-64
-217,-43
-168,-22
-68,10
63,31
130,28
177,23
264,19
383,13
482,3
538,3
568,24
534,49
459,35
390,-6
325,-29
261,-36
179,-48
43,-55
-106,-48
-261,-31
-376,-16
-431,-5
-444,12
-431,44
-398,91
-349,148
-279,195
-206,204
-119,159
-40,95
69,41
203,-4
328,-29
450,-31
498,-35
497,-44
404,-52
324,-61
255,-56
198,-46
151,-58
111,-94
-23,-129
-222,-152
-336,-162
-389,-153
-402,-120
-393,-53
-344,26
-244,89
-140,126
-49,152
75,159
202,122
275,77
296,56
248,61
212,79
108,87
17,77
-6,45
93,-3
209,-52
251,-77
194,-75
129,-57
62,-42
-3,-41
-62,-33
-108,-13
-138,1
-150,6
-270,18
-407,33
-447,38
-433,48
-367,74
-248,99
-111,114
8,108
67,61
59,4
13,-33
-15,-45
-10,-47
5,-55
24,-69
50,-90
75,-100
88,-98
92,-99
101,-113
115,-121
126,-112
115,-87
106,-46
99,-5
89,37
74,88
49,141
18,188
-11,218
-43,224
-59,201
-52,126
-30,0
-10,-97
11,-154
57,-147
121,-85
165,-21
138,16
46,23
-46,-1
-110,-46
-166,-88
-209,-92
-231,-56
-236,0
-235,55
-205,100
-103,144
103,174
316,169
448,142
521,98
509,48
373,7
238,-12
147,-12
40,-12
-95,-23
-194,-33
-265,-33
-315,-42
-346,-71
-361,-102
-360,-106
-302,-79
-217,-51
-163,-29
-99,-11
26,3
199,23
392,46
447,46
393,34
357,34
288,41
138,45
-23,30
-127,11
-199,2
-244,2
-268,5
-277,4
-269,0
-245,-7
-209,-23
-164,-38
-113,-43
-58,-38
-7,-31
46,-22
110,-6
143,3
147,14
151,40
163,65
166,74
159,72
150,66
148,55
123,26
82,-17
93,-46
167,-49
265,-28
347,4
379,10
364,-14
311,-48
251,-70
200,-75
141,-65
55,-56
-20,-54
-63,-51
-30,-45
-59,-29
-109,-7
-146,11
-170,27
-249,49
-329,79
-287,116
-179,136
-50,124
-18,74
-10,1
-5,-67
-33,-126
-141,-166
-205,-157
-217,-109
-212,-55
-221,-6
-207,43
-111,95
15,139
95,155
75,139
66,116
67,97
76,76
88,51
101,27
111,10
113,-8
108,-23
93,-39
70,-54
40,-63
7,-56
-91,-53
-204,-58
-246,-57
-198,-32
-137,-3
-97,4
-63,3
-16,6
49,17
135,31
152,39
152,37
144,29
131,15
110,0
84,-11
53,-12
21,-11
-127,-7
-266,0
-348,1
-367,-6
-326,-14
-241,-10
-103,16
29,35
101,41
123,41
95,25
40,-6
-9,-47
-42,-82
-51,-102
-37,-108
-13,-99
11,-77
32,-49
69,-21
128,10
174,37
166,43
116,44
69,60
22,81
-33,98
-51,112
-12,117
69,106
135,88
153,64
125,35
65,4
4,-24
-72,-49
-160,-64
-207,-59
-221,-44
-212,-27
-188,-14
-135,-8
-15,1
144,21
271,42
278,41
189,19
93,-11
49,-37
43,-49
26,-43
-26,-34
-76,-30
-103,-32
-117,-36
-118,-24
-110,-8
-96,0
-76,2
-40,4
11,7
34,11
29,17
30,29
35,40
39,47
42,44
42,33
42,15
38,-14
32,-49
26,-65
23,-58
22,-39
24,-20
22,-11
24,-6
27,6
33,24
39,34
44,32
50,27
72,24
115,26
154,31
130,14
68,-12
20,-20
-12,0
-33,33
-46,66
-53,87
-53,100
-50,96
-42,69
-34,33
-26,2
-18,-21
-10,-37
-6,-41
-3,-39
-2,-40
-2,-42
-3,-48
43,-61
151,-75
248,-74
240,-57
123,-33
14,-13
-47,-1
-77,14
-90,32
-92,49
-88,62
-82,68
-76,71
-73,63
-72,45
-74,23
-75,3
