CH1,CH2
-115,-43
-56,-35
-23,-25
4,-13
25,-2
29,8
17,15
23,23
41,25
43,25
19,25
-11,29
-30,33
-42,29
-61,18
-74,6
-71,0
-62,-1
-43,5
-10,14
19,21
35,24
28,19
5,10
-10,-2
-16,-19
-13,-33
-5,-39
4,-34
22,-26
51,-14
82,-2
94,3
84,10
44,13
-14,14
-54,19
-62,20
-56,17
-45,11
-34,5
-24,-3
-13,-14
0,-20
9,-22
15,-19
22,-16
41,-11
69,-9
95,-6
105,-2
91,3
60,10
22,16
-12,22
-36,26
-46,26
-48,21
-48,12
-46,4
-44,2
-39,2
-38,3
-40,7
-39,9
-31,11
-19,11
5,11
39,15
81,20
110,21
127,21
134,18
113,9
63,2
27,-3
12,-10
1,-18
-13,-25
-27,-28
-44,-23
-61,-13
-72,-2
-84,7
-90,13
-78,17
-55,17
-25,16
0,16
6,14
9,12
21,12
40,13
50,11
41,5
15,-1
-12,-9
-36,-16
-53,-23
-56,-30
-46,-34
-26,-31
2,-21
35,-5
61,9
63,19
49,22
36,23
32,23
27,25
19,27
14,27
13,20
9,9
-2,-3
-15,-15
-22,-19
-20,-19
-20,-17
-26,-18
-32,-16
-28,-10
-15,-1
3,7
16,13
30,18
46,25
64,28
79,25
80,17
58,8
28,1
-1,-4
-17,-3
-11,0
12,2
38,0
54,-1
48,-1
15,-1
-31,1
-79,8
-108,16
-116,19
-108,16
-97,10
-84,3
-64,0
-41,0
-17,0
0,2
13,0
30,-2
65,-3
100,0
111,0
93,1
69,0
45,2
24,4
8,2
0,0
2,-2
11,-3
15,-2
11,1
1,5
-10,9
-12,10
-12,6
-19,0
-30,-8
-41,-16
-48,-28
-44,-34
-19,-29
28,-14
81,2
115,13
121,19
96,20
57,23
27,27
9,28
-9,27
-32,24
-62,22
-85,25
-95,24
-100,16
-95,7
-73,0
-42,-6
-11,-15
12,-21
22,-25
27,-22
34,-14
37,-5
28,0
17,8
9,16
1,19
-7,19
-6,21
5,25
20,24
25,19
26,10
21,2
16,-4
14,-7
16,-5
20,-2
26,0
32,3
31,4
23,3
2,-1
-18,-9
1,-14
49,-15
75,-14
73,-10
46,-5
2,-3
-43,-3
-64,0
-54,1
-35,2
-33,1
-48,1
-66,1
-73,-3
-70,-6
-63,-7
-52,-4
-31,6
-4,14
18,20
30,23
