CH1,CH2
38,120
28,136
43,174
62,98
33,19
24,87
27,100
40,135
27,202
33,26
25,70
5,56
33,120
22,62
24,58
22,37
26,92
25,24
27,125
47,66
33,38
44,13
42,22
31,7
28,13
21,13
24,35
28,8
20,40
25,57
37,81
0,53
27,81
27,73
21,14
17,13
27,36
22,58
22,38
47,91
34,37
46,289
51,166
44,55
25,42
24,87
23,35
39,59
26,60
22,32
27,118
11,14
59,54
26,190
28,137
69,70
32,118
22,22
32,67
53,94
54,21
29,29
22,16
20,124
26,117
23,70
28,15
23,166
26,177
38,111
21,220
3,79
32,46
23,51
32,24
55,11
31,20
25,45
36,34
68,16
40,11
36,43
22,52
31,94
11,15
25,95
22,66
8,14
29,170
28,137
35,62
6,130
38,115
22,211
20,68
23,68
27,21
39,45
39,113
56,282
36,64
32,52
29,30
13,21
20,18
26,46
23,40
42,23
27,18
34,51
30,78
21,140
26,91
29,15
29,288
37,33
26,12
26,76
25,60
53,55
38,199
26,26
26,82
41,59
30,16
33,77
23,211
5,134
10,107
20,18
20,120
10,198
22,80
27,29
30,19
35,31
28,103
32,20
34,25
70,116
42,26
30,87
24,25
44,7
27,23
23,30
24,27
21,41
89,50
43,54
27,12
19,41
52,54
23,26
37,63
63,5
43,28
39,39
37,23
54,17
28,30
26,50
21,12
27,53
20,64
26,27
28,15
20,18
27,16
40,36
24,54
19,20
29,103
30,101
36,214
53,47
34,138
33,50
47,73
41,25
24,169
28,67
28,16
40,50
30,27
25,55
22,59
24,97
39,29
33,18
21,141
27,156
28,121
26,196
30,65
44,68
27,212
27,18
36,80
46,39
18,56
25,29
23,55
37,112
24,131
29,15
29,20
40,112
33,78
22,100
27,50
37,9
33,12
28,29
21,66
30,30
25,19
34,105
35,52
38,134
23,172
26,117
20,100
41,10
24,13
22,26
22,40
37,95
29,139
25,68
25,78
39,62
23,34
29,86
24,72
38,9
32,37
45,17
38,27
48,41
37,54
32,36
27,122
38,199
28,221
36,109
42,476
48,68
22,49
25,68
26,39
46,20
29,17
29,86
32,44
47,24
38,12
38,16
35,15
49,17
37,16
27,62
25,18
49,13
28,50
26,48
36,86
44,113
18,94
18,74
23,185
36,147
25,64
35,86
46,74
37,14
29,52
32,16
33,29
20,44
27,15
22,11
22,68
40,49
31,27
38,141
24,20
28,15
25,13
29,32
24,10
27,16
26,41
28,68
36,12
38,151
33,69
30,31
29,59
36,29
21,80
26,126
16,49
12,70
16,43
19,64
20,51
21,18
40,121
25,261
24,66
25,200
30,201
29,42
37,19
51,69
47,47
23,33
29,68
23,37
43,98
26,210
26,32
25,29
29,146
26,16
22,96
19,163
32,157
20,15
23,66
24,178
29,160
29,135
37,37
44,42
33,19
35,36
22,13
20,42
23,30
29,67
25,46
46,42
42,38
18,20
17,24
25,59
30,115
18,16
26,43
29,66
29,150
26,199
40,79
42,188
32,210
30,189
27,22
30,93
33,100
21,126
20,84
22,31
25,41
25,61
38,102
26,94
26,51
25,226
29,106
36,230
41,92
32,17
38,63
43,47
33,14
23,11
26,16
25,73
25,43
