CH1,CH2
80,48
49,68
145,92
214,147
172,179
240,79
121,30
44,80
194,54
291,124
239,185
259,218
314,140
314,94
159,68
53,30
31,32
34,47
42,23
189,82
67,137
36,109
37,97
39,79
119,41
379,69
184,8
136,44
84,27
63,117
79,36
58,35
4,25
26,64
33,191
43,135
119,16
45,34
45,12
65,32
29,27
29,157
47,215
79,217
105,87
56,59
46,28
39,172
37,359
21,439
24,269
19,47
69,117
36,196
27,153
61,21
46,18
61,75
23,120
33,121
47,98
55,15
26,31
49,183
63,212
30,202
41,138
60,62
73,20
64,31
55,32
37,77
20,66
40,24
41,109
31,193
57,195
37,162
32,97
28,89
28,170
30,126
42,160
85,62
101,30
187,33
49,106
19,84
67,71
53,153
91,70
112,51
119,17
103,25
73,21
20,36
23,56
35,34
49,21
53,19
71,29
62,15
108,43
69,44
78,15
26,25
50,10
111,16
39,53
35,17
30,30
47,73
11,111
30,39
122,26
139,21
31,60
36,54
102,12
26,14
173,26
121,119
28,99
47,47
81,29
189,14
80,29
28,15
36,28
68,65
79,26
56,20
33,12
37,45
37,70
44,80
41,43
27,39
21,45
34,19
51,10
56,43
37,89
23,145
48,171
133,90
98,11
0,22
35,16
27,22
77,19
63,51
69,201
47,196
50,168
38,143
159,172
216,191
173,35
78,176
30,245
110,200
179,179
208,211
181,301
70,128
38,45
56,124
27,166
181,180
135,82
46,109
43,63
44,41
254,71
67,95
29,14
23,54
40,158
39,75
39,73
38,173
41,131
40,19
34,106
60,222
76,292
84,155
50,137
29,72
30,13
11,71
135,14
142,38
90,108
23,149
40,100
42,120
37,21
33,115
34,121
30,146
36,103
57,44
70,21
49,34
30,27
26,30
0,37
63,25
102,25
35,13
71,13
36,28
0,42
27,71
37,63
30,51
22,54
22,15
64,93
55,51
26,10
30,14
73,14
47,20
50,27
58,15
39,11
161,18
181,15
65,28
38,34
64,12
39,67
248,61
316,14
291,30
83,62
51,47
82,19
106,10
64,10
59,7
28,42
70,23
26,20
46,36
39,17
23,67
32,66
39,13
53,12
35,11
36,54
77,54
65,43
80,45
25,75
27,22
66,60
85,101
184,94
225,57
212,111
140,127
57,45
21,80
247,50
262,68
132,149
150,123
292,141
55,154
30,103
39,27
39,61
21,113
49,159
53,53
25,12
109,55
44,190
107,152
52,112
34,232
31,167
82,83
157,40
179,148
176,81
90,41
29,113
26,127
53,97
213,17
193,64
25,48
26,34
50,75
27,41
30,37
54,56
73,112
37,70
36,71
33,21
20,94
28,58
45,45
55,25
37,77
29,79
23,27
21,73
31,130
32,43
57,11
29,97
30,181
38,187
50,112
82,55
179,36
168,152
85,256
47,242
24,166
71,69
106,110
91,221
85,187
36,22
24,29
31,91
143,186
91,138
80,22
98,89
125,101
19,38
71,22
37,75
22,91
34,71
85,145
87,147
87,30
114,127
47,307
243,344
127,55
45,18
43,33
30,16
26,23
54,56
29,41
32,22
28,14
49,17
63,23
54,59
30,61
52,91
36,94
45,76
10,21
125,24
132,15
120,11
108,102
51,106
180,18
158,27
72,71
51,68
48,82
152,33
45,10
44,40
34,75
36,132
38,143
63,78
111,18
24,33
26,26
25,79
32,21
120,33
86,14
71,14
230,44
369,19
177,12
179,40
115,122
346,96
244,19
87,13
35,39
89,130
47,95
47,99
36,95
35,98
29,44
0,75
21,20
29,13
63,129
35,53
28,28
0,34
37,13
58,38
67,69
24,291
42,326
37,211
54,89
34,29
79,28
73,38
30,84
81,42
32,31
44,137
61,148
69,18
38,95
34,169
24,147
23,142
27,71
50,20
76,15
37,14
28,32
22,57
23,15
32,15
30,82
34,111
32,104
42,38
28,17
29,116
0,91
11,99
23,50
32,23
28,15
26,29
0,82
55,62
26,44
66,36
100,19
55,17
73,17
49,13
39,40
28,44
44,12
28,31
11,30
22,62
31,96
29,43
25,51
78,99
103,139
163,81
39,80
40,195
49,126
63,140
73,254
51,147
38,91
25,82
42,47
92,14
63,13
69,47
36,71
92,12
202,11
219,13
36,15
72,14
200,58
241,30
104,47
53,19
34,13
91,23
55,43
40,12
38,58
147,73
156,69
138,62
27,14
28,60
61,68
70,31
60,48
167,60
135,19
28,36
64,40
25,45
79,110
30,133
128,202
337,163
149,50
101,124
165,110
165,106
82,101
97,98
32,47
103,198
86,75
89,54
21,20
46,44
60,42
29,19
107,57
52,104
28,72
43,91
42,15
101,49
86,86
111,101
13,63
69,96
30,97
45,62
53,92
40,71
54,60
38,105
30,104
34,47
44,13
58,38
50,43
52,42
34,82
96,87
83,10
83,6
13,78
32,178
82,228
36,221
37,115
19,36
58,141
41,209
31,159
25,178
30,227
56,178
45,131
41,142
60,29
35,90
49,77
49,62
45,63
49,15
39,18
39,18
31,65
36,109
37,50
24,19
42,35
87,78
145,56
133,31
38,10
81,20
108,18
189,20
106,11
27,12
37,13
38,71
48,134
48,157
62,137
64,176
40,35
44,89
105,203
80,123
66,195
88,187
34,58
43,13
46,18
68,11
78,28
37,16
32,23
28,16
38,33
27,51
21,50
40,16
40,13
39,11
77,78
56,57
24,51
33,23
67,12
47,11
105,18
264,19
237,38
35,51
42,54
84,71
83,65
35,37
69,111
28,94
298,14
434,50
151,66
87,66
22,129
31,120
138,58
52,24
53,33
43,87
26,91
83,108
84,26
67,70
28,27
37,27
41,128
67,146
54,197
43,304
28,62
33,11
45,70
38,47
40,79
85,96
60,73
52,47
42,83
46,202
38,184
0,55
65,14
79,41
72,87
101,75
67,53
0,142
29,93
30,39
42,18
74,57
