CH1,CH2
69,92
35,17
42,31
83,63
35,81
29,119
96,62
29,24
30,14
40,15
146,18
143,19
42,13
32,39
96,17
80,22
31,23
93,13
116,13
117,19
86,41
121,27
74,16
234,41
261,64
140,30
60,37
49,32
187,26
202,18
207,14
41,50
217,58
73,37
126,27
37,92
299,140
365,134
95,41
178,20
408,12
277,51
103,78
47,52
39,78
114,105
31,29
38,74
39,72
114,27
90,82
154,21
194,15
98,16
366,41
547,30
538,8
335,12
56,30
37,35
84,15
175,90
495,75
545,23
258,15
78,12
77,20
214,48
322,43
114,13
385,46
155,83
137,74
100,57
147,44
131,48
246,29
418,17
174,22
57,19
61,31
101,38
49,35
42,33
41,106
51,84
58,44
69,16
65,66
33,119
14,154
39,85
36,19
38,14
39,22
38,17
62,39
58,34
29,22
106,16
60,43
36,77
31,81
29,17
25,60
30,79
32,66
63,85
118,104
37,94
27,26
24,40
30,89
32,161
19,161
71,141
68,108
38,73
67,21
219,110
224,172
27,207
36,155
51,59
36,19
72,62
109,20
418,69
510,31
46,20
109,29
137,69
174,34
123,20
55,76
36,20
141,53
58,92
34,98
37,142
138,22
321,25
50,14
151,46
46,58
32,26
28,150
0,209
61,189
75,96
120,123
52,81
82,15
45,26
48,67
69,55
52,35
35,35
28,35
78,32
29,19
31,97
50,70
25,20
36,58
203,33
236,24
226,32
69,84
245,83
158,47
176,35
55,40
54,20
46,23
272,95
415,90
317,75
148,43
342,15
248,34
181,82
331,79
228,27
127,52
33,41
162,21
243,16
38,14
67,16
285,85
115,122
204,32
204,21
29,16
69,18
223,24
450,25
249,49
32,28
43,27
37,11
61,32
96,25
114,17
30,20
32,85
57,34
35,93
75,169
178,183
96,73
34,14
35,41
51,85
54,124
190,71
89,54
27,36
28,61
147,70
95,63
26,116
47,111
38,43
72,59
110,41
57,64
64,37
42,44
29,50
36,27
31,30
29,17
32,14
28,27
26,30
31,24
87,52
90,44
96,30
39,14
51,30
59,51
36,99
108,73
126,39
109,14
128,22
307,20
281,46
38,15
333,61
599,66
164,97
90,38
28,74
177,154
141,190
51,106
41,62
83,128
312,105
117,228
64,248
32,112
56,76
46,39
41,15
37,15
45,16
33,18
24,102
36,66
33,76
31,89
24,43
24,42
34,47
37,15
39,22
37,15
40,48
162,46
476,50
79,76
95,25
158,19
67,24
50,38
103,15
93,14
93,42
29,77
62,115
36,67
22,33
151,33
116,76
65,19
45,35
57,61
37,17
34,15
86,14
136,26
70,15
24,48
30,53
278,23
372,14
119,13
112,29
89,18
406,36
188,35
112,18
39,19
78,8
135,17
404,15
243,22
20,42
333,16
272,23
106,37
41,21
27,40
40,25
46,36
410,54
141,18
55,61
31,149
33,93
43,22
1,14
103,34
101,15
53,19
56,42
171,20
149,30
24,96
23,117
36,35
256,31
372,60
70,126
397,122
42,133
60,95
227,42
148,67
114,167
32,259
29,156
102,60
22,19
23,28
79,101
227,273
141,165
21,27
51,78
43,61
106,75
52,62
104,15
17,63
156,71
143,35
41,32
136,21
82,31
35,80
93,86
46,44
33,35
31,91
185,95
220,37
67,74
107,84
70,16
128,93
146,114
72,86
110,77
173,160
208,24
174,27
243,20
136,25
34,21
85,61
229,41
279,78
212,160
48,141
100,83
83,170
99,158
49,47
24,18
56,167
211,344
238,188
45,141
29,67
269,47
124,53
49,13
59,22
150,29
239,19
56,29
183,88
43,66
59,26
32,35
130,14
47,29
159,66
424,64
197,57
34,29
267,17
371,28
550,29
219,15
72,20
29,15
128,21
128,25
44,40
103,18
138,32
171,28
43,14
31,32
63,7
34,15
34,40
30,24
27,20
206,31
343,20
470,56
384,15
79,117
208,170
263,110
372,38
226,36
105,29
100,33
239,21
361,57
55,15
126,21
243,53
91,84
43,98
31,57
43,15
68,28
250,15
208,23
88,96
312,139
181,75
35,58
73,22
41,68
79,43
37,13
53,18
36,13
30,101
35,112
66,70
46,100
44,18
28,16
30,15
53,60
46,44
49,15
65,18
42,51
34,28
118,21
51,26
93,20
28,15
76,23
127,38
72,31
34,27
25,19
49,117
78,164
72,86
91,34
30,54
283,102
267,43
45,27
51,9
60,64
29,98
29,93
36,97
46,85
52,64
122,34
54,76
29,36
54,15
108,24
166,16
37,15
194,39
272,64
176,54
56,32
66,56
29,124
36,102
46,115
53,66
52,17
56,21
31,21
53,19
61,12
74,12
53,36
35,51
25,48
54,46
41,39
48,29
41,54
5,18
51,53
65,28
23,26
84,32
73,26
179,16
122,42
40,67
83,16
89,18
192,70
110,92
48,42
88,43
87,24
43,24
40,20
78,35
34,57
28,67
39,29
77,15
60,19
91,17
40,18
36,18
111,16
73,25
72,75
51,16
30,29
31,31
27,28
152,47
50,26
43,23
33,15
138,24
30,20
37,17
64,30
135,26
87,39
71,44
79,76
53,42
278,58
211,96
91,60
78,46
75,49
35,31
31,24
47,15
147,14
183,28
144,49
42,56
43,63
52,33
116,17
40,19
43,15
86,17
42,50
167,58
168,86
64,30
71,20
131,30
51,16
133,24
52,37
59,57
92,51
46,75
61,101
26,15
95,43
62,35
28,14
155,18
177,12
122,18
80,25
73,31
55,38
36,19
76,32
90,35
73,55
86,82
55,103
111,117
274,21
295,40
76,16
31,16
126,31
328,70
106,95
30,155
33,200
157,30
151,14
24,26
38,31
41,77
53,118
97,182
72,160
78,55
57,65
31,168
105,250
56,122
104,16
77,36
72,14
150,40
32,6
162,15
129,30
31,45
34,18
46,35
116,57
76,42
112,61
55,29
64,28
60,30
116,33
100,30
79,93
39,168
85,65
54,19
41,14
73,18
85,28
35,19
72,35
49,50
133,84
279,78
207,15
51,29
114,18
58,18
58,84
30,160
41,18
119,71
298,86
95,17
328,20
199,17
91,42
303,61
378,13
211,61
44,47
31,16
57,17
26,16
124,18
107,16
41,71
243,105
120,15
82,69
18,79
64,150
59,156
31,70
39,22
45,32
55,69
39,82
72,36
39,14
38,43
63,32
77,73
168,98
316,41
232,14
148,32
79,24
277,23
309,43
222,60
48,80
34,56
216,16
350,17
105,28
158,69
254,81
243,132
394,143
103,75
151,14
143,36
59,105
33,58
25,18
76,18
57,35
127,32
84,23
80,23
63,38
43,15
52,34
39,34
55,52
37,17
66,61
29,24
53,33
64,36
50,42
75,15
95,55
98,25
62,16
37,46
60,55
25,24
38,44
30,26
34,15
111,32
41,15
63,48
30,16
47,12
64,20
58,42
33,65
35,17
60,24
79,26
69,182
331,123
177,38
220,24
159,59
35,60
193,53
282,43
331,47
196,71
55,78
31,58
83,65
23,72
108,27
39,37
212,84
102,81
57,13
156,59
94,38
214,13
403,31
141,34
