CH1,CH2
21,11
19,13
18,13
17,15
21,16
23,12
21,15
21,12
20,11
21,12
18,9
20,10
19,11
20,15
19,14
20,13
21,12
27,13
25,11
23,14
18,11
21,14
16,11
16,10
17,11
15,10
18,13
19,9
22,8
20,16
16,15
23,11
18,10
20,12
18,15
20,11
21,11
25,14
27,15
26,17
23,14
21,16
19,14
19,14
17,12
18,13
16,9
20,10
15,12
18,12
19,13
20,12
23,12
23,12
21,11
22,11
22,11
25,9
21,11
18,14
18,15
20,12
19,12
20,12
20,12
19,14
21,10
17,10
16,11
24,20
17,14
19,12
19,11
21,14
21,12
21,13
23,13
38,15
21,12
16,11
17,10
29,12
16,14
19,14
18,11
7,11
19,13
20,12
19,14
23,12
22,12
21,20
21,15
24,16
17,13
20,13
22,10
34,15
21,22
21,18
21,13
12,13
18,12
16,11
15,9
24,10
18,13
19,10
18,10
32,12
21,13
20,21
23,15
23,14
20,10
22,9
28,8
31,11
18,13
19,13
17,14
19,14
21,14
21,11
12,12
2,14
9,13
14,11
18,13
15,15
20,13
23,13
21,16
36,14
24,17
25,10
24,15
29,14
18,13
16,13
16,11
17,14
18,10
18,12
19,11
15,16
21,10
22,8
22,10
22,15
20,13
21,13
21,13
37,13
21,13
20,11
21,12
20,17
21,17
21,10
19,11
15,12
16,12
16,11
16,11
23,12
23,10
19,11
19,12
16,16
24,16
33,13
27,10
28,11
22,10
25,14
22,22
19,20
19,15
19,13
19,12
21,12
21,11
19,11
16,12
10,12
18,11
17,12
17,24
37,20
21,13
21,12
22,14
33,15
27,10
23,12
19,10
23,11
18,12
16,10
17,10
6,12
17,10
19,10
23,12
1,9
21,12
17,10
15,11
18,15
20,12
20,9
25,11
27,16
29,17
29,20
27,18
20,12
19,11
18,10
16,10
12,13
16,11
17,13
17,13
7,12
31,11
21,11
21,14
21,13
20,10
23,12
23,20
23,11
24,10
21,12
19,11
17,15
20,11
20,13
21,11
5,8
16,12
16,14
14,10
10,12
17,10
17,11
19,16
24,13
23,12
25,13
26,11
34,10
16,13
16,19
14,17
31,10
21,11
19,14
18,17
3,15
20,13
21,12
20,11
22,11
18,10
18,10
19,10
24,12
19,10
22,13
24,11
34,18
22,19
22,16
22,13
13,13
18,12
16,10
20,10
1,13
19,16
19,11
19,13
16,13
24,12
21,11
20,14
33,10
21,10
20,8
21,12
33,15
22,16
19,15
19,12
13,13
17,13
17,14
16,11
11,9
12,11
16,12
20,10
4,16
19,12
21,12
22,14
23,11
25,13
22,13
25,14
29,16
16,12
17,10
17,9
13,16
18,12
19,15
20,17
5,16
23,11
19,12
18,10
21,15
18,11
19,17
19,9
28,14
21,19
24,13
24,15
24,12
26,10
17,13
17,11
14,10
21,12
17,11
18,11
1,10
14,11
17,12
18,12
16,13
24,12
22,10
21,10
29,12
22,15
23,14
21,14
19,17
18,18
20,14
20,14
13,12
20,10
15,9
16,10
2,13
