CH1,CH2
"783
","87
"
"60
","44
"
"15
","71
"
"14
","98
"
"138
","60
"
"54
","14
"
"189
","247
"
"140
","341
"
"64
","218
"
"133
","145
"
"341
","73
"
"149
","86
"
"0
","87
"
"284
","88
"
"219
","123
"
"2
","229
"
"106
","301
"
"0
","50
"
"235
","95
"
"255
","145
"
"530
","41
"
"104
","175
"
"326
","109
"
"98
","112
"
"14
","103
"
"10
","385
"
"95
","567
"
"333
","449
"
"94
","292
"
"148
","145
"
"17
","20
"
"118
","150
"
"56
","138
"
"306
","323
"
"113
","303
"
"91
","262
"
"26
","219
"
"32
","291
"
"181
","292
"
"58
","265
"
"79
","106
"
"170
","24
"
"229
","148
"
"405
","161
"
"242
","317
"
"4
","226
"
"121
","166
"
"195
","50
"
"98
","88
"
"15
","64
"
"313
","177
"
"259
","254
"
"319
","206
"
"167
","116
"
"225
","73
"
"75
","246
"
"191
","330
"
"183
","433
"
"297
","266
"
"37
","185
"
"29
","136
"
"0
","17
"
"51
","63
"
"216
","347
"
"155
","339
"
"66
","278
"
"283
","227
"
"420
","16
"
"397
","56
"
"14
","69
"
"176
","183
"
"109
","200
"
"300
","153
"
"51
","74
"
"139
","102
"
"188
","311
"
"407
","163
"
"85
","12
"
"176
","62
"
"156
","78
"
"362
","154
"
"97
","112
"
"223
","126
"
"145
","26
"
"18
","108
"
"26
","21
"
"264
","33
"
"13
","110
"
"487
","173
"
"383
","49
"
"351
","30
"
"0
","131
"
"175
","483
"
"15
","354
"
"273
","22
"
"47
","298
"
"270
","296
"
"340
","196
"
"238
","357
"
"80
","308
"
"187
","235
"
"137
","66
"
"109
","197
"
"63
","284
"
"878
","252
"
"368
","232
"
"174
","209
"
"140
","187
"
"276
","60
"
"281
","212
"
"71
","56
"
"178
","48
"
"104
","49
"
"4
","115
"
"151
","311
"
"158
","71
"
"132
","169
"
"227
","476
"
"25
","306
"
"96
","72
"
"110
","159
"
"103
","97
"
"13
","104
"
"208
","97
"
"280
","26
"
"157
","33
"
"113
","51
"
"168
","38
"
"138
","128
"
"156
","201
"
"0
","188
"
"15
","68
"
"56
","22
"
"345
","157
"
"105
","264
"
"106
","158
"
"93
","17
"
"271
","63
"
"4
","121
"
"442
","226
"
"585
","70
"
"50
","93
"
"71
","9
"
"120
","56
"
"183
","44
"
"7
","76
"
"84
","13
"
"258
","145
"
"51
","100
"
"273
","145
"
"150
","120
"
"12
","193
"
"280
","63
"
"388
","123
"
"192
","10
"
"26
","27
"
"5
","71
"
"334
","265
"
"11
","52
"
"35
","35
"
"207
","241
"
"55
","354
"
"184
","172
"
"263
","98
"
"39
","226
"
"77
","88
"
"76
","58
"
"228
","106
"
"515
","75
"
"33
","87
"
"256
","37
"
"488
","97
"
"249
","49
"
"183
","246
"
"342
","120
"
"396
","50
"
"41
","114
"
"37
","43
"
"11
","142
"
"86
","147
"
"68
","111
"
"32
","143
"
"33
","41
"
"267
","274
"
"214
","355
"
"448
","314
"
"82
","187
"
"27
","40
"
"55
","20
"
"114
","94
"
"99
","336
"
"90
","371
"
"22
","388
"
"121
","464
"
"256
","30
"
"16
","51
"
"83
","63
"
"283
","126
"
"29
","155
"
"0
","201
"
"191
","70
"
"75
","11
"
"303
","187
"
"436
","135
"
"212
","164
"
"209
","107
"
"203
","172
"
"2
","146
"
"132
","196
"
"73
","252
"
"132
","232
"
"159
","343
"
"340
","387
"
"33
","309
"
"36
","82
"
"92
","285
"
"57
","301
"
"67
","248
"
"58
","142
"
"105
","116
"
"111
","287
"
"35
","138
"
"108
","103
"
"76
","29
"
"9
","35
"
"77
","298
"
"488
","379
"
"67
","337
"
"38
","144
"
"129
","28
"
"93
","46
"
"19
","87
"
"132
","292
"
"181
","519
"
"52
","490
"
"208
","77
"
"61
","92
"
"198
","144
"
"127
","269
"
"74
","114
"
"127
","153
"
"206
","171
"
"199
","23
"
"43
","91
"
"307
","31
"
"58
","120
"
"16
","20
"
"16
","74
"
"284
","13
"
"134
","40
"
"15
","144
"
"10
","215
"
"58
","214
"
"246
","189
"
"357
","192
"
"395
","97
"
"369
","16
"
"447
","84
"
"105
","36
"
"109
","121
"
"237
","350
"
"215
","337
"
"253
","148
"
"129
","260
"
"189
","295
"
"95
","96
"
"195
","67
"
"180
","87
"
"57
","288
"
"245
","502
"
"92
","471
"
"81
","299
"
"188
","329
"
"124
","116
"
"291
","121
"
"15
","49
"
"54
","65
"
"265
","35
"
"71
","171
"
"1
","25
"
"27
","89
"
"673
","140
"
"52
","59
"
"236
","205
"
"36
","360
"
"102
","163
"
"45
","94
"
"15
","15
"
"113
","17
"
"44
","275
"
"11
","390
"
"241
","235
"
"49
","119
"
"46
","20
"
"83
","77
"
"134
","32
"
"18
","70
"
"20
","229
"
"132
","184
"
"238
","139
"
"20
","169
"
"28
","62
"
"2
","104
"
"279
","314
"
"773
","150
"
"276
","106
"
"157
","197
"
"334
","329
"
"646
","377
"
"56
","105
"
"314
","14
"
"29
","65
"
"13
","136
"
"393
","22
"
"185
","9
"
"136
","28
"
"74
","22
"
"130
","83
"
"68
","26
"
"16
","52
"
"54
","233
"
"35
","302
"
"100
","241
"
"26
","112
"
"404
","16
"
"92
","33
"
"259
","102
"
"749
","208
"
"49
","158
"
"478
","78
"
"50
","110
"
"214
","85
"
"63
","37
"
"806
","23
"
"345
","250
"
"66
","205
"
"444
","99
"
"25
","39
"
"238
","105
"
"191
","256
"
"355
","263
"
"48
","62
"
"195
","42
"
"124
","118
"
"21
","266
"
"203
","184
"
"293
","39
"
"182
","242
"
"68
","387
"
"36
","389
"
"23
","278
"
"481
","238
"
"209
","236
"
"132
","97
"
"264
","136
"
"244
","285
"
"239
","305
"
"26
","295
"
"413
","171
"
"121
","207
"
"256
","255
"
"75
","37
"
"520
","155
"
"63
","152
"
"195
","304
"
"19
","175
"
"177
","154
"
"70
","142
"
"136
","73
"
"347
","46
"
"78
","10
"
"183
","71
"
"245
","158
"
"474
","35
"
"241
","34
"
"219
","26
"
"284
","109
"
"521
","100
"
"62
","95
"
"130
","104
"
"243
","107
"
"218
","51
"
"114
","88
"
"86
","189
"
"57
","162
"
"144
","159
"
"224
","22
"
"45
","149
"
"50
","112
"
"401
","69
"
"349
","175
"
"157
","206
"
"69
","161
"
"202
","10
"
"172
","24
"
"1
","25
"
"314
","82
"
"44
","31
"
"277
","190
"
"146
","52
"
"675
","87
"
"111
","90
"
"407
","127
"
"255
","145
"
"534
","17
"
"827
","67
"
"641
","139
"
"477
","420
"
"516
","515
"
"591
","240
"
"185
","83
"
"184
","102
"
"14
","33
"
"127
","137
"
"67
","124
"
"16
","136
"
"94
","179
"
