CH1,CH2
100,21
207,26
161,30
67,20
97,19
98,32
103,19
102,18
83,28
91,21
78,46
63,70
89,62
58,27
98,34
93,22
68,22
66,23
63,19
90,22
107,25
126,23
115,20
84,33
94,21
99,26
87,51
64,25
98,21
103,36
119,25
129,20
110,27
110,23
102,21
63,28
77,22
85,22
77,27
107,34
130,23
108,33
107,46
69,43
191,22
195,20
67,51
190,21
187,24
108,26
97,23
78,48
134,22
93,23
65,32
76,34
148,75
73,34
92,20
164,21
111,23
69,24
61,23
118,33
178,26
84,31
77,44
60,57
83,44
66,40
32,19
79,25
156,48
168,78
117,46
71,17
282,19
184,22
101,22
71,22
106,24
163,46
123,26
119,41
74,61
55,45
68,37
9,37
160,31
133,31
72,19
108,22
147,21
142,32
82,24
75,27
80,26
99,26
175,22
109,22
55,21
91,22
88,25
111,37
4,31
61,26
81,23
122,23
118,26
128,23
99,30
66,27
174,20
89,22
137,23
268,26
126,20
73,23
83,30
133,27
130,68
32,69
82,30
70,25
85,27
63,20
74,22
131,31
162,27
152,41
90,47
83,22
93,25
18,26
49,21
95,38
86,33
131,26
109,38
107,33
130,21
109,23
146,25
66,29
144,33
68,49
93,25
85,22
99,25
62,25
52,27
114,22
126,26
129,26
196,21
109,21
97,58
103,25
65,34
55,40
69,36
50,48
151,25
165,29
70,22
119,24
89,30
4,19
119,20
58,20
90,29
131,29
114,32
270,21
120,27
119,20
105,25
81,49
40,35
83,35
57,25
67,23
74,21
78,19
115,27
150,19
94,20
117,19
125,49
136,17
58,21
87,23
64,21
72,23
63,20
66,19
51,24
60,33
149,38
114,44
71,43
65,7
85,21
72,23
101,28
130,56
100,75
49,42
130,35
159,27
67,22
87,28
63,24
115,49
79,60
117,29
160,22
265,43
316,31
469,25
80,90
359,87
204,23
259,26
207,24
118,25
62,20
82,21
89,23
58,38
6,25
68,29
54,21
72,21
71,19
62,22
77,25
73,42
67,23
93,58
68,23
133,54
263,26
110,36
221,59
205,33
129,32
119,22
245,29
300,59
117,51
73,52
116,20
92,24
105,20
78,24
129,86
132,97
129,31
74,23
60,25
122,38
195,44
69,47
30,59
86,22
76,34
59,28
107,26
103,71
58,41
162,23
93,22
58,27
70,22
71,10
98,49
119,44
118,21
84,23
144,23
57,5
69,41
68,27
69,20
89,22
68,24
107,6
114,32
87,20
123,22
111,22
101,22
43,20
114,26
75,23
70,22
65,20
64,25
0,33
61,24
67,21
74,22
112,54
93,94
71,35
75,26
108,24
133,21
101,22
72,43
74,21
64,22
75,29
91,26
66,23
89,17
100,34
99,25
67,29
96,20
143,37
118,21
98,30
82,25
125,45
75,51
66,48
66,28
82,23
71,23
63,21
120,24
157,66
196,37
84,24
51,26
161,51
116,35
64,57
192,23
92,22
155,21
82,19
118,21
53,34
76,23
208,20
161,22
138,36
69,61
96,39
212,22
58,22
84,21
97,20
134,60
79,34
91,37
79,22
61,24
59,23
65,16
89,54
59,40
68,37
60,41
102,22
136,16
133,54
134,47
130,35
79,22
97,20
42,42
74,56
112,31
93,21
75,25
56,22
72,20
70,28
130,61
94,22
118,20
122,55
28,29
86,19
64,54
141,32
120,36
132,12
92,22
58,23
88,33
113,21
100,27
153,30
74,23
95,30
