CH1,CH2
104,23
105,24
104,31
115,24
113,31
117,23
102,24
104,24
106,23
103,23
116,26
115,23
105,29
113,26
106,22
99,24
99,23
103,24
111,23
100,29
101,29
90,29
104,24
94,24
96,26
96,25
109,24
98,28
92,25
115,23
97,25
101,23
103,31
93,26
96,25
101,23
111,23
103,25
134,20
96,22
99,25
98,28
99,24
112,25
103,28
95,23
95,22
96,24
107,25
100,31
89,23
95,23
98,22
97,22
100,26
103,23
124,27
99,22
99,27
101,22
111,27
136,30
98,24
99,23
98,22
111,23
101,37
97,27
104,22
100,24
102,29
111,23
116,35
108,22
96,27
95,25
114,23
100,28
96,25
100,22
111,23
96,24
97,26
100,20
103,25
97,30
95,26
119,24
99,27
135,31
94,23
96,22
101,29
103,26
114,31
101,23
97,22
105,26
99,25
111,23
99,26
109,26
95,24
98,25
97,26
132,26
133,29
105,25
97,24
97,26
97,31
113,22
101,23
98,24
104,25
104,23
108,26
114,26
99,23
96,22
100,24
102,25
114,23
105,24
113,27
97,26
108,24
101,25
122,30
100,25
107,22
96,26
99,25
109,26
130,23
110,26
102,24
101,27
102,24
101,28
113,22
103,27
101,23
99,26
102,32
99,25
94,26
95,26
110,25
107,24
111,28
99,23
94,27
107,23
98,23
98,27
98,28
95,23
96,23
100,30
109,23
100,25
105,27
98,25
96,25
117,23
99,24
99,24
95,24
96,26
106,26
109,25
108,26
100,25
110,22
103,23
102,23
104,23
102,34
99,28
101,26
104,23
97,24
98,26
97,28
117,29
94,26
100,24
97,23
97,22
130,28
93,23
95,23
98,23
100,22
100,27
105,27
96,23
98,27
96,23
112,25
103,31
93,24
100,26
108,23
104,25
110,22
115,27
106,24
97,27
98,25
107,23
96,32
90,28
102,23
95,23
106,23
101,24
111,26
101,25
114,23
102,25
112,26
103,34
99,25
104,26
110,24
101,24
114,26
140,25
109,28
98,26
114,24
101,25
112,27
95,24
117,25
98,24
96,23
100,23
103,28
95,28
105,23
98,23
98,28
97,26
126,24
95,27
95,23
110,22
103,25
112,36
99,24
103,24
101,26
110,23
100,26
133,26
98,27
95,26
108,23
98,22
101,24
101,28
105,24
96,23
95,23
108,24
101,27
117,25
102,25
108,28
98,23
112,23
105,28
92,25
106,23
103,23
105,26
101,27
104,23
112,23
99,23
98,23
113,23
112,25
112,25
103,25
114,26
108,25
112,24
103,22
97,23
98,22
98,29
110,23
123,33
104,23
95,25
99,26
116,23
99,37
95,24
96,26
107,23
97,27
98,25
112,29
91,26
95,24
101,23
98,23
100,28
112,20
105,24
101,23
110,23
100,26
116,29
91,24
94,24
95,27
96,26
109,24
99,27
104,27
103,26
106,23
96,26
97,26
120,25
102,23
107,24
96,27
97,25
110,33
90,24
97,28
95,27
108,23
99,26
99,31
96,24
106,23
98,29
110,24
103,25
133,24
103,27
111,26
112,24
110,27
103,28
133,23
96,25
112,24
99,30
100,23
123,30
95,25
106,24
96,27
118,23
101,34
96,23
105,22
96,25
111,30
107,26
112,27
95,22
108,25
100,25
111,23
101,27
98,29
100,22
102,23
100,26
101,26
122,26
106,24
93,26
94,23
110,23
105,25
99,26
96,27
98,22
98,26
98,26
110,39
99,23
101,26
106,26
98,25
113,23
101,25
109,23
96,26
103,23
101,29
109,22
94,27
95,24
106,23
98,23
97,24
97,33
96,26
94,23
104,28
98,26
114,23
101,28
102,28
95,26
113,23
101,25
111,26
101,28
108,25
96,27
104,25
99,23
109,30
117,27
94,26
108,23
100,24
110,24
102,26
105,26
100,25
97,24
97,23
98,29
93,27
104,24
96,25
97,27
105,24
99,26
95,26
94,27
109,23
99,23
101,22
117,30
100,23
101,26
100,23
