CH1,CH2
"58
","311
"
"26
","121
"
"31
","33
"
"32
","77
"
"16
","48
"
"27
","1
"
"29
","143
"
"29
","228
"
"14
","44
"
"46
","98
"
"34
","11
"
"31
","143
"
"63
","54
"
"40
","67
"
"29
","100
"
"28
","107
"
"25
","59
"
"48
","152
"
"29
","54
"
"29
","162
"
"33
","0
"
"60
","18
"
"31
","21
"
"42
","127
"
"65
","60
"
"29
","185
"
"29
","81
"
"65
","35
"
"30
","61
"
"52
","231
"
"33
","272
"
"79
","157
"
"79
","41
"
"35
","197
"
"25
","29
"
"68
","220
"
"18
","213
"
"30
","228
"
"33
","124
"
"32
","182
"
"18
","195
"
"50
","1
"
"45
","127
"
"26
","204
"
"13
","70
"
"29
","7
"
"39
","128
"
"83
","80
"
"99
","95
"
"34
","136
"
"29
","25
"
"67
","33
"
"55
","49
"
"113
","15
"
"95
","0
"
"37
","118
"
"50
","212
"
"49
","88
"
"25
","7
"
"35
","212
"
"17
","14
"
"37
","20
"
"82
","63
"
"41
","257
"
"15
","76
"
"32
","439
"
"30
","279
"
"44
","43
"
"54
","0
"
"28
","96
"
"25
","120
"
"27
","2
"
"34
","180
"
"27
","85
"
"28
","6
"
"32
","30
"
"35
","97
"
"30
","138
"
"27
","134
"
"24
","20
"
"22
","183
"
"29
","198
"
"28
","43
"
"48
","241
"
"74
","41
"
"24
","1
"
"42
","30
"
"33
","79
"
"28
","149
"
"38
","103
"
"25
","266
"
"39
","187
"
"40
","138
"
"44
","307
"
"42
","126
"
"31
","263
"
"29
","0
"
"29
","105
"
"23
","22
"
"57
","57
"
"73
","9
"
"28
","76
"
"30
","178
"
"24
","7
"
"57
","22
"
"37
","0
"
"26
","38
"
"26
","170
"
"40
","137
"
"60
","42
"
"29
","122
"
"52
","87
"
"105
","120
"
"29
","180
"
"80
","243
"
"76
","26
"
"37
","6
"
"34
","202
"
"61
","366
"
"50
","71
"
"101
","138
"
"70
","139
"
"39
","62
"
"37
","42
"
"72
","27
"
"49
","9
"
"54
","22
"
"41
","206
"
"46
","82
"
"35
","30
"
"29
","32
"
"56
","174
"
"62
","67
"
"38
","32
"
"33
","69
"
"32
","120
"
"32
","3
"
"33
","168
"
"31
","58
"
"32
","79
"
"52
","82
"
"30
","58
"
"23
","19
"
"31
","5
"
"42
","110
"
"33
","24
"
"120
","237
"
"67
","0
"
"34
","30
"
"27
","46
"
"50
","20
"
"30
","38
"
"54
","92
"
"42
","203
"
"53
","5
"
"30
","91
"
"40
","309
"
"30
","112
"
"25
","131
"
"33
","222
"
"53
","22
"
"28
","81
"
"30
","17
"
"28
","90
"
"53
","0
"
"54
","14
"
"27
","89
"
"28
","103
"
"37
","111
"
"70
","207
"
"50
","56
"
"32
","4
"
"51
","141
"
"27
","32
"
"34
","100
"
"87
","0
"
"70
","4
"
"36
","136
"
"27
","0
"
"28
","116
"
"38
","12
"
"28
","24
"
"31
","28
"
"43
","131
"
"56
","196
"
"23
","108
"
"34
","56
"
"20
","119
"
"49
","67
"
"38
","0
"
"26
","3
"
"28
","12
"
"46
","103
"
"31
","12
"
"37
","228
"
"28
","222
"
"62
","34
"
"35
","70
"
"25
","122
"
"42
","61
"
"73
","241
"
"30
","262
"
"29
","72
"
"31
","33
"
"85
","36
"
"26
","91
"
"32
","64
"
"92
","238
"
"73
","194
"
"49
","75
"
"116
","56
"
"49
","29
"
"29
","25
"
"41
","51
"
"37
","5
"
"34
","24
"
"61
","79
"
"30
","51
"
"35
","66
"
"27
","174
"
"62
","9
"
"47
","0
"
"29
","84
"
"40
","35
"
"47
","49
"
"26
","156
"
"51
","205
"
"55
","86
"
"38
","90
"
"46
","198
"
"46
","180
"
"29
","60
"
"26
","91
"
"25
","79
"
"36
","72
"
"52
","69
"
"45
","74
"
"27
","102
"
"30
","0
"
"43
","70
"
"33
","100
"
"104
","138
"
"53
","381
"
"80
","335
"
"25
","27
"
"30
","15
"
"27
","50
"
"40
","27
"
"26
","28
"
"48
","140
"
"29
","234
"
"32
","177
"
"25
","293
"
"30
","172
"
"26
","307
"
"25
","514
"
"28
","217
"
"32
","108
"
"27
","49
"
"35
","30
"
"34
","9
"
"29
","2
"
"29
","93
"
"32
","49
"
"38
","54
"
"24
","3
"
"24
","9
"
"24
","130
"
"24
","24
"
"27
","0
"
"31
","24
"
"29
","2
"
"26
","48
"
"26
","12
"
"18
","0
"
"37
","64
"
"31
","12
"
"32
","120
"
"23
","141
"
"24
","0
"
"28
","92
"
"30
","34
"
"25
","255
"
"45
","5
"
"33
","44
"
"49
","240
"
"73
","222
"
"60
","171
"
"32
","24
"
"32
","54
"
"38
","2
"
"32
","7
"
"35
","324
"
"31
","288
"
"26
","334
"
"29
","150
"
"61
","153
"
"54
","153
"
"31
","52
"
"29
","110
"
"29
","44
"
"34
","127
"
"25
","314
"
"34
","181
"
"49
","3
"
"28
","313
"
"30
","217
"
"42
","94
"
"40
","2
"
"35
","61
"
"29
","296
"
"44
","208
"
"59
","58
"
"43
","146
"
"25
","0
"
"30
","2
"
"31
","146
"
"32
","8
"
"26
","249
"
"26
","193
"
"28
","154
"
"46
","383
"
"45
","456
"
"30
","65
"
"29
","157
"
"30
","211
"
"31
","186
"
"41
","34
"
"26
","259
"
"33
","86
"
"43
","403
"
"30
","99
"
"32
","67
"
"29
","11
"
"33
","80
"
"35
","74
"
"32
","100
"
"36
","170
"
"25
","149
"
"42
","39
"
"47
","13
"
"134
","99
"
"59
","44
"
"56
","15
"
"46
","29
"
"28
","274
"
"32
","369
"
"29
","171
"
"26
","127
"
"38
","116
"
"27
","67
"
"26
","92
"
"26
","56
"
"30
","168
"
"102
","160
"
"82
","3
"
"47
","221
"
"36
","163
"
"55
","25
"
"47
","195
"
"24
","204
"
"43
","233
"
"31
","246
"
"26
","12
"
"50
","153
"
"45
","159
"
"56
","97
"
"33
","224
"
"40
","232
"
"33
","140
"
"56
","55
"
"36
","304
"
"29
","99
"
"63
","102
"
"71
","33
"
"27
","85
"
"63
","65
"
"40
","9
"
"34
","357
"
"32
","126
"
"33
","36
"
"26
","16
"
"31
","14
"
"26
","11
"
"30
","63
"
"26
","0
"
"25
","6
"
"36
","80
"
"40
","215
"
"40
","46
"
"74
","175
"
"42
","0
"
"48
","72
"
"35
","108
"
"31
","339
"
"30
","420
"
"26
","77
"
"28
","0
"
"36
","117
"
"60
","32
"
"29
","0
"
"60
","150
"
"30
","63
"
"29
","58
"
"26
","167
"
"17
","242
"
"26
","173
"
"24
","63
"
"37
","166
"
"31
","5
"
"35
","190
"
"30
","81
"
"27
","0
"
"33
","34
"
"86
","197
"
"53
","336
"
"29
","158
"
"33
","65
"
"42
","50
"
"46
","9
"
"32
","51
"
"49
","132
"
"63
","31
"
"55
","248
"
"80
","62
"
"58
","89
"
"31
","152
"
"31
","122
"
"39
","59
"
"29
","268
"
"25
","92
"
"24
","80
"
"37
","160
"
"36
","102
"
"25
","0
"
"43
","105
"
"26
","0
"
"29
","225
"
"39
","337
"
"55
","1
"
"93
","36
"
"28
","243
"
"44
","20
"
"84
","228
"
"47
","96
"
"42
","354
"
"26
","188
"
"30
","5
"
"24
","115
"
"15
","20
"
"27
","27
"
"31
","9
"
"29
","76
"
"32
","105
"
"24
","4
"
"30
","181
"
"37
","235
"
"31
","226
"
"26
","16
"
"30
","194
"
"64
","8
"
"67
","29
"
"35
","43
"
"29
","0
"
"31
","38
"
"37
","26
"
"34
","191
"
"38
","171
"
"26
","60
"
"27
","61
"
"35
","61
"
"29
","65
"
"35
","74
"
"17
","58
"
"39
","0
"
"61
","42
"
"52
","179
"
"33
","51
"
"24
","174
"
"29
","251
"
"32
","64
"
"31
","101
"
"26
","7
"
"26
","46
"
"29
","86
"
"32
","82
"
"29
","17
"
"36
","0
"
"28
","79
"
"28
","13
"
"32
","76
"
"33
","90
"
"35
","66
"
"18
","0
"
"24
","67
"
"30
","184
"
"31
","0
"
"36
","66
"
"37
","102
"
"44
","30
"
"42
","0
"
"31
","21
"
"29
","124
"
"25
","40
"
"27
","208
"
"12
","123
"
"75
","77
"
"29
","80
"
"31
","136
"
"37
","341
"
"29
","207
"
"55
","305
"
"25
","24
"
"60
","95
"
"54
","70
"
"28
","108
"
"32
","5
"
"29
","90
"
"34
","132
"
"30
","104
"
"29
","2
"
"29
","21
"
"65
","205
"
"30
","3
"
"28
","0
"
"50
","119
"
"27
","105
"
"25
","0
"
"31
","12
"
"32
","361
"
"37
","118
"
"46
","21
"
"35
","44
"
"34
","87
"
"24
","42
"
"50
","43
"
"60
","30
"
"10
","14
"
"25
","148
"
"32
","118
"
"47
","175
"
"56
","6
"
"31
","96
"
"31
","26
"
"33
","74
"
"26
","109
"
"29
","5
"
"68
","56
"
"28
","96
"
"34
","75
"
"27
","9
"
