CH1,CH2
49,48
37,41
24,25
32,36
44,59
64,66
87,52
68,100
73,83
71,29
54,13
46,30
45,28
29,29
71,27
49,27
66,24
56,21
113,14
62,22
110,28
132,46
68,67
32,37
29,12
51,11
109,22
229,55
81,49
66,79
76,40
61,14
85,12
71,15
25,13
46,26
221,26
275,25
153,15
197,10
296,18
41,12
34,48
43,13
29,40
27,39
46,30
108,25
83,45
31,12
65,23
51,15
62,19
55,19
64,52
134,10
174,23
135,15
77,13
54,31
222,63
95,24
114,20
96,46
247,67
412,15
498,106
41,26
94,12
47,39
84,22
65,52
98,168
173,245
223,233
264,198
200,27
67,161
35,326
101,198
156,241
137,50
30,35
34,88
47,266
84,175
51,16
37,56
36,79
38,36
47,29
44,40
29,58
29,144
52,129
48,30
78,25
159,117
132,62
70,60
68,110
56,106
32,36
43,100
27,41
50,56
76,12
37,62
36,104
53,103
76,157
56,121
56,106
79,175
136,94
58,36
40,167
40,114
197,237
210,307
30,70
34,43
25,53
75,25
82,29
33,32
41,61
68,92
79,55
48,69
53,83
58,65
38,37
46,28
33,236
89,192
101,54
49,13
52,46
83,37
101,16
177,15
60,21
46,48
47,122
33,51
119,34
183,139
129,153
194,85
55,53
172,37
140,105
31,22
33,13
73,13
119,17
55,14
29,65
50,73
70,60
109,22
95,11
81,14
36,13
85,13
93,28
44,13
29,60
51,98
43,85
61,34
35,18
237,39
319,11
194,18
63,57
93,51
178,44
35,15
69,32
98,25
144,51
44,11
68,16
130,21
146,12
145,44
46,11
138,77
70,36
25,135
77,195
30,75
57,39
48,240
46,345
48,297
32,217
34,77
37,14
45,25
43,69
169,122
35,170
98,120
116,29
124,35
108,17
66,108
57,113
72,118
35,274
36,265
49,127
23,59
59,61
78,351
64,400
30,370
29,296
118,19
25,12
27,59
60,106
86,52
131,167
10,157
103,90
63,14
39,78
35,175
75,158
148,147
90,67
52,32
40,42
42,12
39,13
46,84
69,152
49,94
52,60
94,29
125,5
85,37
47,47
22,73
55,77
36,19
153,13
163,181
119,110
160,68
93,73
27,21
75,14
30,34
26,61
36,76
39,95
26,144
27,148
113,124
56,34
71,182
62,57
112,61
61,63
64,13
30,36
29,32
25,34
0,9
27,41
84,55
91,23
68,28
42,55
28,40
29,89
42,146
45,44
28,51
34,129
99,85
87,48
45,18
124,33
163,21
172,52
120,63
108,52
61,41
46,18
160,57
118,39
53,72
58,26
118,10
235,12
172,27
53,46
71,78
36,91
27,67
56,78
27,132
41,142
47,122
125,122
144,35
121,47
40,145
63,171
29,110
128,142
138,233
41,179
81,98
34,42
52,15
33,35
36,83
18,15
25,24
32,55
32,133
50,152
77,100
127,18
33,58
41,35
45,56
39,236
34,106
58,35
102,11
30,17
25,63
51,77
65,63
215,17
40,37
221,181
33,283
50,258
4,120
68,87
35,29
26,270
130,388
67,389
87,330
149,129
87,36
36,11
37,45
29,55
106,51
45,46
33,38
30,69
38,47
0,56
55,13
35,47
38,77
27,141
32,149
129,27
33,45
95,79
37,120
51,110
77,132
127,137
103,92
52,92
39,57
33,70
29,209
40,224
33,97
31,71
36,42
40,13
5,35
100,30
95,51
75,23
52,56
61,34
2,14
52,25
124,12
105,11
59,85
64,120
36,150
43,145
60,157
61,20
100,128
168,206
67,233
56,158
70,15
47,13
220,20
235,11
142,19
23,19
113,29
41,57
20,83
53,29
116,25
145,30
135,66
29,11
157,13
118,37
33,28
40,13
31,85
25,102
26,54
45,103
110,24
52,163
35,185
65,125
36,41
33,18
33,42
77,12
35,15
0,25
30,44
74,23
69,11
54,18
71,40
49,32
112,33
53,16
84,72
72,63
43,34
69,28
74,13
30,37
47,50
61,51
42,67
52,98
219,148
40,95
70,23
62,64
89,40
96,51
65,80
34,56
39,141
57,155
71,81
29,85
26,85
39,33
43,19
82,110
36,209
32,134
26,71
44,47
48,67
72,92
133,43
60,19
59,82
69,87
35,38
116,34
11,13
18,16
38,41
44,12
46,11
32,64
27,12
60,28
35,27
31,109
28,178
31,112
59,116
37,62
42,18
29,139
39,204
27,206
84,128
75,28
29,30
31,71
38,94
82,133
51,32
49,123
55,102
26,22
29,20
7,10
56,30
79,16
31,153
70,211
46,84
36,21
42,20
35,24
89,12
134,13
76,31
29,32
22,28
34,19
97,33
31,44
45,31
83,38
55,34
61,59
34,105
35,157
30,119
51,47
89,11
111,32
32,25
98,38
31,81
27,74
51,50
127,25
96,190
101,227
41,175
38,191
48,127
40,27
115,16
271,19
157,26
49,45
145,77
339,77
294,72
81,31
55,18
39,39
98,82
53,118
65,51
32,12
26,33
25,56
36,46
39,30
43,49
107,31
125,16
153,20
56,56
94,30
208,91
135,129
119,96
31,32
177,32
401,9
311,17
204,18
109,88
120,42
111,35
19,123
39,132
63,124
67,16
64,35
29,53
25,66
30,12
50,41
73,35
111,42
87,37
74,31
35,46
48,45
103,138
101,88
60,57
73,79
121,32
97,15
73,45
30,27
54,39
8,21
83,20
80,14
28,13
36,24
45,20
31,13
28,54
24,82
39,20
32,14
25,67
39,76
34,72
32,49
39,37
47,17
78,15
52,12
35,113
40,273
63,196
44,136
56,92
55,12
47,91
88,124
74,57
60,12
91,69
125,108
31,125
62,104
99,17
79,67
29,110
142,227
95,138
53,65
74,63
78,96
47,242
29,155
27,68
29,13
52,63
72,34
30,33
29,53
52,103
63,93
78,84
155,17
175,95
32,85
47,117
28,99
19,61
36,22
33,46
36,17
26,12
106,49
14,61
39,11
32,11
40,19
50,25
42,37
57,29
131,11
111,14
350,14
256,52
114,21
106,25
47,50
119,51
37,70
53,23
29,15
25,15
69,28
96,11
93,29
47,65
20,27
39,13
35,15
53,10
53,11
45,22
81,18
55,15
28,16
53,43
56,16
52,10
81,25
26,15
44,19
30,22
36,15
25,34
91,58
45,124
50,59
58,13
48,33
28,59
44,86
27,80
29,38
37,17
25,12
24,12
52,29
26,13
37,14
64,39
46,12
33,28
96,21
60,11
35,29
51,100
21,181
53,54
24,18
122,49
133,42
28,24
51,127
70,158
56,118
45,100
48,155
51,99
44,154
60,386
28,258
45,173
111,98
53,21
26,10
0,57
25,73
33,23
46,56
56,77
40,58
19,55
40,61
78,51
78,17
37,36
49,64
112,37
50,15
63,11
71,10
41,33
30,57
0,26
40,33
27,12
25,68
27,61
42,28
0,86
38,70
31,51
38,58
33,102
57,71
162,12
152,70
122,20
82,36
61,104
80,226
241,256
223,146
77,59
35,110
111,127
57,57
39,11
32,20
26,22
36,17
31,43
29,43
35,33
29,30
35,24
57,48
96,80
83,33
90,35
31,55
27,59
31,14
28,35
10,75
26,113
35,62
46,14
36,12
42,27
51,13
48,12
118,13
119,38
86,84
41,26
52,13
74,23
52,58
69,69
107,59
89,42
31,53
100,42
147,54
124,14
29,27
36,13
38,23
37,15
38,23
33,117
29,56
0,17
21,94
27,186
49,72
36,86
31,59
52,30
42,11
55,17
98,52
116,84
100,58
96,52
89,14
52,93
50,168
116,160
129,171
42,107
133,93
37,180
79,193
166,84
283,15
269,142
79,120
77,73
75,121
175,78
39,120
108,238
99,117
81,22
5,25
53,42
39,19
48,12
76,22
72,37
46,13
37,45
55,88
35,116
26,87
39,68
91,32
63,83
48,113
31,127
28,23
35,224
68,130
57,11
71,62
47,68
27,65
43,85
40,62
16,14
69,11
60,14
46,23
55,47
18,13
63,20
52,20
53,45
92,64
136,38
184,85
45,106
39,81
98,19
72,64
119,38
130,12
47,51
35,72
30,32
26,10
28,11
26,11
36,13
35,27
43,22
80,23
106,20
98,27
56,50
26,47
36,49
40,40
8,28
28,37
