CH1,CH2
300,36
304,44
315,61
271,72
128,88
39,141
20,116
34,40
34,40
30,50
38,44
26,20
51,25
65,50
30,79
22,104
31,59
49,56
96,49
138,27
66,13
36,16
37,32
45,20
36,16
45,54
50,83
60,175
48,133
35,28
41,13
30,31
89,54
45,71
33,56
35,27
45,15
62,13
54,14
130,18
152,65
0,13
44,24
25,24
46,14
50,14
76,39
0,40
37,40
47,63
134,17
227,18
208,83
77,19
32,183
141,230
25,116
61,41
246,27
231,19
37,17
238,19
378,14
210,11
98,17
110,14
155,13
270,18
31,24
142,22
187,17
273,15
190,17
37,12
64,27
113,55
220,64
204,16
214,23
143,31
38,43
33,65
48,33
44,16
46,17
61,32
76,25
41,37
65,14
107,15
30,27
28,76
16,16
31,37
51,24
166,14
233,16
118,22
3,15
50,12
140,59
165,92
130,84
90,64
75,63
75,25
73,25
175,30
41,27
47,59
56,30
47,32
34,59
107,92
44,109
53,44
51,51
84,34
73,29
63,16
33,42
12,121
20,229
201,157
117,104
29,68
35,30
42,15
29,11
41,14
52,19
218,14
104,63
198,94
192,53
40,58
77,60
52,45
210,49
179,58
51,41
82,66
298,30
532,8
371,16
61,16
46,113
244,307
292,192
2,36
25,13
29,21
38,34
40,23
66,79
80,27
27,14
30,19
34,24
32,13
62,29
104,13
71,34
50,31
58,20
39,15
32,21
21,27
71,21
205,20
137,14
59,55
30,54
103,22
40,11
31,17
138,46
125,54
48,38
85,11
93,32
89,43
127,29
250,13
238,8
157,17
57,32
24,28
28,34
64,39
123,12
29,11
45,71
59,50
68,19
166,47
102,18
67,13
72,22
57,40
49,35
33,38
37,22
36,56
30,58
23,39
28,25
31,26
1,51
28,55
53,25
28,14
25,29
44,46
49,27
31,24
32,33
30,25
29,13
26,20
20,33
64,21
92,16
161,14
213,31
263,46
472,33
534,40
166,30
262,36
440,27
401,24
436,40
528,107
237,25
114,19
25,40
40,41
50,38
65,20
75,107
71,151
70,83
76,89
56,99
112,24
34,11
77,13
28,18
23,28
32,17
37,50
41,27
72,19
103,30
32,26
81,15
72,19
31,12
83,12
194,24
30,11
48,12
103,12
227,35
33,28
22,53
112,63
29,23
45,25
36,51
151,66
302,19
295,100
37,107
246,97
43,49
334,28
135,34
316,19
247,28
132,16
445,19
444,23
402,53
399,106
39,38
49,19
45,11
21,12
34,17
32,11
36,30
31,44
93,15
48,51
38,20
49,25
46,30
31,19
77,13
68,12
50,13
49,10
102,21
144,8
371,48
296,15
134,14
35,44
230,83
247,45
310,60
180,89
97,94
30,53
45,61
45,58
23,19
32,183
26,312
35,215
67,62
83,68
84,29
25,62
194,71
80,69
51,8
39,14
107,45
100,101
26,61
34,32
13,24
33,128
46,126
21,25
33,27
58,17
90,13
28,48
50,59
45,58
151,20
128,13
33,24
64,47
35,40
223,15
124,13
195,58
236,35
171,14
66,16
77,27
303,13
462,17
105,15
52,34
54,64
311,84
287,15
63,39
28,12
32,24
35,15
35,15
49,37
31,30
22,18
23,62
33,105
29,56
26,7
46,17
40,23
35,78
43,75
57,34
70,29
7,18
104,15
318,98
588,88
457,122
59,46
458,22
837,31
696,15
207,14
63,24
163,14
97,13
73,11
73,25
37,64
71,98
174,109
98,123
32,48
31,99
35,175
15,117
69,90
59,75
61,40
31,13
30,20
40,35
46,20
44,56
32,115
46,98
34,27
72,68
66,40
76,14
57,14
303,17
285,93
185,61
59,44
55,14
274,26
553,65
198,110
18,49
30,13
43,59
31,16
65,29
7,16
101,72
36,13
47,39
54,171
84,250
10,170
65,32
31,22
41,27
97,15
98,31
101,24
158,60
205,73
167,53
40,31
52,9
84,22
224,15
325,13
44,13
317,11
324,20
152,55
586,46
528,51
187,65
36,12
71,105
168,96
66,23
37,15
34,21
46,46
27,56
30,27
129,64
347,86
225,47
167,50
124,35
43,28
137,48
126,34
45,23
417,13
852,32
412,15
190,92
642,94
778,97
947,33
422,185
29,195
49,76
68,33
88,33
99,27
105,47
102,13
67,19
32,42
33,30
56,26
25,47
45,34
51,25
14,10
69,19
31,35
66,43
73,53
51,30
18,53
93,35
23,13
140,37
61,43
122,27
142,111
142,80
197,16
46,23
141,30
72,52
41,88
111,85
213,13
308,111
52,96
168,58
47,109
33,84
31,76
70,36
85,18
119,20
58,19
50,24
40,32
34,24
36,28
49,36
42,19
44,50
44,72
61,61
42,51
102,20
173,13
153,25
27,48
44,45
43,25
118,41
139,62
107,51
23,34
65,29
218,11
134,118
153,108
40,20
200,57
517,110
381,67
301,68
123,47
205,25
369,77
379,197
487,105
244,48
31,29
38,179
69,136
44,30
64,13
55,20
37,40
31,36
26,15
72,20
39,15
112,31
102,61
44,70
54,33
31,11
63,27
174,12
148,12
59,15
48,12
67,23
126,71
143,69
44,85
42,66
21,34
119,26
103,14
35,13
128,49
86,44
38,13
117,67
36,59
77,35
50,23
75,15
89,32
29,40
47,19
45,15
42,25
86,16
63,25
24,36
38,53
140,73
77,23
52,86
77,73
71,77
86,42
48,28
60,45
31,30
46,20
86,25
89,47
26,70
118,66
119,61
145,12
127,30
39,50
43,28
33,40
39,62
61,36
104,27
195,15
180,20
35,42
102,88
37,56
291,73
248,34
52,19
154,17
49,15
24,26
75,15
134,89
34,101
54,59
49,37
37,60
26,44
26,168
39,179
40,36
25,15
53,17
28,24
53,30
143,12
134,24
