CH1,CH2
17,14
14,12
16,14
9,6
18,17
18,11
19,10
39,8
23,14
21,14
19,13
2,7
16,8
20,8
21,10
32,12
20,10
18,11
19,10
19,10
20,12
20,9
20,8
14,6
20,14
15,11
22,9
26,14
20,11
18,14
21,13
20,8
18,9
23,10
29,9
31,14
16,13
18,13
17,10
18,11
20,11
19,19
18,13
20,5
11,14
22,10
25,9
27,13
14,9
17,10
19,9
30,8
18,11
19,12
23,14
28,8
20,9
20,9
17,18
20,7
16,10
16,10
16,15
15,8
22,17
16,14
21,14
27,5
19,16
23,14
20,12
32,5
18,12
23,11
19,11
26,10
20,10
18,9
19,10
23,6
16,13
18,11
15,8
21,8
18,10
17,10
20,11
31,13
16,10
22,9
27,11
37,6
25,9
26,9
20,10
25,12
16,10
16,14
16,11
29,13
20,11
20,9
21,15
26,10
20,8
19,10
19,11
31,6
16,20
20,20
22,18
32,6
23,10
21,17
21,19
30,6
20,11
15,14
16,11
28,5
20,10
16,8
18,8
27,11
16,11
20,16
21,14
35,7
21,12
23,10
22,10
33,9
7,11
19,16
23,18
37,7
20,13
19,11
21,10
42,6
15,12
17,15
15,11
33,12
17,10
17,10
17,10
36,11
21,10
24,9
23,8
40,11
18,10
26,11
19,10
32,14
19,11
17,9
19,16
38,8
20,12
20,12
21,9
42,14
19,8
18,10
19,9
31,8
23,11
21,12
21,10
28,7
21,18
17,18
18,19
15,7
12,11
16,13
15,16
16,7
16,16
19,14
19,10
20,8
22,20
22,14
20,15
19,6
20,10
20,11
22,11
22,11
21,11
18,12
19,22
18,9
21,11
21,8
18,9
15,8
19,15
17,12
19,11
21,11
24,13
22,12
20,14
25,8
19,9
25,9
26,9
23,8
20,12
18,11
18,10
17,10
21,11
20,9
13,16
13,8
19,13
21,8
21,8
23,8
18,15
20,9
20,10
20,8
22,16
22,9
23,14
19,8
20,13
20,10
16,12
16,15
21,11
17,13
19,9
18,10
20,11
18,9
21,12
21,15
24,10
22,13
18,8
18,10
20,14
24,12
19,14
18,16
19,12
20,9
20,12
20,10
21,10
15,9
15,9
18,12
18,9
20,11
21,11
26,12
26,11
25,12
33,10
30,14
25,8
22,10
20,10
17,14
16,9
18,10
17,9
19,12
21,12
19,12
21,14
21,14
17,10
16,11
17,10
20,15
20,13
20,11
22,11
22,11
24,12
23,14
23,14
22,14
16,17
14,17
16,15
17,14
21,8
17,16
20,13
22,24
20,13
23,11
23,10
20,16
17,9
16,11
21,8
25,14
25,13
23,12
19,12
22,16
21,11
21,24
21,18
17,20
16,19
15,17
15,9
18,15
19,11
18,11
19,11
20,18
20,8
24,8
22,8
24,15
23,14
18,15
17,13
19,22
20,14
18,10
20,12
20,24
21,14
22,13
18,15
16,19
19,12
17,9
17,12
18,22
23,13
20,15
23,11
25,24
23,16
17,14
16,9
12,22
14,9
15,14
17,14
22,18
17,9
20,11
19,9
21,26
25,15
22,12
20,10
20,24
24,14
20,11
22,8
21,21
18,14
20,11
20,12
21,12
16,12
18,11
16,9
15,7
23,10
16,19
19,15
20,23
19,18
22,19
20,12
23,8
27,8
23,8
24,12
22,25
18,11
19,9
18,9
17,16
15,10
14,12
12,12
20,9
18,11
15,10
18,8
20,9
19,17
20,22
20,15
22,10
21,10
21,14
24,19
22,12
18,15
16,10
17,10
18,7
24,10
23,9
17,9
21,8
18,8
18,12
21,14
25,11
18,13
20,10
22,9
21,9
20,9
22,10
20,14
21,11
21,14
20,14
19,16
19,14
20,14
15,12
15,12
17,10
15,11
17,10
19,10
24,18
25,24
24,17
26,12
24,12
20,12
22,14
18,14
16,13
21,16
17,12
17,12
20,12
16,13
20,11
14,14
17,10
18,10
16,11
20,14
20,15
24,14
23,10
23,10
28,9
21,8
24,12
19,15
17,11
18,11
14,19
15,19
17,9
21,8
18,10
19,10
20,13
16,11
20,11
22,10
20,11
23,10
21,9
24,15
23,13
33,14
29,22
20,14
21,11
23,12
21,14
17,10
16,9
18,8
16,10
24,10
16,10
21,10
19,12
23,15
21,12
27,15
26,11
22,9
22,8
24,12
18,18
16,19
17,14
17,10
18,11
21,12
20,10
17,10
21,11
15,9
20,8
22,9
18,8
18,11
19,11
22,9
22,11
24,11
26,11
26,13
18,11
17,18
18,12
15,12
16,10
17,13
19,11
25,11
20,13
21,13
23,10
27,10
18,12
20,14
21,14
27,11
19,8
19,9
19,10
32,11
20,13
21,11
20,12
21,11
16,10
16,12
15,11
22,12
17,9
17,10
18,12
31,14
20,13
24,10
25,9
30,9
21,10
26,11
22,13
14,13
19,14
19,15
19,13
9,12
12,12
18,11
20,9
13,11
16,11
20,8
18,13
22,17
18,14
19,11
25,9
27,11
21,11
26,15
21,12
23,15
17,15
17,15
17,11
6,10
19,12
17,11
20,13
9,11
21,11
21,9
20,11
20,11
18,10
19,10
20,14
26,14
21,14
20,15
22,9
17,12
21,12
19,11
16,9
16,10
16,10
16,11
14,15
12,10
17,9
23,10
27,12
25,16
24,16
29,13
28,13
35,12
23,12
18,15
30,11
0,13
19,11
18,9
20,11
27,9
19,10
16,13
15,10
15,12
16,15
18,24
18,19
22,15
22,9
23,14
23,12
41,10
24,15
18,15
16,14
13,12
16,11
16,9
18,8
5,8
19,12
21,11
20,12
15,12
22,10
20,10
20,13
28,12
27,10
25,11
18,10
25,13
24,14
22,14
21,12
13,14
17,12
14,10
16,9
3,12
16,13
18,11
17,11
19,11
25,11
22,14
24,16
27,13
21,12
19,11
23,8
30,14
15,14
17,15
18,13
16,15
20,12
21,10
22,10
17,9
16,10
19,9
18,9
30,10
17,11
23,11
18,12
26,12
22,12
23,12
25,11
24,8
14,15
16,13
21,12
12,12
18,10
19,10
18,9
6,14
21,19
23,14
21,8
20,12
19,13
19,11
20,9
29,9
19,12
21,8
23,14
26,20
20,13
22,8
20,10
3,15
18,11
18,12
15,11
0,12
19,9
19,9
19,12
22,10
23,11
24,9
23,9
30,10
21,11
23,10
20,13
20,12
15,12
19,12
17,10
12,10
19,16
21,11
16,10
15,10
18,10
18,11
18,12
22,13
18,19
20,10
25,9
42,11
24,9
25,10
20,10
15,10
17,10
16,11
17,14
13,13
18,13
17,11
20,14
7,11
21,11
18,10
18,12
25,14
20,12
21,12
22,12
32,9
22,10
22,10
21,13
17,10
19,13
15,10
14,10
21,11
16,10
17,10
14,11
12,9
24,11
23,15
27,14
30,10
24,9
25,11
17,11
0,7
25,14
23,11
