CH1,CH2
-35,-60
-12,-24
21,22
47,55
53,63
34,53
3,47
-14,53
-28,60
-32,52
-23,37
-2,18
12,-2
19,-36
15,-72
-1,-94
-9,-105
-21,-98
-23,-58
-11,0
0,53
14,78
23,68
13,22
-6,-16
-13,-30
-16,-31
-8,-18
9,0
21,11
23,8
15,-3
0,-6
-12,9
-14,41
-14,59
-13,61
-2,44
14,18
23,6
24,-2
11,-25
-6,-31
-14,-23
-21,-16
-12,-25
6,-46
21,-49
33,-35
39,-18
32,-6
18,3
15,19
9,35
14,48
23,45
25,26
20,-1
8,-18
-4,-4
-13,38
-18,72
-39,72
-47,61
-35,48
-11,33
14,18
26,-1
19,-23
-9,-45
-31,-79
-35,-107
-20,-96
10,-48
41,14
67,67
69,91
34,83
-6,54
-37,13
-57,-35
-51,-73
-24,-87
5,-80
35,-54
52,-20
44,9
31,43
14,71
-5,84
-18,83
-17,74
-10,42
-5,-4
-6,-46
-18,-68
-17,-36
-8,19
-2,54
6,59
21,50
33,37
37,16
26,-10
4,-27
-5,-38
-8,-53
-8,-66
-1,-68
15,-46
35,-2
48,38
45,48
19,20
-6,-5
-36,-19
-54,-22
-44,-15
-18,-11
8,-5
24,13
22,32
2,36
-12,27
-15,9
-9,7
10,17
35,34
52,48
53,55
27,45
-17,20
-45,-22
-56,-74
-48,-102
-22,-95
3,-71
23,-42
39,-3
41,32
27,59
13,68
-3,52
-6,32
9,18
27,18
35,14
28,1
2,-18
-35,-20
-55,1
-65,26
-60,39
-35,40
-3,37
24,41
40,42
33,28
6,-6
-12,-47
-28,-85
-31,-87
-6,-48
29,15
57,78
63,119
46,116
22,83
10,39
-6,-8
-22,-40
-22,-58
-2,-69
15,-59
21,-58
15,-67
5,-55
0,-29
-13,-9
-12,8
-1,20
16,32
36,42
47,32
30,-3
-3,-40
-31,-58
-46,-41
-36,-20
-15,0
3,31
12,52
8,49
-8,29
-22,19
-19,21
-8,29
9,62
24,81
38,60
53,31
60,14
49,15
19,14
-13,-29
-45,-90
-50,-119
-28,-102
-2,-63
8,-23
0,0
-21,-1
-35,-1
-39,7
-35,18
-16,30
9,42
35,53
51,58
54,52
35,47
14,47
-6,37
-23,10
-17,-14
3,-27
25,-26
40,-22
38,-13
16,-6
-2,-2
-15,2
-25,3
-14,-5
7,-25
29,-38
42,-43
34,-48
1,-51
-23,-48
-34,-46
-37,-36
-24,-5
0,36
22,77
31,100
20,85
-8,49
-29,32
-35,37
-25,56
-2,77
20,87
43,82
54,52
44,-3
13,-55
-5,-85
-12,-80
-5,-48
7,-26
8,-52
5,-105
5,-135
2,-105
-3,-36
-4,27
-13,69
-17,94
-9,110
4,110
19,94
26,64
14,36
-10,17
-27,-12
-42,-53
-43,-74
-18,-65
14,-38
42,-6
53,15
45,27
25,43
10,54
-7,41
-19,21
-12,-3
7,-28
28,-34
46,-10
41,17
13,32
-15,20
-39,-5
-41,-17
-27,-17
-3,-5
17,9
26,14
11,-2
-11,-16
-22,-22
-23,-16
-11,7
3,22
17,16
27,3
27,-7
8,-13
-11,0
-14,22
-10,34
5,27
20,10
36,-10
46,-17
42,-15
18,-23
-7,-31
-21,-43
-29,-54
-23,-52
-1,-26
16,16
26,52
22,65
-2,61
-22,48
-34,20
-39,-9
-25,-28
-6,-27
10,-11
19,5
16,14
