CH1,CH2
116,-17
117,1
108,19
80,39
40,56
3,71
-20,73
-35,59
-48,40
-58,23
-63,3
-66,-26
-66,-64
-59,-91
-42,-96
-17,-84
55,-65
174,-48
281,-30
295,-4
186,17
28,36
-93,37
-168,20
-200,-7
-191,-27
-166,-29
-139,-22
-112,-13
-80,-5
-43,-2
-16,-6
-2,-5
8,13
36,48
77,89
114,109
136,103
127,80
93,57
48,35
5,14
-26,-7
-43,-26
-46,-37
-43,-37
-37,-25
-37,-6
-57,13
-79,37
-81,58
-66,60
-43,34
-21,-10
4,-58
27,-91
44,-108
55,-102
68,-78
78,-46
81,-13
81,23
79,51
76,70
79,82
95,83
137,72
196,55
229,34
187,4
68,-24
-50,-45
-119,-63
-139,-73
-130,-67
-108,-50
-75,-28
-23,-2
21,18
28,26
-9,35
-64,50
-123,69
-169,79
-200,68
-211,30
-193,-18
-155,-61
-110,-81
-50,-72
10,-46
57,-14
93,2
121,2
146,0
185,11
244,22
288,16
274,1
175,-4
6,1
-147,6
-256,7
-291,-2
-267,-26
-213,-50
-145,-55
-76,-43
-14,-20
40,9
90,41
129,72
146,96
138,115
119,119
92,90
54,35
17,-10
-7,-24
-12,-18
7,-7
51,-5
88,-10
99,-14
90,-6
67,8
33,15
-5,13
-32,4
-44,-7
-43,-12
-45,-7
-61,-4
-84,-10
-102,-23
-102,-37
-89,-46
-52,-45
14,-28
91,-1
149,17
214,28
265,41
249,60
157,68
27,48
-79,16
-143,-3
-165,0
-157,11
-143,16
-147,1
-168,-33
-188,-66
-183,-76
-154,-52
-109,-13
-57,14
-16,37
11,53
31,50
55,19
77,-36
92,-81
114,-83
177,-54
240,-16
242,9
175,15
80,15
7,19
-37,27
-51,44
-30,61
-8,70
-4,54
-28,8
-64,-50
-92,-91
-104,-83
-90,-36
-41,11
44,48
112,63
149,57
135,40
70,19
0,7
-39,7
-52,15
-45,22
-25,27
-4,28
7,20
9,2
0,-21
-19,-41
-48,-50
-70,-46
-73,-30
-55,-12
-26,0
11,6
47,9
58,10
43,13
15,20
1,33
17,51
48,72
63,94
48,113
1,123
-60,111
-104,65
-96,-11
-30,-74
49,-97
100,-85
88,-51
43,-17
9,-10
4,-34
16,-66
21,-86
6,-92
-24,-84
-65,-61
-90,-41
-93,-28
-77,-9
-51,17
-32,36
-31,34
-39,21
-43,5
-39,-7
-29,-11
-9,-3
17,11
46,22
81,32
124,42
162,47
166,43
125,36
74,38
56,40
80,32
125,11
151,-11
123,-22
64,-21
5,-16
-46,-11
-102,-5
-150,8
-165,28
-133,45
-76,45
-23,29
10,6
18,-13
1,-27
-40,-33
-91,-27
-128,-16
-135,-6
-97,5
-38,16
6,25
23,29
25,21
20,1
4,-12
-5,-21
-6,-27
1,-22
10,-6
27,16
59,35
92,41
117,38
129,28
137,7
132,-15
90,-29
22,-30
-37,-21
-70,-9
-84,5
-90,20
-92,38
-81,44
-46,29
8,0
48,-22
54,-28
11,-10
-38,16
-66,35
-59,42
-30,34
7,24
45,15
72,1
74,-15
58,-34
48,-56
54,-74
57,-81
26,-75
-31,-53
-79,-22
-90,8
-74,32
-40,55
0,65
25,63
47,52
76,37
110,24
163,25
229,39
267,52
217,52
74,38
-79,8
-191,-33
-260,-71
-266,-81
-224,-66
-168,-39
-91,-1
-11,32
46,55
64,60
48,44
6,8
-41,-26
-79,-55
-92,-63
-80,-49
-49,-21
-13,5
5,23
14,30
21,35
24,41
34,42
51,23
58,-9
69,-28
93,-24
111,-8
99,10
56,29
5,43
-36,49
-52,55
-39,63
-21,64
-10,44
-7,-8
-2,-75
-2,-135
-7,-161
-7,-155
0,-126
22,-87
55,-36
84,20
91,69
79,92
54,81
37,49
25,16
13,-11
-6,-27
-21,-22
-16,6
5,45
19,82
9,114
-25,137
-53,146
-59,133
-48,106
-34,69
-29,28
-27,-11
-20,-48
6,-78
39,-98
57,-105
40,-97
0,-79
-41,-58
-74,-39
-86,-26
-72,-19
-41,-21
-12,-23
4,-18
9,-3
15,15
21,33
19,47
19,58
25,61
39,54
68,43
107,31
132,18
141,3
157,-7
166,-13
127,-14
23,-14
-78,-19
-151,-30
-188,-32
-189,-20
-168,0
-142,17
-116,29
-86,32
-55,12
-14,-31
40,-78
99,-97
163,-79
220,-36
224,-1
152,10
39,19
-36,37
-70,57
-89,73
-101,76
-108,72
-98,59
-90,37
-88,21
-73,23
-31,29
28,25
79,16
81,12
38,14
-17,16
-55,17
-61,10
-41,-12
-13,-54
19,-91
52,-102
71,-92
88,-69
113,-41
119,-13
89,15
47,46
8,64
-28,57
-55,38
-69,23
-76,11
-72,0
-58,-8
-38,-7
-16,1
2,12
15,18
18,14
11,4
11,1
21,3
45,9
82,8
121,1
158,-3
175,-4
156,-3
98,-3
7,0
-76,8
-138,10
-170,-12
-170,-44
-147,-58
-115,-45
-73,-21
-36,-3
-9,15
10,32
37,48
63,54
73,46
49,37
15,38
-5,46
0,57
26,64
49,60
57,41
47,7
23,-23
-8,-45
-44,-51
-77,-39
-89,-19
-87,-4
-81,4
-77,9
-63,5
-36,-5
1,-17
43,-19
79,-17
95,-10
87,0
68,14
56,31
59,37
75,28
93,7
108,-10
106,-25
74,-35
54,-38
55,-39
59,-38
52,-40
22,-47
-14,-50
-38,-45
-53,-30
-63,-11
-71,7
-80,18
-97,13
-112,1
-106,6
-86,32
-81,57
-104,63
-137,49
-146,38
-127,34
-81,35
-22,39
36,51
91,61
141,60
164,43
144,16
93,-9
45,-25
25,-27
36,-13
44,9
23,34
-12,52
-29,60
-29,45
-20,0
4,-56
38,-109
65,-141
91,-145
115,-125
137,-81
135,-36
103,3
44,33
-14,59
-53,77
-75,86
-92,85
-107,78
-115,60
-112,34
-108,17
-98,20
-76,40
-49,61
-28,60
-12,28
4,-16
38,-58
85,-90
129,-100
145,-92
116,-73
68,-48
30,-24
-7,-4
-34,10
-42,17
-26,14
0,7
29,12
51,29
53,54
40,90
18,122
-12,126
-53,89
-92,33
-115,-18
-130,-60
-136,-81
-113,-80
-74,-68
-34,-54
-2,-48
19,-52
42,-52
70,-39
106,-13
135,11
148,25
138,30
101,25
59,17
19,13
-2,19
-2,28
12,37
24,41
13,38
-21,29
-55,22
-74,17
-86,19
-76,32
-35,44
20,41
59,12
75,-30
89,-62
89,-74
77,-62
58,-36
21,-17
-40,-8
-95,2
-127,21
-135,35
-128,32
-115,19
-97,4
-83,-6
-73,-10
-60,-7
-47,-3
-21,-4
29,-7
92,-16
144,-27
160,-32
145,-27
131,-7
156,22
235,55
317,78
334,77
235,64
76,55
-58,51
-149,54
-202,55
-229,53
-251,46
-273,31
-288,10
-285,-9
-254,-24
-204,-31
-141,-32
-80,-39
-25,-39
20,-31
50,-24
71,-27
83,-41
89,-54
95,-54
102,-36
110,-27
119,-48
128,-76
131,-90
128,-85
122,-60
109,-21
86,10
55,25
21,33
-6,33
-27,32
-38,40
-41,61
-40,81
-37,87
-37,80
-22,69
22,60
90,61
144,67
155,70
134,68
108,53
81,28
32,3
-36,-22
-109,-59
-151,-110
-146,-153
-89,-166
-22,-142
11,-94
-4,-37
-50,21
-89,71
-116,97
-134,101
-132,92
-104,80
-68,62
-38,40
-17,16
-3,-2
15,-12
42,-15
61,-6
76,6
89,16
102,19
104,9
81,-16
48,-34
16,-32
-4,-16
-12,6
-17,27
-27,35
-36,25
-50,-3
-64,-42
-72,-81
-64,-100
-31,-80
4,-25
32,39
50,88
52,100
47,83
42,51
45,23
57,8
67,5
68,15
56,22
33,23
3,21
-22,16
-42,6
-58,-5
-61,-19
-51,-33
-25,-47
4,-53
31,-46
63,-21
92,10
99,25
74,11
28,-10
-17,-24
-52,-25
-68,-15
-54,-3
-27,-9
0,-27
25,-36
32,-33
4,-27
-40,-17
-80,0
-98,16
-92,30
-65,34
-22,32
38,31
112,32
186,30
246,32
254,36
172,25
48,13
-56,6
-122,1
-151,-1
-147,-1
-133,-5
-111,-6
-70,-1
-12,7
49,7
92,-8
105,-26
92,-43
74,-53
64,-41
71,-7
58,35
0,74
-72,102
-142,122
-189,131
-207,118
-198,74
-158,16
-95,-30
-32,-53
6,-61
24,-59
31,-42
27,-24
17,-17
12,-21
20,-33
31,-41
39,-38
38,-27
41,-10
58,13
76,34
78,55
79,68
75,61
61,43
51,22
40,-1
31,-23
35,-43
52,-57
69,-64
77,-75
72,-103
52,-131
20,-138
-9,-118
-23,-77
-24,-30
-20,11
-14,42
-12,62
-13,68
0,68
13,71
7,79
-23,89
-59,95
-75,90
-62,85
-41,81
-37,74
-52,62
-70,47
-79,27
-70,6
-48,-12
-14,-25
8,-38
7,-48
0,-47
-6,-33
0,-6
16,24
38,45
51,53
57,54
55,53
45,46
40,25
34,-2
23,-27
30,-42
76,-44
126,-33
146,-19
113,-27
47,-49
0,-58
0,-51
12,-39
8,-29
-25,-20
-90,-12
-143,0
-155,11
-135,16
-102,11
-80,-12
-85,-42
-99,-52
-110,-40
-106,-14
-90,8
-65,26
-16,35
47,32
111,18
157,6
190,14
236,38
265,61
240,67
141,61
30,50
-52,14
-105,-47
-131,-109
-130,-125
-111,-100
-95,-64
-93,-27
-98,11
-101,46
-86,76
-45,90
5,82
44,60
70,37
85,26
91,34
103,53
147,58
244,45
322,20
335,0
241,-8
60,-7
-109,-3
-236,-14
-308,-39
-318,-61
-278,-62
-216,-43
-138,-10
-63,9
-17,12
1,5
12,2
21,4
24,6
22,6
22,4
30,4
44,5
46,10
35,19
17,32
8,40
18,40
43,35
66,22
73,5
66,-8
52,-23
39,-41
26,-56
9,-53
-1,-32
3,-4
19,19
33,29
51,34
76,43
86,48
89,48
95,34
92,13
56,-2
13,-3
-22,1
-63,5
-100,0
-121,-10
-128,-15
-137,-24
-159,-40
-179,-58
-184,-70
-160,-68
-100,-52
-6,-34
