CH1,CH2
8,14
42,4
79,25
59,35
4,32
49,17
74,4
55,26
5,43
83,49
122,47
87,39
5,29
98,18
148,13
146,12
109,18
57,24
5,24
31,15
48,0
48,19
39,34
31,39
28,33
25,21
22,9
18,0
16,6
17,7
19,7
24,4
29,0
32,7
34,12
33,16
29,19
22,19
15,14
8,2
5,12
3,24
2,33
0,39
3,40
5,35
3,28
3,18
7,8
3,1
6,2
11,4
7,8
3,10
7,11
0,9
14,6
18,2
0,0
34,2
61,4
56,4
18,3
33,2
71,2
85,5
84,5
77,5
66,3
50,0
32,3
16,6
0,8
23,8
58,6
95,3
120,1
126,7
115,15
100,21
86,22
61,19
19,14
27,8
62,2
73,3
67,7
54,11
43,13
36,13
36,12
40,10
46,8
45,7
32,7
12,4
6,0
19,7
21,15
17,20
12,25
9,27
8,29
10,34
14,39
18,34
23,18
26,1
28,17
30,24
30,24
28,23
24,22
17,23
9,19
0,10
7,1
15,4
21,8
24,10
25,9
22,8
14,8
5,9
3,8
11,5
18,1
24,6
28,6
30,3
27,2
19,7
4,11
13,17
28,22
32,24
24,23
8,20
6,16
15,14
18,13
18,13
17,11
17,10
18,10
15,12
11,16
7,18
4,12
1,0
2,11
3,20
2,24
3,24
9,20
18,15
23,10
19,5
14,2
14,1
15,1
12,0
2,0
10,0
22,1
30,0
35,3
41,6
49,9
54,12
54,14
46,14
33,15
19,14
7,13
0,4
2,10
1,23
2,27
13,17
32,1
52,19
65,29
65,27
53,18
38,6
20,7
3,18
12,26
28,28
41,22
45,11
38,0
28,8
18,16
13,26
11,35
11,34
9,16
5,10
2,32
3,44
7,46
7,40
0,31
8,21
14,12
18,1
19,13
21,32
10,48
20,59
68,58
112,48
117,33
67,16
19,3
104,1
155,0
164,7
142,14
103,19
56,19
5,14
40,7
77,0
107,2
129,1
131,10
100,13
41,12
22,6
65,0
81,5
79,10
68,13
46,10
5,6
66,4
152,3
203,5
179,8
94,6
8,0
44,6
76,4
105,6
130,22
140,31
131,29
107,21
76,14
47,11
23,7
6,0
6,10
14,15
14,13
6,9
6,8
16,11
15,19
2,27
31,34
59,39
80,39
92,34
95,26
90,15
82,5
73,1
65,9
53,15
40,17
25,16
7,14
10,13
23,11
26,9
22,7
18,6
18,3
21,1
22,8
18,13
15,14
16,11
22,5
21,4
6,5
11,10
24,13
28,14
25,12
19,9
11,5
2,2
6,1
14,2
24,0
33,1
40,2
40,1
34,0
22,1
2,0
16,3
31,7
40,11
37,13
21,15
5,17
3,19
15,22
23,23
21,19
17,8
16,8
18,24
19,33
19,31
19,22
25,11
37,4
48,0
53,0
45,2
21,3
13,6
44,8
61,12
61,19
51,28
38,31
26,30
18,20
11,3
5,18
1,40
1,49
2,45
2,27
1,3
0,15
0,22
1,18
0,12
0,11
0,13
0,14
0,15
2,14
4,12
8,11
10,11
12,13
15,15
17,18
18,19
19,18
17,14
15,8
12,5
7,5
3,5
1,0
3,9
6,19
7,29
8,33
9,31
8,22
7,11
5,2
2,1
1,3
0,4
0,6
2,11
6,14
8,16
6,15
1,12
15,9
28,4
33,0
26,3
11,4
2,4
12,1
19,3
20,8
17,13
8,16
2,18
18,18
36,18
49,20
55,23
54,25
48,19
40,2
30,23
20,44
9,52
1,45
11,32
18,25
23,22
24,18
19,4
6,21
8,52
19,80
19,95
14,92
10,73
17,49
27,30
27,11
5,17
34,51
73,80
89,87
69,74
15,47
54,17
111,6
122,20
78,26
2,29
86,31
139,27
140,9
96,21
31,52
25,70
50,67
40,47
5,18
37,8
70,22
77,26
56,23
17,22
36,24
107,25
183,24
233,20
213,14
132,7
55,0
29,4
33,7
21,7
29,3
97,5
156,15
188,25
192,33
172,38
140,39
108,36
81,30
64,20
62,13
72,7
76,2
61,2
28,7
13,10
55,14
93,16
122,18
141,17
148,16
145,13
136,7
125,1
115,6
102,12
84,18
63,22
41,24
18,22
3,18
24,11
41,3
52,5
53,12
48,16
40,15
32,8
24,1
18,11
9,16
1,10
15,2
25,15
29,21
27,18
25,8
26,4
27,14
20,17
1,13
25,6
48,0
61,4
67,8
67,10
65,7
59,1
45,7
20,12
12,13
44,11
64,11
66,15
52,18
31,19
8,16
17,12
30,7
14,7
27,11
69,15
84,17
65,11
27,1
3,12
18,24
18,34
12,39
11,39
20,33
29,21
25,7
2,7
30,18
57,28
71,35
73,41
67,46
56,49
38,50
10,49
22,46
49,37
64,19
64,6
56,28
45,39
34,36
23,23
13,8
1,6
6,15
15,18
20,15
20,7
18,6
12,17
5,24
3,24
11,14
17,2
19,2
18,6
16,27
12,47
8,55
3,47
4,28
10,7
18,11
23,26
25,37
26,43
24,42
20,35
15,25
9,18
3,13
2,4
6,5
10,14
11,14
11,6
9,3
7,12
7,20
8,27
9,29
7,26
0,17
10,4
17,4
18,9
12,10
1,5
9,0
13,6
6,9
9,10
28,11
36,13
32,14
15,14
4,13
16,12
12,14
3,17
22,19
36,17
40,4
37,14
31,31
23,36
18,28
18,13
23,2
31,1
32,2
21,10
