CH1,CH2
25,16
14,4
-6,-8
-20,-16
-29,-21
-28,-17
-14,-6
6,6
24,17
31,19
20,12
0,4
-11,0
-20,-1
-20,3
-5,12
13,20
31,26
36,23
25,11
3,-2
-10,-10
-21,-16
-25,-15
-11,-5
5,6
22,15
30,16
20,9
0,1
-10,-3
-22,-9
-25,-7
-15,0
3,12
21,19
32,20
26,12
5,0
-7,-6
-17,-11
-21,-11
-10,-4
6,5
22,12
32,12
24,4
3,-5
-10,-11
-22,-17
-29,-15
-18,-4
0,7
18,19
29,24
27,19
9,7
-3,2
-12,-3
-19,-7
-12,-2
4,5
22,11
35,15
32,8
13,-1
-2,-7
-14,-12
-23,-13
-16,-2
0,10
19,24
33,31
31,28
14,16
-4,7
-15,0
-21,-5
-16,-3
0,1
17,7
31,10
32,4
16,-5
-1,-11
-12,-13
-23,-13
-19,-4
-2,10
18,24
33,31
34,29
19,16
-1,3
-12,-5
-21,-13
-18,-12
-3,-6
14,0
27,3
27,0
12,-9
-7,-13
-18,-16
-28,-14
-25,-3
-9,12
12,27
27,35
31,32
17,17
-4,3
-15,-7
-24,-14
-21,-15
-6,-9
11,-3
26,0
27,-2
14,-9
-4,-12
-15,-11
-23,-8
-19,2
-1,18
17,32
33,40
37,37
25,24
2,9
-10,0
-19,-9
-20,-13
-8,-9
8,-3
22,0
28,0
18,-5
-1,-9
-10,-8
-19,-8
-19,0
-8,11
11,24
29,33
38,33
30,22
9,4
-5,-7
-17,-16
-23,-20
-16,-15
1,-8
17,0
25,1
18,-3
0,-9
-15,-10
-25,-11
-28,-4
-16,9
5,24
24,34
36,36
33,29
14,12
-3,-1
-14,-12
-21,-18
-14,-14
3,-7
19,0
29,2
23,0
4,-7
-9,-6
-17,-6
-23,-1
-14,10
3,23
21,33
34,37
32,29
16,13
-2,0
-14,-10
-21,-18
-17,-17
0,-11
17,-4
28,-1
25,-4
7,-11
-6,-10
-14,-10
-19,-3
-10,8
6,22
24,32
35,36
33,29
14,13
-5,0
-17,-9
-23,-15
-19,-14
-1,-6
15,0
27,4
25,1
6,-6
-10,-7
-20,-9
-28,-6
-24,2
-7,17
13,28
29,34
32,30
18,14
-2,0
-14,-10
-22,-19
-19,-17
-3,-10
14,-3
27,1
25,0
9,-6
-7,-8
-14,-7
-20,-4
-16,4
0,19
20,30
38,37
42,33
30,19
7,4
-7,-6
-18,-15
-21,-17
-10,-13
7,-4
21,1
24,3
12,-2
-6,-5
-18,-6
-28,-6
-27,1
-12,14
8,27
27,34
35,34
27,21
6,3
-6,-8
-16,-17
-20,-21
-11,-18
6,-9
22,0
31,1
24,0
5,-4
-6,-3
-17,-3
-23,0
-13,12
4,26
23,34
35,35
33,26
12,9
-5,-4
-17,-14
-24,-21
-17,-18
0,-11
15,-1
25,3
20,1
3,-2
-10,-3
-20,-4
-26,-1
-18,8
0,20
18,30
31,33
30,25
15,11
-3,-2
-13,-12
-22,-19
-17,-16
0,-7
16,1
27,7
25,4
8,-1
-6,-4
-17,-6
-26,-5
-21,3
-5,16
15,27
30,32
34,28
20,14
0,0
-9,-9
-17,-16
-16,-16
-3,-8
14,0
28,5
30,5
16,-1
-2,-5
-12,-6
-20,-5
-20,1
-4,12
13,24
31,29
38,26
28,14
8,-1
-4,-10
-13,-17
-16,-16
-4,-9
10,-3
24,3
28,5
16,0
-5,-4
-17,-6
-27,-6
-29,-1
-17,9
0,21
17,29
28,29
22,19
3,3
-11,-6
-20,-15
-24,-16
-13,-10
6,0
23,7
33,9
25,3
5,-4
-8,-7
-17,-8
-20,-4
-10,6
6,19
24,29
