CH1,CH2
2,5
7,9
8,11
13,12
23,11
30,8
28,5
17,4
6,5
4,8
9,9
14,10
11,11
4,11
0,9
2,2
8,4
10,9
6,13
0,16
3,18
1,18
4,15
7,8
8,1
6,6
3,11
2,14
3,12
5,6
7,2
2,0
5,0
12,0
17,2
18,5
17,8
14,12
13,14
14,16
14,17
10,15
0,12
11,7
18,4
19,2
15,1
6,5
5,9
18,8
23,4
17,1
3,6
3,9
2,11
4,13
13,13
19,10
15,4
0,3
17,10
25,13
21,12
11,9
2,7
3,5
9,3
12,1
12,1
9,5
6,12
5,16
8,16
10,10
7,4
1,1
3,4
1,2
5,0
14,3
15,3
8,6
0,11
4,15
2,19
4,18
7,15
6,10
1,8
1,4
1,1
5,0
7,5
8,8
11,10
19,5
28,2
26,10
11,14
9,13
25,7
33,0
32,3
24,5
12,4
1,3
8,3
18,4
24,6
21,6
15,4
7,0
1,4
10,8
16,12
15,17
11,20
8,21
4,16
3,7
13,2
22,10
28,15
28,13
23,8
14,1
9,4
10,8
17,11
25,13
23,14
12,11
3,8
16,2
20,1
23,4
25,5
22,5
12,4
1,3
3,3
3,1
2,1
5,5
10,10
17,13
21,12
20,7
13,0
4,7
1,10
8,10
14,4
19,1
16,5
5,7
6,8
14,7
16,5
14,8
13,14
13,20
11,23
8,17
4,9
1,0
1,6
4,8
3,7
2,2
14,3
22,8
20,8
8,8
9,8
27,7
36,5
32,2
16,3
6,5
25,6
34,5
33,2
26,0
18,2
7,5
7,9
19,10
27,10
28,7
22,3
15,0
10,1
6,5
2,9
3,12
10,14
18,14
24,9
29,4
35,1
37,0
35,1
31,3
25,5
13,5
2,4
17,3
26,3
26,5
20,5
12,5
5,2
2,0
10,0
20,0
23,2
18,4
9,5
3,5
0,4
2,3
3,1
5,2
4,4
0,4
3,2
4,1
2,0
0,3
0,6
1,7
1,7
6,5
9,1
7,2
0,6
9,9
16,11
19,13
15,15
6,14
3,11
9,8
12,4
11,0
9,3
6,5
0,4
8,2
18,1
22,2
21,2
12,3
5,6
1,8
2,7
4,5
5,1
7,0
11,3
18,8
25,11
27,11
23,9
11,6
3,2
21,0
35,1
42,1
39,1
27,1
12,3
1,6
5,10
8,12
7,10
8,7
9,0
12,7
15,11
20,13
27,16
29,16
23,15
12,14
2,14
5,11
10,5
8,2
1,9
5,9
10,4
10,1
8,6
6,9
5,11
6,11
7,8
4,2
3,4
14,6
19,6
18,2
11,1
4,4
4,6
14,7
25,6
30,5
28,7
21,11
19,16
23,19
26,17
21,11
13,4
4,1
1,8
10,13
25,18
39,19
47,16
45,9
35,2
22,5
9,13
0,21
3,23
7,19
12,11
20,5
26,0
29,1
24,4
12,9
2,14
1,15
1,13
3,6
9,2
14,9
15,14
14,16
10,15
3,11
