CH1,CH2
9,11
9,15
7,11
4,2
2,4
3,5
5,1
7,2
9,3
10,4
7,6
3,6
0,6
3,3
3,1
1,9
1,14
2,13
1,7
0,1
2,7
5,9
6,5
6,3
4,13
1,21
0,25
1,24
3,18
9,12
16,4
20,0
18,0
13,1
7,6
3,10
0,14
2,16
1,13
2,9
5,4
11,1
16,0
19,1
19,6
19,17
16,28
8,33
3,32
15,24
21,13
21,1
13,9
6,16
1,18
0,15
0,11
3,5
9,1
14,0
12,0
6,0
1,4
0,11
1,20
4,24
4,23
1,18
2,12
5,7
5,1
1,4
2,9
5,11
4,8
1,4
1,0
4,2
4,0
2,4
1,4
6,0
14,7
22,14
25,15
21,8
12,5
5,18
1,25
3,25
8,16
10,1
8,15
3,28
0,32
3,30
6,25
11,18
17,10
17,3
14,0
9,0
5,2
0,5
5,9
10,11
15,8
15,5
12,1
5,0
0,3
5,5
8,8
11,11
15,15
20,19
23,22
24,26
19,24
10,15
2,4
4,5
8,9
11,9
13,7
13,5
9,4
2,6
4,9
9,11
11,10
10,6
7,3
4,10
1,15
0,15
0,12
0,9
0,6
0,6
0,8
4,8
6,4
8,0
5,4
3,3
0,0
0,3
1,8
4,11
9,12
14,12
19,12
18,14
9,16
1,13
6,4
6,10
2,21
0,29
0,29
2,24
5,17
8,11
7,5
4,2
4,15
9,29
16,36
17,35
11,26
0,10
9,8
14,25
14,34
13,34
10,24
5,8
3,6
5,15
6,19
5,22
2,26
0,29
2,28
6,21
10,10
12,2
11,11
9,14
6,13
2,9
2,5
5,0
10,5
12,10
11,17
7,22
5,23
7,22
11,17
14,11
15,7
10,3
5,0
2,4
6,9
8,13
3,16
0,14
4,9
5,0
4,9
2,15
1,18
3,18
8,15
13,9
16,2
13,4
7,9
0,9
7,6
13,4
18,5
18,5
15,6
9,3
3,0
1,2
5,2
5,1
5,0
5,0
7,2
11,9
14,20
18,30
21,32
20,26
12,15
4,6
2,0
4,3
3,1
0,0
4,2
11,4
16,8
17,10
11,9
0,3
9,5
17,15
18,25
13,25
6,14
3,0
13,12
18,16
13,14
0,8
12,0
20,9
19,13
11,13
1,12
6,10
10,9
9,4
6,2
5,12
9,19
14,24
14,25
11,21
6,14
4,8
5,4
7,5
12,6
14,7
12,6
7,3
4,2
2,6
1,5
0,0
2,5
1,7
0,8
2,4
1,1
2,1
6,2
5,1
3,0
0,5
0,9
2,10
1,4
1,5
5,17
9,26
12,31
12,30
13,26
9,17
5,8
1,1
1,3
2,6
3,10
2,16
0,20
4,20
8,16
10,9
9,2
4,5
1,11
5,13
6,10
5,7
2,5
3,7
14,10
25,11
28,10
20,4
6,1
4,7
10,11
10,10
7,8
1,3
2,2
1,5
2,12
6,17
6,12
1,1
5,17
10,26
10,27
5,24
0,22
4,21
6,21
7,21
3,19
0,13
5,8
9,1
12,2
15,6
17,6
18,1
17,2
13,5
8,6
1,0
3,8
4,15
0,16
5,11
9,5
12,0
11,1
5,1
1,2
1,5
0,8
0,8
1,6
7,2
11,2
12,1
9,2
5,8
1,16
1,19
4,16
10,9
15,3
18,1
14,6
8,10
1,14
6,15
8,12
7,7
6,0
5,6
2,11
0,12
4,8
6,6
6,7
6,11
7,16
10,18
10,16
9,6
6,4
3,10
0,7
2,1
4,8
3,13
1,14
6,13
15,12
21,11
20,7
17,3
13,0
8,0
4,2
5,4
8,4
10,1
7,7
0,11
5,11
7,4
3,1
2,3
4,0
2,1
1,0
4,3
2,5
2,6
5,5
7,6
4,7
1,8
6,6
7,4
5,0
2,4
1,8
4,10
5,9
3,3
0,4
3,7
4,7
4,4
3,2
4,4
6,7
9,7
10,7
7,5
3,4
1,5
4,7
5,7
5,3
2,2
1,6
7,3
14,1
18,5
17,7
16,8
14,9
12,10
10,11
8,9
5,6
4,4
3,5
3,7
2,6
1,4
1,2
5,2
7,9
5,14
0,15
5,8
8,4
8,15
7,21
5,20
2,15
0,10
0,4
1,0
2,5
4,9
7,9
9,7
11,6
12,8
10,10
7,8
0,3
8,2
14,6
17,7
14,7
9,7
6,7
5,10
8,14
13,16
16,15
14,11
7,6
0,3
2,5
0,10
4,15
8,17
10,15
11,8
7,2
0,4
5,9
9,12
9,11
6,10
1,12
0,15
2,14
3,11
1,7
4,0
10,9
16,20
18,28
11,31
2,28
5,20
3,12
2,8
6,9
6,12
1,13
1,10
2,2
2,10
1,21
