CH1,CH2
363,24
244,22
89,26
60,25
82,28
155,40
114,43
58,29
69,30
35,31
71,22
59,20
78,24
161,24
154,24
174,24
96,26
57,35
157,50
70,37
119,25
202,21
184,22
112,26
92,31
77,42
51,78
109,25
350,24
355,22
317,28
95,49
429,29
523,24
304,26
110,55
126,87
121,68
97,22
129,62
116,70
110,33
50,43
67,37
98,30
68,25
71,33
84,34
104,24
62,25
112,33
144,29
133,31
92,33
59,26
90,23
68,22
110,23
58,22
143,29
109,25
76,21
69,23
72,29
62,30
73,29
71,21
105,36
102,27
88,21
89,17
72,26
67,23
70,26
69,30
74,57
121,15
131,22
86,22
58,24
57,30
90,27
70,32
59,25
65,24
63,24
111,25
147,19
124,24
69,25
161,22
288,25
161,99
70,26
69,26
98,47
183,30
173,24
193,26
173,74
113,27
264,50
63,64
120,39
73,43
213,26
232,35
231,32
134,22
123,42
106,31
84,25
200,20
60,27
64,24
180,49
367,24
329,22
133,33
124,33
186,24
113,33
158,21
139,27
104,44
140,30
112,62
126,22
84,23
73,26
133,25
128,46
198,23
193,24
308,23
135,22
178,22
96,70
326,37
265,27
205,24
111,24
66,23
0,28
62,48
101,77
112,65
155,43
205,32
184,19
147,23
130,26
94,28
69,23
133,51
263,21
147,31
71,56
64,24
139,62
2,36
90,32
129,27
146,29
164,25
139,14
139,22
59,28
204,27
79,26
60,22
79,28
67,24
91,22
88,22
62,32
98,39
120,31
81,23
71,59
83,51
181,22
167,27
1,25
120,25
312,43
250,31
121,51
136,23
73,22
270,25
94,27
187,36
251,22
123,54
254,56
268,41
184,34
60,40
85,14
151,22
172,35
177,63
87,85
267,30
153,36
100,80
136,37
106,24
122,29
49,28
72,19
71,46
159,21
147,26
120,28
27,54
106,21
134,25
69,26
109,28
131,35
163,28
92,24
71,47
65,30
65,27
73,22
97,38
110,45
92,46
120,35
109,22
139,22
81,22
63,23
101,31
69,24
69,41
183,21
245,25
196,23
90,26
99,22
153,14
142,49
124,23
68,31
61,24
62,32
231,49
163,26
86,31
66,22
99,26
141,27
115,28
62,31
109,34
66,28
75,24
63,51
123,62
102,25
69,25
67,21
126,48
165,15
135,25
87,41
90,49
99,22
158,39
149,80
64,66
183,24
63,28
61,26
185,31
132,28
217,42
86,22
136,24
120,26
136,15
84,30
152,41
150,29
147,28
101,46
28,33
189,43
69,42
62,40
94,54
74,35
190,64
135,59
116,29
111,40
110,24
218,25
75,21
194,22
244,22
76,25
105,18
116,22
68,31
111,37
81,25
96,26
158,10
89,89
123,60
64,46
85,33
65,43
125,35
71,21
69,27
107,21
85,25
90,15
101,30
103,23
97,23
103,22
113,23
73,37
71,29
77,24
59,24
75,26
86,23
92,42
117,41
75,33
135,42
90,36
75,40
102,29
107,27
104,21
162,24
110,26
92,21
78,23
101,21
127,45
69,24
112,27
86,10
63,55
62,35
67,24
117,28
82,22
163,26
167,25
72,32
95,43
136,29
75,31
95,28
123,35
131,27
188,27
173,31
104,18
65,42
56,28
69,24
71,22
69,22
79,38
75,34
62,24
70,23
102,30
123,24
101,25
75,27
108,30
222,36
118,54
79,21
75,37
71,23
122,22
112,41
144,26
115,46
161,24
144,32
61,28
90,28
84,32
6,21
73,22
110,26
106,26
135,24
146,16
102,39
57,22
102,26
60,26
120,26
199,27
92,23
54,43
82,42
61,52
58,28
97,44
136,22
175,24
77,38
73,36
184,31
126,61
70,48
103,23
165,55
74,31
84,53
70,32
63,26
86,26
73,22
118,25
110,7
116,23
98,26
50,22
69,20
112,24
136,29
86,26
72,23
126,35
54,25
68,26
11,25
63,25
74,22
105,25
93,24
68,33
70,25
62,24
89,31
79,27
83,22
64,35
85,24
89,21
62,25
89,24
79,24
108,26
120,24
91,34
93,42
87,26
89,23
131,32
44,31
