CH1,CH2
86,30
94,27
88,32
88,29
90,29
87,32
88,29
93,27
80,31
93,29
87,30
90,27
81,32
88,31
87,29
89,28
89,35
75,31
88,29
85,27
87,34
91,26
87,31
95,32
97,45
83,34
85,33
94,32
94,32
84,30
92,27
89,31
89,32
80,31
84,30
96,29
90,27
87,33
94,32
82,31
90,29
96,29
90,28
89,35
86,32
82,29
94,30
84,29
92,31
90,36
87,28
87,34
94,29
93,27
91,29
89,37
86,33
87,31
98,29
97,27
92,28
89,38
87,33
87,31
97,29
96,27
89,29
89,34
88,32
87,31
98,29
95,29
88,28
91,39
105,27
99,31
90,29
87,28
86,30
99,35
96,30
86,27
88,27
87,27
86,31
98,35
100,28
89,31
81,27
95,33
88,27
86,33
99,28
81,31
80,32
93,30
93,29
86,36
83,29
77,32
78,31
92,30
92,29
89,38
86,28
84,31
82,29
97,29
96,28
92,31
91,27
84,26
84,29
86,30
95,27
90,31
89,26
80,33
80,30
92,29
90,28
85,34
105,27
79,28
85,27
83,31
85,31
83,35
87,28
81,27
84,29
84,31
82,33
87,39
95,29
88,27
87,30
86,31
84,31
93,30
95,27
86,27
85,28
87,31
85,31
96,40
85,28
87,27
85,27
85,32
84,31
96,36
82,31
84,28
83,27
83,32
83,31
83,39
68,28
81,27
78,27
84,36
82,31
95,39
73,30
85,27
85,27
86,32
85,31
90,42
75,29
85,27
85,28
87,32
83,30
97,46
86,27
89,26
87,29
87,31
84,30
96,46
74,28
83,28
83,29
80,33
82,31
94,55
62,29
81,32
84,30
83,32
87,32
99,38
78,32
83,28
88,30
87,31
90,31
97,27
80,30
86,27
87,32
85,31
93,30
96,27
77,29
83,27
83,32
82,31
83,29
95,29
76,30
75,29
82,38
82,32
99,31
92,32
78,32
79,27
84,33
83,31
95,29
93,29
82,32
82,27
84,32
82,31
95,29
93,28
84,34
84,27
84,33
82,30
95,29
93,27
84,29
83,28
79,33
82,25
96,28
91,27
87,35
79,29
77,32
88,32
94,29
88,28
84,44
84,29
82,32
90,31
96,27
91,27
93,38
85,28
86,31
87,30
97,28
92,27
100,37
93,34
96,29
100,27
87,31
95,28
79,32
82,27
83,28
83,31
83,32
94,28
82,35
90,28
83,28
83,32
83,31
97,29
84,37
77,27
85,32
87,31
82,30
99,31
87,36
84,28
83,30
84,32
82,29
97,30
94,29
88,28
86,31
84,32
84,30
96,29
89,36
83,27
84,30
84,32
84,29
97,27
94,31
88,27
77,32
82,28
88,30
95,27
95,26
86,32
97,27
83,34
92,28
96,28
102,36
95,31
94,30
92,29
89,27
89,27
91,30
86,27
91,30
83,28
86,28
85,28
86,33
91,35
90,30
84,29
87,30
86,33
92,33
92,33
90,30
85,29
86,29
85,26
100,36
83,27
84,28
83,30
84,32
87,28
92,35
78,27
86,26
86,31
85,31
91,31
97,36
86,27
83,28
83,30
80,31
91,30
91,34
94,29
88,26
83,32
82,29
94,30
95,40
84,27
85,28
83,32
85,31
96,30
104,36
85,28
91,29
90,30
88,28
85,29
91,34
90,27
94,30
93,27
90,27
88,27
98,19
90,30
95,30
92,27
86,27
87,29
101,39
81,32
81,28
81,27
82,33
94,31
79,41
80,30
82,27
82,28
86,31
97,33
95,39
85,29
87,27
87,27
94,31
97,31
97,31
84,28
87,27
84,27
87,31
96,28
95,30
72,27
81,29
78,27
89,33
92,33
101,40
79,32
80,31
92,29
90,27
88,27
89,33
82,31
80,31
95,28
91,27
89,28
90,35
84,32
82,30
96,31
92,27
87,28
96,26
85,27
81,30
97,29
93,28
87,27
104,38
86,27
86,27
85,32
84,30
90,29
86,38
82,27
84,27
81,31
84,31
84,31
83,35
80,32
85,27
83,32
85,33
96,29
116,35
84,27
83,32
84,30
96,29
95,27
87,39
93,27
83,32
82,31
84,28
92,29
86,34
73,29
81,35
80,31
91,29
90,30
87,33
75,30
80,33
78,31
92,28
88,30
93,37
81,30
82,32
83,29
95,29
92,27
104,28
82,29
80,27
86,27
86,31
84,31
91,38
85,31
87,28
89,33
87,27
84,29
89,30
85,30
85,27
85,27
83,31
82,31
94,38
87,28
86,27
84,28
84,32
84,31
99,32
87,27
89,27
83,27
88,29
84,29
98,29
81,27
88,27
85,27
86,34
84,29
117,35
82,27
81,31
93,31
90,31
87,28
94,36
86,27
78,31
95,31
81,30
86,30
94,31
76,28
83,38
95,32
89,27
86,32
102,31
96,30
97,30
97,29
88,27
90,32
120,30
91,27
89,31
90,36
101,29
89,27
104,29
95,28
90,27
90,30
90,31
86,52
91,28
94,28
91,27
87,31
90,37
87,36
73,29
85,30
85,28
83,31
84,34
88,37
74,28
82,28
84,28
85,32
86,32
96,29
80,30
87,27
87,27
87,32
87,31
98,30
100,30
86,32
100,29
91,28
87,28
88,40
74,30
82,31
95,27
85,27
85,28
85,43
71,31
90,28
90,27
84,28
85,29
85,48
79,25
95,28
91,27
89,30
87,31
84,50
86,31
97,28
92,28
91,28
90,31
89,49
78,30
94,28
88,28
86,28
83,31
85,33
90,30
96,29
91,27
90,28
89,31
88,31
82,34
82,30
89,28
83,27
88,35
86,32
73,29
86,31
89,28
86,27
87,34
86,29
85,40
82,28
88,28
86,27
87,32
86,29
81,28
83,28
85,28
85,27
83,32
83,30
78,36
83,28
83,27
82,30
81,31
84,30
104,31
87,32
86,31
99,30
92,27
90,27
91,32
86,32
86,30
98,29
94,27
91,27
86,34
84,31
88,30
97,27
92,29
87,27
102,33
92,29
88,29
88,33
84,32
96,31
101,29
86,29
85,32
86,31
97,29
95,55
76,32
94,29
84,31
84,29
97,32
95,41
75,27
88,30
86,31
84,31
99,29
94,28
77,30
90,30
85,32
83,31
97,29
91,27
98,28
90,31
88,32
87,31
99,29
93,28
81,33
83,30
86,29
86,30
83,28
90,30
78,30
78,32
82,33
90,30
93,29
92,27
83,39
83,32
85,32
94,30
93,27
91,28
82,33
83,32
84,31
97,30
97,27
91,27
88,38
83,32
84,31
94,30
94,28
84,29
87,32
80,32
76,31
93,34
91,29
87,27
86,35
80,31
78,32
94,31
92,28
87,28
95,32
80,30
80,28
96,28
85,27
89,32
98,28
82,27
82,30
96,29
92,27
87,28
101,35
82,29
85,26
83,32
84,33
86,30
87,32
81,29
84,27
83,32
84,31
