CH1,CH2
25,148
19,138
39,46
28,17
34,149
24,233
10,90
26,479
26,513
29,270
35,164
37,95
33,33
35,102
36,276
22,355
31,336
22,184
27,152
23,230
20,83
25,195
11,288
27,136
22,147
23,141
43,45
48,53
60,163
31,272
22,144
21,41
24,106
54,291
42,297
22,205
23,72
30,58
26,51
6,98
41,157
32,21
25,58
17,20
25,18
66,34
26,15
25,58
20,22
25,16
20,20
23,9
20,42
23,75
41,34
41,53
55,90
115,52
42,31
24,26
22,34
20,95
19,101
19,20
21,19
21,16
23,55
20,61
27,167
22,26
23,71
26,117
55,164
24,16
23,75
17,17
19,18
21,81
15,75
18,19
22,37
43,134
33,222
22,292
34,104
42,18
56,19
29,23
26,30
26,106
23,121
23,97
23,143
21,229
19,167
26,40
15,167
35,38
25,334
19,347
21,80
19,12
23,31
28,15
30,33
22,31
21,114
30,42
36,18
47,41
39,92
39,91
33,21
33,38
26,82
38,80
33,112
32,160
34,135
32,43
28,62
21,75
38,125
23,158
27,38
32,18
38,25
33,50
21,55
23,122
22,62
27,42
25,120
31,124
29,287
31,284
33,120
27,124
24,367
37,97
37,32
25,168
22,98
19,150
21,209
28,131
36,33
36,86
42,49
56,45
24,15
37,15
23,11
19,26
20,85
33,185
19,181
31,142
36,152
64,181
46,312
57,39
59,42
27,21
33,205
41,108
67,141
72,137
58,28
40,37
27,90
26,214
24,146
23,67
30,71
23,41
28,28
28,35
23,51
22,83
29,16
31,27
22,77
26,88
34,217
36,255
45,28
34,197
27,303
35,201
36,336
26,140
30,15
44,19
43,92
51,92
42,122
48,95
29,150
19,54
29,79
43,53
39,98
37,20
21,44
33,63
39,331
46,166
30,21
50,19
52,52
23,82
26,100
25,108
39,49
28,19
31,178
27,50
40,32
33,26
40,32
31,15
26,51
24,53
40,100
31,29
35,40
42,29
31,84
25,43
44,59
32,175
28,69
28,73
30,226
32,83
58,50
24,165
40,107
35,43
24,202
35,107
19,155
36,362
30,153
39,28
61,56
31,148
55,156
26,179
21,55
22,17
35,94
46,116
39,35
41,45
30,73
27,105
24,115
24,47
32,268
32,281
24,128
26,19
30,37
22,40
20,90
24,92
32,126
20,110
4,166
18,212
23,200
25,298
25,146
23,92
30,245
30,296
23,430
24,344
32,252
37,39
34,27
27,84
29,80
26,134
20,35
15,28
20,32
31,65
24,108
26,108
20,157
3,32
28,53
27,41
25,118
28,79
24,11
26,17
21,26
29,27
16,27
22,78
27,155
29,125
40,27
50,109
54,133
30,128
40,76
23,206
22,164
30,20
29,49
22,123
30,98
44,127
41,104
44,31
42,25
45,80
33,301
54,324
85,276
71,143
87,28
55,71
70,157
22,79
24,75
21,89
23,76
28,106
29,170
53,164
89,97
85,254
57,157
38,213
37,27
24,27
22,65
27,29
5,89
81,23
81,87
75,18
72,72
73,22
61,105
33,85
29,119
34,137
60,15
39,65
22,137
21,178
22,123
33,16
37,12
27,36
7,72
20,69
34,66
25,31
23,77
19,161
19,20
43,143
24,203
25,217
25,195
21,125
28,81
15,246
23,361
25,157
25,111
12,103
40,14
29,18
19,26
21,14
21,45
24,44
23,18
25,20
27,126
41,184
43,264
31,176
39,192
47,159
43,412
36,247
60,104
30,40
22,47
30,72
25,18
29,35
28,120
33,71
22,85
22,29
30,128
6,162
21,48
22,171
30,266
23,26
27,95
3,58
30,92
29,44
23,77
18,12
23,26
57,33
51,25
38,48
32,52
32,142
27,173
31,108
33,96
25,94
24,16
21,106
25,155
39,151
29,93
26,169
55,158
48,80
15,333
22,531
20,142
29,40
30,104
26,85
33,84
25,11
27,25
35,50
49,71
80,26
102,34
41,49
26,152
47,132
24,40
35,35
26,112
29,83
64,14
58,44
22,108
43,36
37,21
36,11
15,47
27,105
26,110
0,103
24,40
30,119
21,118
22,35
29,146
107,77
90,102
59,193
32,146
22,40
15,60
33,26
71,45
34,85
15,104
28,40
3,8
25,83
27,75
37,37
37,24
30,50
45,81
6,121
48,226
61,179
25,69
18,94
15,121
20,341
23,175
19,86
26,48
31,36
69,82
33,64
31,39
21,43
19,86
23,165
25,256
45,22
41,203
23,175
35,82
49,18
22,18
22,44
23,55
22,48
19,55
63,32
32,112
28,412
12,101
19,16
19,12
5,18
26,19
19,32
26,111
24,17
25,72
48,33
34,27
31,56
34,51
43,36
49,108
33,114
32,116
19,173
22,177
29,64
44,224
35,196
34,39
27,20
21,83
22,163
2,145
48,137
65,17
45,15
65,17
70,50
6,144
35,117
59,294
27,324
23,193
19,268
25,132
20,37
27,65
33,61
31,35
47,42
28,21
36,22
37,25
29,23
21,145
37,229
28,137
28,29
24,141
21,147
40,124
19,64
51,13
59,23
21,43
22,64
22,166
21,79
19,20
19,46
24,49
40,95
31,200
37,71
34,48
39,13
31,53
23,49
22,70
33,155
21,32
47,211
46,147
32,100
49,38
57,88
45,34
31,60
26,164
45,272
74,168
74,34
64,104
92,90
79,67
53,233
21,260
54,129
21,130
36,24
39,51
53,10
35,40
46,67
38,159
29,90
25,63
40,19
29,91
39,98
35,18
35,62
25,47
7,73
31,139
53,30
28,71
64,92
31,128
43,189
28,149
30,523
28,363
18,182
53,59
20,14
25,123
24,271
28,60
19,64
10,174
30,246
43,287
47,339
52,160
46,228
37,601
18,516
26,143
22,159
28,151
0,70
18,56
19,174
48,248
51,112
27,52
0,129
20,149
22,188
29,110
27,177
28,119
18,28
22,101
48,26
47,86
66,275
73,240
28,123
21,30
18,84
23,64
27,22
10,36
28,51
27,83
46,28
47,13
32,64
35,46
30,43
18,62
35,16
38,88
40,73
0,47
26,46
30,48
37,15
47,79
20,37
30,15
34,19
36,20
32,30
24,72
24,42
55,124
24,61
24,57
21,48
25,191
27,211
59,182
53,60
70,25
49,61
29,72
48,53
46,34
38,76
47,18
26,95
23,196
46,173
28,123
84,139
35,36
18,14
28,44
2,25
55,251
56,277
45,14
29,106
74,88
102,46
31,198
23,51
41,42
37,26
36,39
29,84
19,108
23,115
23,186
17,249
0,204
19,177
18,485
21,532
29,163
21,111
29,175
14,179
23,78
25,136
24,66
29,87
25,276
29,321
41,346
44,183
38,376
43,648
21,320
22,29
20,129
18,46
10,112
25,226
25,358
17,92
28,27
25,32
27,64
23,144
26,119
19,21
19,20
22,120
45,143
21,125
22,55
29,83
25,47
27,8
19,40
23,16
21,32
29,87
25,71
40,84
29,104
23,219
27,177
30,102
52,13
58,21
23,74
16,15
30,164
29,140
34,245
6,256
35,91
29,44
23,128
19,171
41,367
40,271
48,128
50,33
31,16
24,102
80,171
43,135
34,147
42,111
47,25
22,12
58,17
106,70
41,257
47,351
48,52
14,81
21,65
22,16
24,12
27,47
24,38
2,50
40,47
25,39
27,13
27,14
30,31
45,60
37,103
91,82
108,39
92,96
54,21
34,22
21,61
28,107
23,32
22,114
32,42
22,105
74,161
46,62
24,24
24,15
36,142
28,136
26,82
29,18
35,15
24,47
58,46
21,192
50,253
19,62
19,53
15,44
10,27
25,71
18,65
22,53
34,78
43,166
56,98
32,41
35,20
33,183
29,342
29,70
20,88
20,126
23,121
30,29
24,41
22,50
10,15
11,129
24,49
24,135
23,273
38,90
41,128
21,179
20,302
31,155
26,35
37,82
30,40
30,153
21,72
30,36
32,123
40,286
41,93
49,80
37,119
33,43
51,15
26,308
29,434
27,75
19,73
28,41
7,94
16,106
31,99
39,95
31,71
18,101
26,160
25,136
34,89
31,70
34,176
38,312
58,192
27,15
26,18
31,98
33,31
32,9
38,253
23,224
24,60
52,22
64,116
40,107
18,31
22,47
27,94
23,89
21,83
10,23
18,17
19,22
25,51
21,119
25,63
23,9
25,17
30,16
36,17
21,175
22,115
0,17
28,75
33,119
48,48
60,19
67,14
86,68
55,118
52,125
36,15
21,60
20,140
3,106
18,71
10,175
67,146
77,35
50,53
48,42
59,15
22,28
18,22
34,69
44,118
34,66
45,59
25,49
39,74
35,33
48,19
31,38
35,77
41,71
35,94
27,19
21,46
28,23
38,58
25,125
24,19
39,191
50,116
29,51
24,285
27,353
31,105
23,155
20,37
33,111
31,48
46,75
