CH1,CH2
35,15
55,11
37,13
27,21
36,19
40,30
15,17
128,21
30,31
29,12
22,12
30,10
52,13
121,23
4,54
43,66
110,110
114,53
66,19
44,28
36,48
94,46
67,19
71,22
135,32
61,10
86,39
37,10
125,18
138,15
52,84
43,268
51,241
29,105
28,23
34,24
31,46
29,80
76,63
41,19
26,47
55,117
44,165
37,178
29,129
74,141
83,131
30,31
84,82
98,26
62,31
105,51
10,21
76,232
46,505
59,513
40,281
27,132
25,61
35,20
45,22
59,28
68,32
115,22
61,44
50,89
45,109
25,130
56,165
8,130
17,96
38,92
48,131
52,95
68,74
215,13
100,27
73,12
75,21
23,44
56,125
47,100
24,17
126,27
88,20
109,112
18,78
125,13
111,41
38,21
45,16
35,45
4,15
118,14
173,10
114,18
87,15
52,13
106,72
228,178
149,191
37,135
79,64
85,12
124,92
163,70
32,21
44,80
139,15
121,21
71,63
35,70
93,62
174,91
99,65
42,18
71,23
36,39
94,30
34,32
214,45
116,43
30,15
31,12
47,41
42,37
40,85
41,91
56,71
78,60
76,71
35,156
46,202
93,128
80,13
32,23
30,44
29,15
48,70
22,129
84,87
104,73
173,107
299,96
136,116
70,56
45,67
149,13
164,54
85,63
31,48
60,15
93,16
36,26
24,40
70,44
47,116
45,70
15,128
119,59
106,87
113,133
159,166
26,109
22,105
46,65
47,28
64,41
63,77
63,117
52,91
100,114
168,108
216,67
177,21
83,49
36,52
47,23
203,85
207,120
53,83
46,21
13,6
23,26
68,21
113,56
137,183
125,279
13,234
29,87
49,28
58,26
85,85
45,165
104,17
29,46
66,44
99,105
72,120
78,120
49,38
57,14
77,33
126,103
36,102
36,165
29,99
38,83
27,61
23,15
21,57
41,15
46,11
81,15
56,38
47,34
41,122
67,94
64,44
217,39
84,69
31,69
60,50
141,30
174,25
26,79
29,52
33,31
22,37
38,201
48,130
126,86
59,43
83,89
95,121
50,83
40,13
106,63
75,137
72,179
55,161
53,189
27,206
35,198
145,96
49,102
16,241
33,122
64,96
210,230
39,413
198,274
449,26
236,18
75,11
52,62
106,146
116,151
97,121
91,123
52,36
0,9
113,33
120,135
80,143
40,45
19,16
64,24
96,11
172,13
163,20
33,16
37,36
36,52
165,97
126,47
42,18
35,19
47,49
29,68
31,96
40,94
60,84
127,37
191,47
45,71
33,38
24,14
28,18
119,28
223,55
60,26
29,41
27,30
52,25
74,138
3,264
75,169
42,114
34,82
26,248
319,325
243,210
67,214
29,225
57,152
63,92
88,26
51,15
39,18
33,10
36,27
38,56
50,20
35,23
41,41
62,56
58,61
49,69
113,15
47,41
24,35
28,141
83,170
92,179
24,116
30,37
34,36
38,17
22,172
45,205
58,91
28,83
31,40
25,12
30,35
92,41
96,15
94,67
122,99
181,66
140,36
37,124
45,73
223,13
284,66
210,171
12,19
69,35
62,32
51,90
26,19
50,129
95,59
25,10
40,44
55,205
27,264
196,229
192,152
24,19
43,44
38,35
70,34
105,35
28,74
33,180
37,111
29,79
33,114
46,121
48,68
56,258
74,286
46,171
101,40
22,33
33,57
25,22
27,31
78,67
87,111
34,102
124,89
29,74
26,13
40,31
0,65
30,72
68,48
106,50
128,19
40,21
30,12
78,58
63,100
31,29
37,134
46,163
129,22
81,154
39,200
37,96
153,44
76,11
59,12
47,42
33,69
31,85
32,90
55,42
61,26
35,15
43,14
38,24
33,49
6,45
28,73
58,80
95,75
98,123
32,86
15,104
56,119
41,68
35,37
44,64
62,171
50,260
23,215
80,73
163,21
86,37
82,84
38,97
238,112
221,21
25,20
37,38
28,56
38,36
31,19
27,81
22,167
52,143
37,102
30,17
59,115
46,130
39,13
94,46
126,77
99,52
49,57
24,159
70,71
120,29
28,14
30,10
26,42
33,106
27,84
17,52
30,32
33,17
241,73
265,159
196,32
105,37
52,63
85,79
34,15
149,53
91,93
34,67
53,130
74,85
40,68
37,58
53,25
39,153
43,207
51,105
79,53
59,48
34,44
42,46
33,22
35,44
58,129
68,85
55,50
29,57
36,99
35,202
36,273
87,358
196,320
94,142
49,132
107,452
209,527
241,388
35,202
51,82
155,13
125,67
56,104
28,137
25,103
26,90
24,201
22,172
24,32
61,128
89,98
116,54
71,59
7,18
36,26
36,103
70,81
27,34
22,27
90,14
63,31
43,12
27,15
56,22
31,28
131,43
109,92
60,76
155,41
44,94
37,178
114,25
24,104
21,62
31,85
29,77
58,36
41,63
46,88
34,59
41,25
44,51
16,82
73,60
66,72
29,58
44,18
45,81
54,102
80,151
31,164
32,84
34,20
135,66
62,166
71,244
61,194
191,203
248,157
141,148
24,56
69,275
210,228
158,74
52,49
27,139
29,198
30,178
25,144
37,44
112,33
82,72
125,137
108,250
103,166
19,97
171,34
102,86
15,159
68,91
109,101
49,203
21,158
41,226
27,220
43,111
66,20
55,94
121,133
126,144
32,136
9,166
32,101
75,28
98,24
55,15
28,24
15,19
27,14
34,42
24,147
25,56
32,30
0,37
101,97
28,65
49,20
62,80
55,117
108,74
102,42
125,19
143,22
102,20
64,118
75,220
283,92
347,49
250,15
175,89
47,35
32,164
28,298
22,251
27,185
0,121
38,68
34,59
32,30
28,18
34,42
103,27
65,11
79,27
40,13
135,71
143,95
133,94
39,65
35,28
67,79
128,42
27,27
110,21
45,15
35,16
31,43
26,48
56,66
101,17
199,11
114,15
111,32
74,53
87,76
48,66
244,117
370,123
213,40
66,85
69,120
36,120
71,92
50,52
46,11
54,61
82,77
123,30
91,35
23,44
24,32
48,15
66,15
41,43
40,63
45,18
39,32
74,49
42,20
57,26
58,68
36,43
135,14
30,26
110,70
85,88
52,89
89,98
31,37
34,102
150,132
114,20
38,103
33,172
27,117
27,123
46,129
57,152
104,74
75,27
43,79
27,85
73,52
39,38
33,67
37,29
34,18
68,37
63,69
33,119
12,101
66,19
29,66
26,128
33,59
51,16
48,16
31,14
24,11
26,18
26,11
35,10
51,10
81,23
80,40
61,97
42,189
35,173
29,132
66,83
67,17
38,86
25,278
33,321
90,182
190,36
128,13
52,21
107,16
97,39
259,80
226,86
133,16
34,34
36,16
19,64
2,41
90,15
101,33
40,19
29,10
26,29
95,16
121,45
189,17
182,35
130,20
59,27
72,24
30,15
102,111
45,126
128,28
52,34
76,27
339,130
63,160
163,88
40,72
110,19
27,147
37,123
184,69
333,70
23,76
36,81
42,100
68,119
61,18
95,43
75,55
66,31
39,26
35,47
35,79
29,56
39,43
38,68
38,99
61,68
42,60
54,110
89,76
27,24
87,139
99,246
61,133
93,32
79,78
270,108
213,13
36,37
34,11
61,103
93,174
86,89
47,14
71,56
29,28
132,22
175,65
39,251
50,152
134,25
28,26
29,48
23,113
22,169
25,310
27,252
32,70
30,286
31,362
27,293
58,265
37,209
38,75
25,13
52,47
34,129
26,125
44,124
30,119
39,13
43,57
35,20
39,15
102,35
25,36
108,13
36,40
89,22
42,28
26,30
37,93
30,99
26,140
28,58
49,19
41,32
27,185
26,265
23,193
49,29
30,64
70,91
35,99
28,71
31,34
31,12
31,20
62,34
38,130
67,106
66,21
82,44
85,61
50,12
170,12
218,57
101,29
26,20
28,10
38,78
23,102
42,50
128,46
140,22
182,29
265,12
155,11
54,19
69,31
4,27
33,15
51,12
45,19
36,35
73,14
208,12
119,27
84,64
53,21
36,36
49,33
11,27
76,31
60,48
44,26
170,19
171,27
141,17
26,73
92,71
123,16
64,74
78,94
92,22
53,20
48,197
25,302
33,190
17,124
119,19
42,14
63,35
89,116
46,117
102,34
205,109
90,37
35,61
77,107
63,115
39,15
89,19
28,26
38,13
92,70
2,57
204,38
356,112
312,109
95,114
63,99
71,41
78,59
37,34
39,114
56,235
88,228
34,135
62,34
83,107
24,212
38,105
49,75
73,13
41,109
35,103
53,49
75,91
24,75
27,54
95,88
43,73
26,94
75,23
46,18
29,65
31,25
45,30
33,27
70,22
81,16
62,60
75,70
54,55
31,52
45,19
36,17
53,35
50,10
38,21
30,17
55,64
31,68
33,11
38,16
34,26
39,70
59,137
105,64
183,63
147,18
104,95
48,144
36,158
255,106
215,29
300,13
177,11
9,55
39,165
35,218
