CH1,CH2
"58
","196
"
"105
","231
"
"56
","46
"
"31
","335
"
"53
","62
"
"47
","33
"
"97
","56
"
"48
","94
"
"46
","113
"
"96
","208
"
"42
","102
"
"52
","282
"
"70
","278
"
"49
","105
"
"50
","111
"
"49
","108
"
"49
","54
"
"53
","5
"
"82
","137
"
"52
","13
"
"156
","1
"
"130
","83
"
"91
","42
"
"135
","389
"
"75
","358
"
"88
","450
"
"97
","79
"
"49
","418
"
"104
","405
"
"65
","420
"
"69
","338
"
"60
","118
"
"43
","172
"
"40
","224
"
"68
","97
"
"43
","491
"
"49
","926
"
"46
","50
"
"49
","72
"
"54
","119
"
"64
","440
"
"48
","117
"
"41
","90
"
"60
","76
"
"49
","5
"
"40
","86
"
"50
","101
"
"51
","54
"
"47
","46
"
"47
","97
"
"45
","304
"
"22
","111
"
"49
","10
"
"57
","14
"
"43
","114
"
"48
","258
"
"90
","97
"
"100
","2
"
"50
","87
"
"77
","29
"
"69
","267
"
"46
","25
"
"51
","7
"
"65
","309
"
"78
","260
"
"44
","174
"
"70
","392
"
"44
","62
"
"53
","132
"
"40
","11
"
"54
","220
"
"65
","298
"
"46
","129
"
"81
","20
"
"49
","587
"
"134
","226
"
"69
","180
"
"42
","248
"
"88
","282
"
"44
","64
"
"44
","281
"
"67
","408
"
"62
","1
"
"21
","129
"
"116
","56
"
"74
","16
"
"69
","229
"
"88
","85
"
"67
","0
"
"46
","166
"
"48
","15
"
"95
","247
"
"46
","139
"
"41
","21
"
"42
","208
"
"48
","336
"
"59
","178
"
"59
","13
"
"51
","102
"
"21
","346
"
"49
","507
"
"42
","11
"
"54
","16
"
"40
","13
"
"55
","64
"
"43
","13
"
"45
","47
"
"33
","90
"
"48
","32
"
"47
","98
"
"47
","24
"
"54
","81
"
"53
","2
"
"56
","33
"
"54
","186
"
"58
","323
"
"46
","86
"
"54
","36
"
"43
","101
"
"50
","12
"
"45
","165
"
"68
","79
"
"49
","65
"
"34
","4
"
"42
","23
"
"64
","178
"
"77
","116
"
"50
","46
"
"80
","256
"
"54
","200
"
"46
","179
"
"47
","37
"
"55
","0
"
"56
","18
"
"36
","119
"
"85
","147
"
"69
","80
"
"84
","159
"
"68
","31
"
