CH1,CH2
"70
","84
"
"113
","88
"
"78
","49
"
"69
","23
"
"77
","0
"
"80
","2
"
"90
","11
"
"72
","0
"
"76
","0
"
"74
","0
"
"52
","1
"
"47
","7
"
"65
","8
"
"121
","0
"
"142
","0
"
"262
","3
"
"144
","1
"
"62
","8
"
"135
","48
"
"61
","73
"
"66
","62
"
"70
","42
"
"98
","13
"
"102
","19
"
"31
","53
"
"128
","36
"
"98
","0
"
"52
","77
"
"73
","98
"
"51
","33
"
"51
","70
"
"76
","42
"
"66
","33
"
"166
","1
"
"83
","5
"
"199
","11
"
"123
","10
"
"310
","62
"
"150
","6
"
"67
","47
"
"58
","89
"
"153
","71
"
"161
","26
"
"35
","32
"
"105
","29
"
"148
","0
"
"54
","33
"
"62
","35
"
"83
","0
"
"88
","0
"
"89
","45
"
"125
","14
"
"79
","45
"
"89
","0
"
"105
","25
"
"23
","7
"
"94
","0
"
"56
","0
"
"50
","0
"
"119
","24
"
"123
","19
"
"9
","41
"
"100
","66
"
"86
","19
"
"67
","0
"
"59
","9
"
"69
","18
"
"154
","80
"
"135
","51
"
"133
","3
"
"85
","8
"
"51
","0
"
"69
","0
"
"118
","35
"
"125
","0
"
"100
","53
"
"201
","61
"
"296
","42
"
"148
","0
"
"93
","0
"
"70
","0
"
"91
","12
"
"108
","0
"
"55
","0
"
"27
","8
"
"59
","11
"
"146
","9
"
"97
","8
"
"93
","0
"
"62
","44
"
"58
","23
"
"47
","0
"
"59
","2
"
"61
","0
"
"44
","0
"
"64
","0
"
"55
","0
"
"115
","0
"
"87
","0
"
"87
","7
"
"86
","3
"
"64
","0
"
"53
","0
"
"50
","0
"
"59
","0
"
"111
","0
"
"55
","18
"
"73
","0
"
"108
","0
"
"151
","22
"
"59
","68
"
"73
","62
"
"152
","16
"
"276
","14
"
"196
","78
"
"145
","65
"
"180
","23
"
"98
","13
"
"167
","50
"
"192
","0
"
"54
","46
"
"148
","61
"
"93
","68
"
"27
","76
"
"147
","81
"
"143
","15
"
"69
","47
"
"83
","102
"
"128
","68
"
"60
","0
"
"116
","21
"
"63
","0
"
"49
","11
"
"65
","18
"
"166
","70
"
"60
","23
"
"74
","0
"
"74
","15
"
"55
","62
"
"146
","60
"
"51
","59
"
"99
","32
"
"171
","0
"
"145
","42
"
"58
","39
"
"65
","10
"
"288
","26
"
"144
","9
"
"84
","0
"
"235
","0
"
"94
","16
"
"205
","77
"
"244
","96
"
"201
","1
"
"58
","114
"
"66
","59
"
"61
","30
"
"95
","95
"
"89
","31
"
"147
","0
"
"155
","0
"
"52
","1
"
"75
","14
"
"195
","53
"
"100
","118
"
"46
","63
"
"58
","38
"
"96
","18
"
"132
","37
"
"82
","13
"
"27
","8
"
"46
","42
"
"70
","34
"
"110
","26
"
"46
","7
"
"61
","0
"
"20
","61
"
"185
","51
"
"196
","7
"
"83
","10
"
"209
","20
"
"67
","11
"
"108
","49
"
"119
","46
"
"121
","0
"
"95
","40
"
"78
","42
"
"116
","0
"
"47
","15
"
"83
","39
"
"181
","46
"
"106
","8
"
"68
","13
"
"110
","0
"
"95
","0
"
"52
","17
"
"50
","30
"
"125
","40
"
"72
","24
"
"50
","97
"
"186
","119
"
"249
","44
"
"200
","5
"
"82
","50
"
"208
","170
"
"340
","159
"
"261
","51
"
"48
","0
"
"44
","35
"
"72
","8
"
"125
","19
"
"53
","41
"
"115
","76
"
"147
","52
"
"104
","18
"
"91
","8
"
"156
","57
"
"139
","7
"
"72
","7
"
"56
","27
"
"65
","29
"
"53
","4
"
"121
","0
"
"91
","5
"
"63
","20
"
"57
","7
"
"66
","0
"
"65
","0
"
"50
","0
"
"11
","0
"
"71
","0
"
"64
","1
"
"63
","52
"
"95
","21
"
"54
","0
"
"89
","0
"
"57
","32
"
"43
","37
"
"110
","18
"
"68
","8
"
"62
","6
"
"73
","0
"
"139
","22
"
"185
","53
"
"87
","11
"
"73
","21
"
"62
","80
"
"40
","50
"
"16
","0
"
"72
","0
"
"92
","0
"
"51
","0
"
"77
","16
"
"90
","0
"
"111
","46
"
"94
","50
"
"118
","33
"
"56
","0
"
"63
","6
"
"45
","0
"
"66
","12
"
"130
","0
"
"49
","26
"
"130
","0
"
"158
","46
"
"97
","68
"
"91
","19
"
"129
","0
"
"74
","24
"
"60
","36
"
"101
","28
"
"168
","2
"
"326
","2
"
"72
","18
"
"45
","46
"
"71
","84
"
"155
","38
"
"287
","42
"
"134
","2
"
"47
","34
"
"97
","90
"
"120
","17
"
"79
","38
"
"57
","9
"
"143
","24
"
"226
","38
"
"138
","1
"
"57
","0
"
"84
","2
"
"97
","7
"
"124
","5
"
"54
","4
"
"55
","0
"
"51
","0
"
"107
","0
"
"48
","0
"
"58
","26
"
"18
","5
"
"89
","35
"
"82
","36
"
"78
","3
"
"120
","0
"
"69
","0
"
"116
","21
"
"90
","0
"
"62
","58
"
"43
","46
"
"57
","6
"
"62
","0
"
"80
","28
"
"120
","34
"
"69
","13
"
"51
","0
"
"51
","9
"
"46
","18
"
"64
","24
"
"79
","37
"
"234
","14
"
"152
","1
"
"116
","11
"
"129
","14
"
"222
","4
"
"38
","0
"
"93
","10
"
"59
","0
"
"78
","0
"
"194
","13
"
"195
","13
"
"47
","28
"
"57
","15
"
"74
","35
"
"157
","73
"
"309
","71
"
"259
","10
"
"59
","46
"
"165
","83
"
"224
","77
"
"248
","24
"
"58
","0
"
"30
","6
"
"55
","33
"
"178
","33
"
"238
","0
"
"69
","48
"
"47
","66
"
"60
","48
"
"47
","26
"
"58
","0
"
"31
","21
"
"86
","0
"
"49
","26
"
"94
","6
"
"166
","19
"
"67
","0
"
"73
","13
"
"56
","0
"
"119
","47
"
"116
","66
"
"53
","0
"
"98
","11
"
"156
","46
"
"200
","33
"
"167
","0
"
"38
","0
"
"64
","0
"
"54
","1
"
"98
","20
"
"153
","40
"
"50
","6
"
"93
","3
"
"151
","10
"
"105
","12
"
"276
","44
"
"106
","0
"
"70
","16
"
"164
","43
"
"37
","0
"
"49
","0
"
"52
","1
"
"97
","0
"
"74
","0
"
"46
","6
"
"23
","32
"
"45
","17
"
"57
","4
"
"71
","5
"
"63
","0
"
"64
","25
"
"64
","21
"
"50
","8
"
"63
","30
"
"62
","19
"
"68
","17
"
"93
","0
"
"70
","23
"
"47
","45
"
"138
","13
"
"79
","0
"
"130
","0
"
"93
","0
"
"54
","12
"
"16
","0
"
"71
","0
"
"144
","0
"
"263
","5
"
"115
","1
"
"72
","19
"
"140
","26
"
"113
","0
"
"59
","40
"
"53
","51
"
"52
","27
"
"47
","15
"
"21
","19
"
"109
","58
"
"121
","27
"
"208
","23
"
"177
","30
"
"82
","36
"
"146
","0
"
"58
","65
"
"200
","71
"
"133
","0
"
"181
","72
"
"455
","36
"
"323
","0
"
"149
","0
"
"96
","76
"
"75
","85
"
"53
","49
"
"62
","28
"
"60
","5
"
"109
","0
"
"61
","0
"
"97
","17
"
"72
","61
"
"46
","78
"
"28
","76
"
"74
","88
"
"132
","119
"
"151
","48
"
"160
","1
"
"124
","106
"
"47
","149
"
"139
","103
"
"102
","86
"
"58
","43
"
"64
","2
"
"45
","65
"
"121
","105
"
"44
","8
"
"56
","65
"
"56
","29
"
"53
","5
"
"11
","45
"
"54
","27
"
"68
","16
"
