CH1,CH2
"27
","0
"
"20
","1
"
"34
","11
"
"31
","19
"
"29
","24
"
"34
","8
"
"30
","0
"
"32
","0
"
"31
","0
"
"32
","0
"
"62
","0
"
"31
","0
"
"32
","0
"
"29
","0
"
"33
","3
"
"31
","7
"
"34
","4
"
"24
","0
"
"33
","0
"
"31
","0
"
"35
","0
"
"31
","0
"
"36
","0
"
"31
","0
"
"34
","0
"
"32
","0
"
"35
","0
"
"33
","0
"
"34
","4
"
"48
","9
"
"43
","1
"
"35
","0
"
"34
","0
"
"32
","0
"
"32
","0
"
"31
","0
"
"29
","0
"
"21
","2
"
"28
","3
"
"31
","0
"
"31
","0
"
"33
","0
"
"34
","0
"
"30
","0
"
"41
","0
"
"31
","0
"
"36
","0
"
"34
","0
"
"35
","0
"
"34
","0
"
"32
","0
"
"26
","0
"
"31
","0
"
"29
","0
"
"33
","0
"
"28
","0
"
"29
","0
"
"30
","0
"
"31
","0
"
"34
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"37
","0
"
"81
","0
"
"31
","0
"
"29
","0
"
"33
","0
"
"27
","0
"
"30
","0
"
"29
","0
"
"52
","0
"
"38
","0
"
"28
","0
"
"30
","4
"
"31
","12
"
"31
","10
"
"30
","5
"
"28
","0
"
"35
","0
"
"35
","0
"
"30
","0
"
"28
","0
"
"31
","0
"
"31
","0
"
"25
","0
"
"30
","0
"
"29
","0
"
"33
","0
"
"32
","0
"
"31
","0
"
"30
","0
"
"25
","0
"
"34
","0
"
"28
","0
"
"29
","0
"
"31
","0
"
"34
","0
"
"28
","0
"
"26
","0
"
"30
","0
"
"31
","0
"
"35
","0
"
"28
","0
"
"29
","0
"
"49
","0
"
"25
","0
"
"33
","0
"
"30
","0
"
"30
","0
"
"34
","0
"
"35
","0
"
"66
","0
"
"35
","0
"
"30
","0
"
"33
","0
"
"34
","0
"
"31
","0
"
"33
","0
"
"35
","0
"
"25
","0
"
"29
","2
"
"30
","0
"
"33
","0
"
"32
","0
"
"34
","0
"
"40
","0
"
"36
","0
"
"35
","0
"
"30
","0
"
"28
","0
"
"31
","0
"
"32
","0
"
"37
","0
"
"32
","0
"
"28
","0
"
"31
","0
"
"35
","5
"
"34
","11
"
"34
","0
"
"19
","0
"
"31
","9
"
"31
","14
"
"30
","16
"
"30
","0
"
"31
","0
"
"70
","11
"
"30
","3
"
"33
","3
"
"32
","0
"
"30
","0
"
"31
","0
"
"30
","0
"
"29
","0
"
"34
","0
"
"29
","0
"
"30
","0
"
"34
","0
"
"27
","0
"
"29
","0
"
"29
","0
"
"30
","0
"
"33
","0
"
"29
","0
"
"30
","0
"
"33
","0
"
"35
","0
"
"41
","0
"
"31
","0
"
"30
","0
"
"39
","0
"
"36
","0
"
"29
","0
"
"31
","0
"
"27
","0
"
"34
","0
"
"34
","0
"
"29
","0
"
"31
","0
"
"31
","0
"
"36
","0
"
"29
","0
"
"31
","0
"
"35
","0
"
"31
","0
"
"32
","0
"
"29
","0
"
"30
","0
"
"34
","0
"
"32
","0
"
"32
","0
"
"30
","0
"
"31
","0
"
"34
","0
"
"29
","0
"
"19
","0
"
"29
","0
"
"35
","6
"
"35
","0
"
"30
","0
"
"30
","0
"
"63
","0
"
"39
","0
"
"33
","1
"
"32
","0
"
"34
","0
"
"33
","0
"
"32
","0
"
"44
","0
"
"31
","0
"
"30
","0
"
"34
","0
"
"35
","0
"
"31
","0
"
"31
","10
"
"20
","8
"
"31
","3
"
"33
","0
"
"30
","3
"
"35
","15
"
"44
","9
"
"36
","4
"
"42
","0
"
"32
","0
"
"30
","0
"
"28
","0
"
"31
","0
"
"34
","0
"
"29
","0
"
"24
","0
"
"27
","0
"
"35
","0
"
"34
","0
"
"30
","0
"
"30
","0
"
"32
","0
"
"28
","0
"
"34
","0
"
"30
","0
"
