CH1,CH2
6,6
1,4
3,12
3,12
0,8
1,8
2,16
3,28
1,32
0,19
3,3
6,18
8,18
8,11
8,6
8,8
6,15
4,14
2,6
1,2
3,7
3,7
2,2
0,3
3,6
6,7
9,13
11,21
12,25
12,22
11,11
9,2
6,18
4,30
1,29
2,13
5,9
6,22
5,21
2,11
2,3
6,19
9,34
9,43
8,45
6,42
4,32
4,18
3,3
2,4
0,8
2,17
3,37
2,54
1,59
1,46
3,20
6,11
8,40
11,52
12,47
9,33
6,23
2,15
0,3
2,13
4,30
5,41
4,42
3,35
0,22
5,3
8,16
9,27
10,31
9,36
7,46
6,53
4,46
4,29
2,11
1,1
0,4
0,7
0,9
2,9
3,4
5,7
6,20
6,23
6,17
6,6
3,3
0,10
2,23
4,31
6,27
5,12
4,10
2,30
1,43
4,51
9,55
12,59
13,60
13,51
11,35
7,10
2,16
1,36
3,39
5,26
6,13
5,12
4,23
1,43
1,67
4,86
8,84
10,53
11,8
11,25
8,36
5,26
1,6
2,4
5,0
7,11
5,22
2,27
0,30
4,35
7,43
10,50
11,50
11,39
9,19
7,2
4,18
0,30
2,40
3,46
2,47
0,45
2,44
4,45
7,39
8,25
9,11
10,5
10,6
10,7
7,10
4,13
1,7
1,10
3,36
5,57
5,61
4,46
2,21
0,6
3,30
7,38
10,29
12,14
12,3
10,0
6,3
2,11
1,19
3,19
6,9
6,1
5,7
2,7
1,7
4,13
6,19
8,20
10,8
10,14
9,38
7,50
4,49
1,37
1,17
3,1
5,9
5,5
4,2
2,3
0,6
3,22
8,36
11,42
13,38
13,29
12,17
10,2
7,16
3,32
0,33
4,17
7,0
7,6
5,0
1,7
3,13
6,20
8,24
8,23
8,14
8,1
6,8
4,10
2,5
0,4
3,13
4,18
2,20
0,25
2,30
6,29
10,16
12,2
13,17
11,17
9,0
5,24
1,35
2,23
4,5
5,32
4,46
3,46
1,37
1,26
2,11
3,6
3,22
4,29
6,30
7,33
7,41
7,46
4,40
0,23
1,3
2,19
1,42
0,56
2,57
5,46
8,37
9,39
10,49
9,51
8,34
6,4
4,27
1,45
1,52
2,52
3,47
3,36
1,21
0,7
3,1
6,11
8,26
9,35
10,34
9,28
8,23
6,19
4,16
1,13
2,9
4,5
6,1
5,8
4,11
1,14
0,18
4,21
6,21
8,21
9,22
9,19
7,1
4,27
1,56
2,72
4,69
5,50
4,30
3,15
0,1
4,15
9,37
12,58
13,71
13,70
11,58
8,40
5,19
1,0
1,14
3,19
3,17
3,9
1,6
1,24
5,29
8,14
10,12
11,38
9,53
6,52
2,40
1,29
5,27
8,34
8,40
7,39
3,27
0,3
3,33
7,69
11,90
13,88
15,65
15,28
14,10
10,43
5,66
1,76
2,66
4,41
4,10
4,16
2,29
0,29
0,20
3,5
5,13
6,35
7,51
7,53
5,44
2,25
0,6
3,4
6,6
6,2
4,0
0,3
2,4
6,0
9,12
10,30
11,49
11,58
9,52
6,34
3,8
1,16
4,29
5,26
7,9
5,11
2,24
1,27
6,18
9,0
12,20
14,39
14,49
14,49
12,48
8,49
4,55
0,57
3,52
5,39
4,24
2,14
1,7
4,1
6,21
7,57
6,95
6,118
5,112
5,80
4,36
2,6
0,39
3,61
6,74
7,70
7,45
5,4
2,30
0,49
2,48
6,35
9,13
13,11
15,33
13,49
10,58
7,59
3,58
0,50
0,38
0,23
0,10
1,2
2,17
4,36
7,55
9,68
10,68
10,46
8,8
6,29
3,52
0,58
4,53
6,44
6,35
5,21
3,5
0,12
4,25
7,31
9,29
10,19
9,6
7,1
4,0
1,9
1,18
2,21
3,20
3,11
3,9
1,43
1,75
4,89
8,81
9,52
9,13
7,24
5,53
1,72
0,74
2,55
3,19
3,15
2,34
0,36
2,33
5,23
6,2
8,38
10,69
11,80
10,69
9,46
7,16
3,12
0,34
2,48
4,54
6,53
4,41
1,18
2,9
6,28
8,34
11,31
13,18
12,2
9,29
7,52
3,67
0,75
3,79
6,80
9,74
11,57
11,28
7,2
0,24
8,33
15,34
19,31
18,24
15,15
11,7
6,7
4,14
0,26
0,30
2,25
1,17
0,8
2,1
4,12
7,18
8,19
8,20
8,21
6,15
3,0
0,25
3,51
7,66
9,60
9,34
6,3
2,32
2,45
6,43
11,29
12,13
12,2
10,4
8,19
5,42
3,63
0,74
3,69
5,46
4,12
2,21
0,43
3,54
6,61
8,67
10,65
11,52
10,28
7,1
4,18
0,32
3,35
6,30
7,18
7,3
6,8
4,14
1,19
2,28
6,35
11,31
13,11
14,20
13,58
12,93
9,105
