CH1,CH2
41,39
58,9
72,11
72,5
55,35
30,41
1,13
25,30
43,70
42,94
22,105
0,106
9,94
4,75
31,52
58,36
72,30
67,18
57,5
49,31
33,45
0,46
37,43
61,41
61,39
44,43
23,58
6,81
5,106
12,124
11,117
4,80
23,27
38,21
44,58
44,82
37,95
25,95
14,85
8,73
2,66
3,69
10,83
11,100
7,108
1,85
5,24
15,59
28,135
40,174
42,163
36,108
21,35
6,26
6,54
18,47
28,19
36,17
40,53
33,84
16,103
0,104
7,83
9,46
13,1
23,38
34,68
39,88
34,100
19,106
10,114
47,127
80,140
93,135
77,104
44,49
7,11
24,63
50,91
67,92
70,76
61,54
41,36
15,22
9,7
25,7
29,22
25,32
16,35
2,31
12,25
25,16
36,5
41,6
40,13
34,9
27,3
18,13
6,15
10,11
32,5
54,5
64,10
60,20
47,27
29,21
12,4
3,47
18,91
28,113
31,105
30,71
28,22
25,25
22,56
20,62
20,50
23,31
25,11
24,0
14,4
4,23
2,45
5,58
9,59
16,47
20,27
19,5
16,16
20,46
26,78
23,96
7,89
13,69
25,54
24,47
21,38
30,19
51,4
65,29
61,59
43,89
24,113
11,121
3,112
21,92
36,62
43,26
39,9
27,37
21,47
23,36
24,8
19,21
10,46
3,63
0,62
3,34
8,16
16,75
24,129
30,157
21,143
0,84
28,8
47,41
56,51
56,36
52,22
45,13
38,6
27,0
7,1
18,13
36,40
41,65
38,72
36,62
28,44
16,28
2,16
8,4
14,9
18,26
20,33
21,30
18,19
13,6
10,2
12,2
13,2
13,12
11,31
11,44
13,37
16,5
20,33
22,62
19,72
13,63
0,44
21,20
46,0
61,17
58,29
38,37
7,40
22,47
42,62
42,80
26,95
11,94
10,73
24,36
37,0
37,27
22,32
4,16
33,12
53,33
63,31
66,2
55,49
28,107
4,148
25,157
32,132
32,80
33,19
36,34
35,70
30,80
20,66
9,37
0,5
5,21
4,33
2,25
11,10
17,1
16,5
12,17
16,24
21,12
21,24
13,66
6,83
0,69
3,42
7,26
7,22
5,19
5,12
7,8
9,3
7,7
0,22
8,27
16,13
18,14
14,42
4,56
11,49
26,31
30,16
25,15
14,24
4,27
2,15
0,9
8,39
26,65
42,84
50,91
49,84
42,59
30,28
14,2
0,13
13,19
21,18
26,15
31,19
33,39
27,65
13,79
2,74
10,58
4,40
7,18
14,8
14,34
9,46
3,36
0,13
5,11
10,26
7,21
5,8
22,45
32,69
32,67
24,42
13,8
4,25
5,51
9,61
4,58
15,43
33,29
36,28
21,35
1,38
16,28
29,9
38,13
40,34
39,51
35,60
28,58
18,44
8,20
2,5
1,25
2,43
5,59
5,72
4,71
2,49
2,11
5,35
5,79
3,103
3,96
10,62
17,14
19,32
13,70
5,89
1,85
2,53
3,7
12,34
18,58
22,65
20,60
7,44
15,23
37,9
43,9
28,17
1,15
27,4
46,35
45,60
27,72
1,71
20,64
36,59
45,55
46,50
39,40
24,21
6,3
5,24
11,32
15,25
20,13
22,6
21,12
17,32
10,53
2,59
4,40
7,4
9,37
14,74
20,98
21,104
14,94
3,71
0,45
4,24
12,10
19,5
24,13
24,30
21,49
15,57
13,38
16,12
21,87
22,168
16,223
7,232
5,192
17,121
25,50
26,5
22,9
16,3
18,13
27,31
29,37
11,24
21,1
51,18
63,32
49,49
10,72
36,94
66,105
67,106
47,101
25,98
7,94
7,85
20,69
31,46
37,21
38,2
35,8
31,9
27,2
20,5
9,7
6,2
20,6
27,13
22,13
12,9
2,4
2,4
2,14
1,18
3,13
8,6
13,5
14,10
10,2
6,24
1,64
0,93
1,97
1,78
7,44
11,7
10,20
7,29
1,23
5,11
11,0
15,12
17,27
13,37
4,33
10,14
26,9
33,27
31,33
26,24
22,9
24,2
28,6
34,2
37,5
32,15
16,23
3,35
16,47
17,56
15,61
21,65
32,67
38,69
37,64
34,52
38,34
46,11
40,8
17,25
9,37
26,52
33,70
37,85
40,93
36,90
23,76
9,46
0,4
2,41
4,73
13,82
17,70
13,42
7,2
8,39
13,64
14,56
10,24
0,10
13,30
26,28
33,13
29,3
14,14
4,18
22,23
30,32
27,48
18,61
11,60
8,40
7,2
1,46
15,92
24,123
20,134
9,125
1,100
11,69
22,40
31,14
33,12
30,36
22,45
12,41
0,27
12,15
23,10
23,9
10,3
8,9
22,24
23,29
15,30
6,33
3,33
7,18
18,13
30,53
33,88
24,105
1,96
33,63
64,19
