CH1,CH2
46,24
46,24
40,28
31,27
21,20
13,13
3,11
11,13
30,17
51,18
67,14
71,9
58,0
29,9
9,20
45,30
68,34
69,31
54,23
36,11
25,0
17,8
5,14
14,18
31,20
39,17
36,11
25,4
9,4
11,9
28,4
36,10
33,25
20,31
2,19
20,1
40,14
42,30
26,47
4,57
12,47
23,21
30,8
35,30
35,41
25,41
6,28
8,5
10,14
4,20
1,10
5,9
8,31
9,47
7,54
3,51
0,37
1,15
6,10
15,37
23,55
28,55
28,41
24,20
17,1
7,24
3,45
15,57
27,48
35,19
36,10
28,24
19,20
12,5
5,11
1,20
4,17
5,6
7,3
9,11
9,17
6,19
1,16
5,10
15,8
20,15
14,25
2,30
25,24
42,7
47,11
41,24
29,28
18,32
8,40
6,47
24,48
39,41
42,28
30,15
10,2
6,7
20,12
34,15
41,16
41,16
35,15
27,7
18,9
5,23
13,23
32,10
44,4
45,8
30,1
6,9
14,11
24,0
24,16
18,25
14,21
13,2
15,20
13,33
9,34
6,24
7,11
8,0
3,1
0,1
2,5
2,4
3,3
8,15
16,23
26,20
40,6
49,8
43,17
21,16
6,10
25,0
32,4
29,2
23,7
21,18
23,22
25,13
27,3
29,22
31,32
33,34
33,29
27,25
18,21
8,13
0,2
6,20
14,34
23,40
32,41
37,35
32,27
21,23
6,24
7,21
19,8
23,17
19,40
10,47
2,34
2,8
8,14
11,29
11,34
7,32
2,26
15,17
30,11
36,10
27,10
4,5
17,3
26,11
18,12
0,4
12,7
9,12
1,10
8,3
9,6
10,14
16,17
25,13
30,8
26,15
8,33
12,46
23,39
15,10
3,30
22,66
29,82
25,68
14,34
0,2
9,26
15,30
15,18
15,0
10,15
1,19
11,11
18,3
17,12
10,11
0,5
2,1
1,1
10,1
15,4
15,3
15,2
15,12
14,20
9,27
1,34
10,39
15,37
9,26
3,2
16,24
20,46
15,57
6,51
1,32
9,10
17,4
24,9
26,10
21,12
9,15
5,19
14,22
11,24
0,26
11,29
17,32
12,32
1,32
11,33
21,36
29,31
32,12
31,15
26,38
20,47
7,44
9,34
21,19
22,3
14,5
4,4
5,2
12,9
18,11
22,7
25,1
25,11
19,19
4,23
11,24
20,26
18,28
9,22
1,9
8,4
9,13
6,18
1,20
12,20
23,21
29,23
25,24
8,20
9,7
13,8
3,25
8,37
10,42
1,38
12,31
25,24
32,14
34,2
32,10
28,18
25,20
21,17
16,10
11,4
2,1
9,4
22,5
27,6
22,7
12,9
3,9
2,10
4,10
8,9
12,7
15,6
17,5
18,7
17,8
14,9
9,12
7,17
6,21
5,24
1,20
12,10
23,0
27,4
23,5
12,9
1,17
5,29
8,37
7,38
7,33
7,22
3,4
6,16
19,37
23,52
16,53
5,33
4,1
16,33
27,49
35,46
35,30
27,16
20,12
18,15
18,13
15,1
4,23
11,40
25,44
30,39
22,34
8,30
5,28
17,27
23,26
17,23
3,20
10,9
10,8
3,28
16,34
19,25
14,9
2,3
10,11
19,14
24,16
26,18
24,24
14,26
4,21
27,8
44,3
47,10
37,11
21,4
6,8
3,26
5,37
2,28
1,1
3,38
2,62
1,63
4,52
4,37
1,22
10,3
15,20
14,46
3,66
13,68
30,47
40,13
33,18
13,34
8,35
19,26
20,14
14,3
15,4
25,12
35,24
30,34
17,32
4,15
3,8
4,26
1,32
7,28
20,19
32,7
33,4
26,14
12,20
0,23
9,26
15,27
17,31
18,38
20,47
27,49
35,43
34,21
23,11
17,43
15,57
11,52
1,41
11,40
21,41
26,34
31,11
36,22
34,53
25,72
12,76
1,67
5,50
11,32
12,14
9,2
2,18
7,29
15,33
18,31
18,22
19,13
22,8
24,5
22,3
14,0
2,2
13,2
33,3
45,5
41,8
22,11
0,15
15,20
21,23
23,16
22,1
19,13
14,22
4,30
4,38
10,47
14,54
13,56
14,47
17,23
18,3
10,22
3,23
17,12
27,4
33,9
35,25
31,44
23,59
12,67
0,69
7,65
8,62
1,64
10,61
19,45
16,15
0,15
19,37
34,48
37,48
30,42
17,28
4,11
3,2
7,7
8,3
9,5
10,15
9,21
4,23
3,23
12,19
16,10
9,4
3,25
16,46
19,53
14,42
6,19
1,1
4,15
15,20
28,20
34,19
33,25
29,33
26,34
21,22
15,11
9,13
3,25
0,26
0,9
0,17
5,42
15,56
25,59
31,53
36,36
34,14
23,6
9,23
2,32
13,32
23,20
30,0
28,23
16,43
2,55
24,60
35,55
32,42
13,27
9,19
29,19
39,15
37,3
26,36
18,60
14,64
12,53
7,33
1,12
5,2
11,11
13,14
15,14
14,8
8,2
0,2
7,2
