CH1,CH2
"9
","220
"
"10
","221
"
"37
","103
"
"75
","45
"
"72
","297
"
"70
","412
"
"59
","323
"
"35
","230
"
"38
","135
"
"15
","247
"
"3
","300
"
"25
","152
"
"26
","102
"
"57
","76
"
"52
","140
"
"27
","30
"
"10
","101
"
"18
","183
"
"6
","35
"
"1
","27
"
"30
","28
"
"31
","79
"
"8
","193
"
"10
","268
"
"44
","104
"
"5
","221
"
"8
","104
"
"20
","104
"
"20
","184
"
"57
","400
"
"42
","766
"
"30
","721
"
"38
","365
"
"37
","210
"
"30
","421
"
"55
","1023
"
"10
","363
"
"31
","207
"
"15
","380
"
"20
","264
"
"47
","241
"
"108
","289
"
"65
","93
"
"11
","181
"
"30
","69
"
"76
","352
"
"71
","512
"
"4
","255
"
"2
","313
"
"29
","263
"
"28
","318
"
"9
","764
"
"38
","809
"
"63
","772
"
"38
","468
"
"59
","278
"
"31
","47
"
"4
","233
"
"6
","657
"
"66
","338
"
"179
","471
"
"61
","144
"
"30
","55
"
"20
","295
"
"121
","128
"
"62
","339
"
"53
","559
"
"17
","318
"
"27
","256
"
"6
","564
"
"90
","211
"
"86
","400
"
"7
","461
"
"170
","210
"
"48
","380
"
"1
","398
"
"53
","292
"
"121
","150
"
"90
","377
"
"37
","45
"
"13
","30
"
"53
","230
"
"50
","398
"
"24
","455
"
"42
","245
"
"46
","219
"
"68
","108
"
"75
","54
"
"86
","66
"
"174
","93
"
"110
","451
"
"31
","150
"
"93
","346
"
"264
","262
"
"143
","312
"
"7
","493
"
"45
","131
"
"34
","115
"
"38
","271
"
"133
","122
"
"157
","126
"
"6
","279
"
"42
","208
"
"114
","308
"
"89
","255
"
"18
","88
"
"12
","468
"
"41
","391
"
"44
","224
"
"30
","343
"
"1
","778
"
"50
","480
"
"21
","399
"
"35
","398
"
"3
","508
"
"2
","413
"
"32
","495
"
"43
","281
"
"74
","112
"
"76
","329
"
"27
","493
"
"33
","572
"
"46
","357
"
"48
","172
"
"35
","115
"
"75
","27
"
"64
","97
"
"30
","166
"
"17
","151
"
"22
","162
"
"5
","21
"
"1
","63
"
"76
","439
"
"68
","398
"
"14
","30
"
"23
","102
"
"20
","25
"
"3
","19
"
"3
","57
"
"12
","28
"
"7
","102
"
"3
","234
"
"48
","46
"
"37
","129
"
"33
","100
"
"19
","45
"
"4
","80
"
"4
","124
"
"6
","261
"
"11
","208
"
"9
","114
"
"7
","45
"
"12
","149
"
"23
","207
"
"4
","94
"
"16
","26
"
"0
","456
"
"17
","86
"
"152
","228
"
"161
","204
"
"123
","177
"
"71
","347
"
"29
","511
"
"61
","270
"
"27
","381
"
"31
","72
"
"83
","344
"
"5
","299
"
"28
","86
"
"64
","467
"
"67
","539
"
"14
","42
"
"78
","291
"
"50
","139
"
"11
","282
"
"43
","535
"
"254
","624
"
"277
","168
"
"129
","431
"
"43
","322
"
"167
","196
"
"23
","592
"
"69
","170
"
"49
","574
"
"139
","156
"
"276
","41
"
"135
","244
"
"88
","480
"
"66
","104
"
"48
","320
"
"106
","287
"
"52
","963
"
"35
","1023
"
"86
","565
"
"75
","36
"
"3
","94
"
"7
","113
"
"64
","74
"
"50
","69
"
"50
","32
"
"9
","279
"
"8
","636
"
"16
","219
"
"20
","358
"
"7
","368
"
"5
","83
"
"86
","236
"
"31
","282
"
"9
","187
"
"7
","150
"
"114
","124
"
"127
","855
"
"44
","446
"
"6
","156
"
"37
","250
"
"44
","117
"
"9
","83
"
"6
","143
"
"7
","210
"
"43
","35
"
"32
","372
"
"26
","776
"
"61
","530
"
"17
","57
"
"0
","198
"
"4
","252
"
"6
","37
"
"9
","216
"
"0
","83
"
"38
","30
"
"7
","263
"
"50
","74
"
"57
","125
"
"33
","187
"
"18
","621
"
"22
","729
"
"6
","561
"
"24
","455
"
"97
","495
"
"125
","826
"
"19
","648
"
"88
","644
"
"27
","362
"
"4
","77
"
"135
","343
"
"135
","39
"
"49
","295
"
"34
","59
"
"0
","273
"
"40
","34
"
"33
","181
"
"79
","151
"
"53
","59
"
"17
","195
"
"6
","337
"
"8
","160
"
"0
","122
"
"0
","36
"
"15
","490
"
"63
","64
"
"39
","42
"
"73
","287
"
"10
","293
"
"59
","419
"
"1
","170
"
"9
","180
"
"13
","139
"
"14
","143
"
"31
","148
"
"75
","248
"
"110
","206
"
"42
","130
"
"83
","33
"
"46
","190
"
"1
","62
"
"8
","144
"
"39
","43
"
"11
","40
"
"30
","81
"
"46
","99
"
"40
","112
"
"84
","209
"
"25
","600
"
"94
","140
"
"27
","367
"
"8
","335
"
