CH1,CH2
"0
","87
"
"0
","80
"
"0
","73
"
"0
","62
"
"0
","40
"
"0
","20
"
"0
","16
"
"0
","22
"
"0
","35
"
"0
","51
"
"3
","80
"
"1
","106
"
"0
","125
"
"0
","135
"
"2
","134
"
"10
","113
"
"9
","115
"
"4
","110
"
"2
","101
"
"0
","86
"
"0
","80
"
"0
","71
"
"0
","69
"
"0
","72
"
"0
","41
"
"0
","48
"
"1
","25
"
"0
","11
"
"0
","24
"
"0
","34
"
"0
","46
"
"0
","79
"
"3
","112
"
"1
","141
"
"0
","149
"
"1
","143
"
"1
","129
"
"0
","115
"
"0
","110
"
"0
","94
"
"0
","84
"
"0
","76
"
"0
","58
"
"0
","32
"
"0
","11
"
"1
","7
"
"0
","39
"
"0
","67
"
"0
","104
"
"0
","133
"
"0
","137
"
"4
","126
"
"8
","117
"
"1
","105
"
"0
","93
"
"0
","82
"
"0
","74
"
"0
","57
"
"0
","51
"
"0
","24
"
"0
","11
"
"0
","29
"
"0
","48
"
"0
","82
"
"1
","118
"
"2
","161
"
"0
","147
"
"0
","144
"
"0
","133
"
"0
","116
"
"0
","100
"
"2
","107
"
"2
","81
"
"0
","73
"
"0
","58
"
"4
","28
"
"0
","10
"
"0
","25
"
"0
","27
"
"1
","80
"
"0
","114
"
"0
","122
"
"3
","132
"
"5
","123
"
"8
","101
"
"1
","96
"
"0
","89
"
"0
","81
"
"0
","69
"
"0
","60
"
"0
","47
"
"11
","11
"
"0
","18
"
"0
","34
"
"0
","55
"
"4
","95
"
"1
","130
"
"0
","152
"
"0
","145
"
"0
","138
"
"1
","128
"
"0
","110
"
"0
","98
"
"0
","103
"
"0
","81
"
"0
","67
"
"0
","50
"
"2
","21
"
"0
","11
"
"0
","29
"
"0
","40
"
"0
","90
"
"0
","119
"
"0
","134
"
"5
","133
"
"5
","124
"
"5
","107
"
"3
","99
"
"0
","87
"
"0
","72
"
"0
","68
"
"0
","57
"
"0
","41
"
"1
","24
"
"5
","27
"
"0
","36
"
"0
","56
"
"6
","98
"
"0
","129
"
"0
","151
"
"4
","163
"
"2
","138
"
"0
","129
"
"0
","116
"
"0
","100
"
"0
","91
"
"0
","95
"
"0
","69
"
"0
","47
"
"1
","19
"
"0
","13
"
"0
","28
"
"0
","51
"
"21
","79
"
"0
","127
"
"0
","140
"
"1
","132
"
"2
","117
"
"6
","108
"
"4
","92
"
"0
","86
"
"0
","75
"
"0
","68
"
"0
","58
"
"0
","38
"
"2
","11
"
"3
","37
"
"0
","43
"
"0
","61
"
"3
","102
"
"0
","137
"
"0
","153
"
"3
","134
"
"0
","133
"
"1
","113
"
"0
","115
"
"0
","95
"
"0
","92
"
"0
","81
"
"0
","83
"
"0
","46
"
"0
","14
"
"0
","14
"
"0
","34
"
"0
","58
"
"1
","88
"
"0
","117
"
"1
","139
"
"5
","126
"
"3
","117
"
"3
","100
"
"0
","79
"
"5
","72
"
"1
","79
"
"0
","69
"
"0
","55
"
"0
","28
"
"0
","11
"
"0
","20
"
"3
","56
"
"0
","63
"
"5
","104
"
"0
","137
"
"0
","148
"
"3
","154
"
"12
","135
"
"0
","120
"
"0
","110
"
"0
","95
"
"0
","83
"
"0
","82
"
"0
","67
"
"0
","36
"
"0
","13
"
"0
","16
"
"0
","37
"
